COMPONENT	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
Lid2 complex (GO:0048189)	1	1	0.03	+	28.86	3.47E-02	6.45E-01
prospore septin filament array (GO:0032165)	1	1	0.03	+	28.86	3.47E-02	6.33E-01
clathrin complex (GO:0071439)	1	1	0.03	+	28.86	3.47E-02	6.21E-01
isocitrate dehydrogenase complex (NAD+) (GO:0045242)	2	1	0.07	+	14.43	6.81E-02	1.00E+00
acetolactate synthase complex (GO:0005948)	2	1	0.07	+	14.43	6.81E-02	9.88E-01
"1,3-beta-D-glucan synthase complex (GO:0000148)"	4	2	0.14	+	14.43	6.85E-03	4.22E-01
mitochondrial processing peptidase complex (GO:0017087)	2	1	0.07	+	14.43	6.81E-02	9.73E-01
mating projection tip membrane (GO:0070867)	4	2	0.14	+	14.43	6.85E-03	3.97E-01
sulfite reductase complex (NADPH) (GO:0009337)	2	1	0.07	+	14.43	6.81E-02	9.59E-01
Holliday junction resolvase complex (GO:0048476)	2	1	0.07	+	14.43	6.81E-02	9.46E-01
endodeoxyribonuclease complex (GO:1905347)	2	1	0.07	+	14.43	6.81E-02	9.33E-01
primosome complex (GO:1990077)	2	1	0.07	+	14.43	6.81E-02	9.20E-01
nuclear SCF ubiquitin ligase complex (GO:0043224)	2	1	0.07	+	14.43	6.81E-02	9.08E-01
filamentous actin (GO:0031941)	2	1	0.07	+	14.43	6.81E-02	8.95E-01
Golgi cisterna membrane (GO:0032580)	2	1	0.07	+	14.43	6.81E-02	8.84E-01
lateral element (GO:0000800)	2	1	0.07	+	14.43	6.81E-02	8.72E-01
actin filament (GO:0005884)	11	5	0.38	+	13.12	1.86E-05	1.83E-02
actin filament bundle (GO:0032432)	7	3	0.24	+	12.37	1.30E-03	1.06E-01
vacuolar transporter chaperone complex (GO:0033254)	5	2	0.17	+	11.54	1.12E-02	4.23E-01
plasma membrane of cell tip (GO:0031520)	5	2	0.17	+	11.54	1.12E-02	4.07E-01
Isw1b complex (GO:0036437)	3	1	0.1	+	9.62	1.00E-01	1.00E+00
Snt2C complex (GO:0070211)	3	1	0.1	+	9.62	1.00E-01	1.00E+00
delta DNA polymerase complex (GO:0043625)	3	1	0.1	+	9.62	1.00E-01	1.00E+00
Myo2p-Vac17p-Vac8p transport complex (GO:0071563)	3	1	0.1	+	9.62	1.00E-01	1.00E+00
nuclear matrix (GO:0016363)	3	1	0.1	+	9.62	1.00E-01	1.00E+00
MUB1-RAD6-UBR2 ubiquitin ligase complex (GO:1990304)	3	1	0.1	+	9.62	1.00E-01	9.90E-01
transcription factor TFIIF complex (GO:0005674)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
alpha DNA polymerase:primase complex (GO:0005658)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
"alpha,alpha-trehalose-phosphate synthase complex (UDP-forming) (GO:0005946)"	4	1	0.14	+	7.21	1.32E-01	1.00E+00
PeBoW complex (GO:0070545)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
nucleotide-excision repair factor 4 complex (GO:0000113)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
AP-3 adaptor complex (GO:0030123)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
autophagosome membrane (GO:0000421)	8	2	0.28	+	7.21	2.92E-02	5.87E-01
nuclear membrane microtubule tethering complex (GO:0106094)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
HIR complex (GO:0000417)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
nuclear membrane protein complex (GO:0106083)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
chromosome passenger complex (GO:0032133)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
Isw1 complex (GO:0016587)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
meiotic nuclear membrane microtubule tethering complex (GO:0034993)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
microtubule organizing center attachment site (GO:0034992)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
plasma membrane region (GO:0098590)	8	2	0.28	+	7.21	2.92E-02	5.75E-01
phospholipid-translocating ATPase complex (GO:1990531)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
HICS complex (GO:0044697)	4	1	0.14	+	7.21	1.32E-01	1.00E+00
cellular bud neck contractile ring (GO:0000142)	14	3	0.49	+	6.18	1.13E-02	3.96E-01
condensin complex (GO:0000796)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
septin filament array (GO:0032160)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
cell septum (GO:0030428)	10	2	0.35	+	5.77	4.48E-02	7.48E-01
eukaryotic translation initiation factor 2B complex (GO:0005851)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
Rpd3S complex (GO:0032221)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
TORC1 complex (GO:0031931)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
PAS complex (GO:0070772)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
pyruvate dehydrogenase complex (GO:0045254)	5	1	0.17	+	5.77	1.62E-01	1.00E+00
mitotic actomyosin contractile ring (GO:0110085)	16	3	0.55	+	5.41	1.65E-02	4.77E-01
nuclear replisome (GO:0043601)	11	2	0.38	+	5.25	5.35E-02	8.65E-01
cytoplasmic side of plasma membrane (GO:0009898)	12	2	0.42	+	4.81	6.28E-02	9.82E-01
nuclear exosome (RNase complex) (GO:0000176)	12	2	0.42	+	4.81	6.28E-02	9.67E-01
polarisome (GO:0000133)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
clathrin coat of trans-Golgi network vesicle (GO:0030130)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
TRC complex (GO:0072380)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
ER membrane insertion complex (GO:0072379)	6	1	0.21	+	4.81	1.91E-01	1.00E+00
commitment complex (GO:0000243)	12	2	0.42	+	4.81	6.28E-02	9.52E-01
contractile ring (GO:0070938)	18	3	0.62	+	4.81	2.28E-02	4.99E-01
actomyosin contractile ring (GO:0005826)	18	3	0.62	+	4.81	2.28E-02	4.89E-01
autophagosome (GO:0005776)	13	2	0.45	+	4.44	7.25E-02	9.05E-01
phagophore (GO:0061908)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
myosin complex (GO:0016459)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
DNA polymerase complex (GO:0042575)	14	2	0.49	+	4.12	8.28E-02	9.71E-01
nucleotide-excision repair factor 3 complex (GO:0000112)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
clathrin coat of coated pit (GO:0030132)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
plasma membrane protein complex (GO:0098797)	21	3	0.73	+	4.12	3.44E-02	6.66E-01
trans-Golgi network transport vesicle membrane (GO:0012510)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
Golgi medial cisterna (GO:0005797)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
transcription factor TFIIH core complex (GO:0000439)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
Sin3-type complex (GO:0070822)	21	3	0.73	+	4.12	3.44E-02	6.53E-01
cellular bud neck septin collar (GO:0032174)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
septin collar (GO:0032173)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
replisome (GO:0030894)	14	2	0.49	+	4.12	8.28E-02	9.60E-01
ESCRT III complex (GO:0000815)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
transcription export complex (GO:0000346)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
Cul3-RING ubiquitin ligase complex (GO:0031463)	7	1	0.24	+	4.12	2.19E-01	1.00E+00
exosome (RNase complex) (GO:0000178)	15	2	0.52	+	3.85	9.34E-02	9.79E-01
incipient cellular bud site (GO:0000131)	68	9	2.36	+	3.82	5.06E-04	4.99E-02
synaptonemal structure (GO:0099086)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
synaptonemal complex (GO:0000795)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
GID complex (GO:0034657)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
Golgi transport complex (GO:0017119)	8	1	0.28	+	3.61	2.46E-01	1.00E+00
Rpd3L complex (GO:0033698)	16	2	0.55	+	3.61	1.04E-01	1.00E+00
alpha-ketoacid dehydrogenase complex (GO:0045240)	9	1	0.31	+	3.21	2.72E-01	1.00E+00
tricarboxylic acid cycle heteromeric enzyme complex (GO:0045239)	9	1	0.31	+	3.21	2.72E-01	1.00E+00
cellular bud membrane (GO:0033101)	9	1	0.31	+	3.21	2.72E-01	1.00E+00
nucleotide-excision repair complex (GO:0000109)	18	2	0.62	+	3.21	1.27E-01	1.00E+00
cell surface (GO:0009986)	18	2	0.62	+	3.21	1.27E-01	1.00E+00
exoribonuclease complex (GO:1905354)	18	2	0.62	+	3.21	1.27E-01	1.00E+00
ISWI-type complex (GO:0031010)	9	1	0.31	+	3.21	2.72E-01	1.00E+00
telomerase holoenzyme complex (GO:0005697)	9	1	0.31	+	3.21	2.72E-01	1.00E+00
U1 snRNP (GO:0005685)	18	2	0.62	+	3.21	1.27E-01	1.00E+00
actin cytoskeleton (GO:0015629)	84	9	2.91	+	3.09	2.34E-03	1.78E-01
cell division site (GO:0032153)	59	6	2.04	+	2.93	1.57E-02	4.70E-01
spindle midzone (GO:0051233)	10	1	0.35	+	2.89	2.97E-01	1.00E+00
clathrin-coated vesicle membrane (GO:0030665)	20	2	0.69	+	2.89	1.51E-01	1.00E+00
nucleosome (GO:0000786)	10	1	0.35	+	2.89	2.97E-01	1.00E+00
"proteasome regulatory particle, base subcomplex (GO:0008540)"	10	1	0.35	+	2.89	2.97E-01	1.00E+00
septin cytoskeleton (GO:0032156)	30	3	1.04	+	2.89	8.40E-02	9.52E-01
TOR complex (GO:0038201)	10	1	0.35	+	2.89	2.97E-01	1.00E+00
SCF ubiquitin ligase complex (GO:0019005)	20	2	0.69	+	2.89	1.51E-01	1.00E+00
cytoplasmic side of membrane (GO:0098562)	20	2	0.69	+	2.89	1.51E-01	1.00E+00
prespliceosome (GO:0071010)	31	3	1.07	+	2.79	9.07E-02	1.00E+00
U2-type prespliceosome (GO:0071004)	31	3	1.07	+	2.79	9.07E-02	9.94E-01
septin ring (GO:0005940)	21	2	0.73	+	2.75	1.64E-01	1.00E+00
transcription factor TFIIH holo complex (GO:0005675)	11	1	0.38	+	2.62	3.22E-01	1.00E+00
ribonuclease MRP complex (GO:0000172)	11	1	0.38	+	2.62	3.22E-01	1.00E+00
clathrin-coated pit (GO:0005905)	11	1	0.38	+	2.62	3.22E-01	1.00E+00
nuclear replication fork (GO:0043596)	44	4	1.52	+	2.62	6.47E-02	9.67E-01
polymeric cytoskeletal fiber (GO:0099513)	78	7	2.7	+	2.59	1.79E-02	4.77E-01
histone deacetylase complex (GO:0000118)	56	5	1.94	+	2.58	4.36E-02	7.41E-01
cellular bud neck (GO:0005935)	205	18	7.1	+	2.53	2.39E-04	2.94E-02
fungal-type vacuole membrane (GO:0000329)	217	19	7.52	+	2.53	1.66E-04	4.09E-02
lytic vacuole membrane (GO:0098852)	217	19	7.52	+	2.53	1.66E-04	3.27E-02
nuclear ubiquitin ligase complex (GO:0000152)	23	2	0.8	+	2.51	1.89E-01	1.00E+00
cleavage apparatus septin structure (GO:0032161)	23	2	0.8	+	2.51	1.89E-01	1.00E+00
endonuclease complex (GO:1905348)	23	2	0.8	+	2.51	1.89E-01	1.00E+00
cellular bud neck septin structure (GO:0000399)	23	2	0.8	+	2.51	1.89E-01	1.00E+00
cullin-RING ubiquitin ligase complex (GO:0031461)	46	4	1.59	+	2.51	7.38E-02	9.10E-01
supramolecular polymer (GO:0099081)	81	7	2.81	+	2.49	2.16E-02	4.95E-01
supramolecular fiber (GO:0099512)	81	7	2.81	+	2.49	2.16E-02	4.84E-01
ubiquitin ligase complex (GO:0000151)	95	8	3.29	+	2.43	1.67E-02	4.71E-01
cytoplasmic exosome (RNase complex) (GO:0000177)	12	1	0.42	+	2.4	3.45E-01	1.00E+00
eisosome (GO:0032126)	12	1	0.42	+	2.4	3.45E-01	1.00E+00
cortical actin cytoskeleton (GO:0030864)	72	6	2.5	+	2.4	3.78E-02	6.54E-01
mating projection (GO:0005937)	135	11	4.68	+	2.35	6.90E-03	3.78E-01
plasma membrane bounded cell projection (GO:0120025)	135	11	4.68	+	2.35	6.90E-03	3.58E-01
mating projection tip (GO:0043332)	124	10	4.3	+	2.33	1.05E-02	4.15E-01
cell projection (GO:0042995)	137	11	4.75	+	2.32	7.69E-03	3.61E-01
replication fork protection complex (GO:0031298)	25	2	0.87	+	2.31	2.14E-01	1.00E+00
mitochondrial nucleoid (GO:0042645)	25	2	0.87	+	2.31	2.14E-01	1.00E+00
nucleoid (GO:0009295)	25	2	0.87	+	2.31	2.14E-01	1.00E+00
cortical cytoskeleton (GO:0030863)	75	6	2.6	+	2.31	4.48E-02	7.36E-01
cellular bud (GO:0005933)	257	20	8.91	+	2.25	6.32E-04	5.66E-02
site of polarized growth (GO:0030427)	284	22	9.84	+	2.24	3.35E-04	3.67E-02
catalytic step 1 spliceosome (GO:0071012)	13	1	0.45	+	2.22	3.68E-01	1.00E+00
U2-type catalytic step 1 spliceosome (GO:0071006)	13	1	0.45	+	2.22	3.68E-01	1.00E+00
extracellular space (GO:0005615)	13	1	0.45	+	2.22	3.68E-01	1.00E+00
trans-Golgi network transport vesicle (GO:0030140)	13	1	0.45	+	2.22	3.68E-01	1.00E+00
AP-type membrane coat adaptor complex (GO:0030119)	13	1	0.45	+	2.22	3.68E-01	1.00E+00
cell cortex (GO:0005938)	187	14	6.48	+	2.16	6.43E-03	4.23E-01
cortical endoplasmic reticulum (GO:0032541)	27	2	0.94	+	2.14	2.40E-01	1.00E+00
Rpd3L-Expanded complex (GO:0070210)	27	2	0.94	+	2.14	2.40E-01	1.00E+00
SNARE complex (GO:0031201)	27	2	0.94	+	2.14	2.40E-01	1.00E+00
cell pole (GO:0060187)	137	10	4.75	+	2.11	2.76E-02	5.80E-01
cell tip (GO:0051286)	137	10	4.75	+	2.11	2.76E-02	5.68E-01
cellular bud scar (GO:0005621)	14	1	0.49	+	2.06	3.90E-01	1.00E+00
