FUNCTION	Ref_num	List_num	expected	over under	foldEnrichment	pval	FDR
TFIIF-class transcription factor complex binding (GO:0001096)	1	1	.03	+	28.72	3.48E-02	1.00E00
histone H3K36 methyltransferase activity (GO:0046975)	1	1	.03	+	28.72	3.48E-02	1.00E00
cysteine transmembrane transporter activity (GO:0033229)	1	1	.03	+	28.72	3.48E-02	1.00E00
amino acid:monoatomic cation symporter activity (GO:0005416)	1	1	.03	+	28.72	3.48E-02	1.00E00
farnesyl-diphosphate farnesyltransferase activity (GO:0004310)	1	1	.03	+	28.72	3.48E-02	1.00E00
inositol-5-diphosphate-1,3,4,6-tetrakisphosphate diphosphatase activity (GO:0106211)	1	1	.03	+	28.72	3.48E-02	1.00E00
GTPase activating protein binding (GO:0032794)	2	2	.07	+	28.72	1.21E-03	1.15E-01
gamma-aminobutyric acid transmembrane transporter activity (GO:0015185)	1	1	.03	+	28.72	3.48E-02	1.00E00
inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity (GO:0052848)	1	1	.03	+	28.72	3.48E-02	1.00E00
inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity (GO:0052847)	1	1	.03	+	28.72	3.48E-02	1.00E00
inositol bisdiphosphate tetrakisphosphate diphosphatase activity (GO:0052841)	1	1	.03	+	28.72	3.48E-02	1.00E00
GTP-dependent polynucleotide 5'-hydroxyl-kinase activity (GO:0051735)	1	1	.03	+	28.72	3.48E-02	1.00E00
GTP-dependent polyribonucleotide 5'-hydroxyl-kinase activity (GO:0051730)	1	1	.03	+	28.72	3.48E-02	1.00E00
amino acid:proton symporter activity (GO:0005280)	1	1	.03	+	28.72	3.48E-02	1.00E00
ribokinase activity (GO:0004747)	1	1	.03	+	28.72	3.48E-02	1.00E00
tRNA (cytidine-3-)-methyltransferase activity (GO:0052735)	1	1	.03	+	28.72	3.48E-02	1.00E00
tRNA-dihydrouridine20b synthase activity (GO:0102267)	1	1	.03	+	28.72	3.48E-02	1.00E00
tRNA-dihydrouridine20a synthase activity (GO:0102266)	1	1	.03	+	28.72	3.48E-02	1.00E00
RNA ligase activity (GO:0008452)	1	1	.03	+	28.72	3.48E-02	1.00E00
diacylglycerol-dependent serine/threonine kinase activity (GO:0004697)	1	1	.03	+	28.72	3.48E-02	1.00E00
phosphoribosylformylglycinamidine synthase activity (GO:0004642)	1	1	.03	+	28.72	3.48E-02	1.00E00
phosphoribosyl-ATP diphosphatase activity (GO:0004636)	1	1	.03	+	28.72	3.48E-02	1.00E00
