PROCESS	Ref_num	List_num	expected	upload_1 (over/under)	upload_1 (fold Enrichment)	pval	FDR
proteasome core complex import into nucleus (GO:1990236)	1	1	0.03	+	28.86	3.47E-02	7.49E-01
cysteine transport (GO:0042883)	1	1	0.03	+	28.86	3.47E-02	7.45E-01
regulation of secondary cell septum biogenesis (GO:1903395)	1	1	0.03	+	28.86	3.47E-02	7.42E-01
regulation of circadian rhythm (GO:0042752)	1	1	0.03	+	28.86	3.47E-02	7.39E-01
circadian regulation of gene expression (GO:0032922)	1	1	0.03	+	28.86	3.47E-02	7.35E-01
entrainment of circadian clock by photoperiod (GO:0043153)	1	1	0.03	+	28.86	3.47E-02	7.32E-01
"negative regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000805)"	1	1	0.03	+	28.86	3.47E-02	7.29E-01
"regulation of termination of RNA polymerase II transcription, poly(A)-coupled (GO:2000804)"	1	1	0.03	+	28.86	3.47E-02	7.26E-01
cytidine transport (GO:0015861)	1	1	0.03	+	28.86	3.47E-02	7.22E-01
positive regulation of cellular alcohol catabolic process (GO:1900421)	1	1	0.03	+	28.86	3.47E-02	7.19E-01
regulation of cellular alcohol catabolic process (GO:1900419)	1	1	0.03	+	28.86	3.47E-02	7.16E-01
positive regulation of iron ion transport (GO:0034758)	1	1	0.03	+	28.86	3.47E-02	7.13E-01
regulation of iron ion transport (GO:0034756)	1	1	0.03	+	28.86	3.47E-02	7.10E-01
pyrimidine dimer repair (GO:0006290)	1	1	0.03	+	28.86	3.47E-02	7.07E-01
UDP-glucosylation (GO:0097359)	1	1	0.03	+	28.86	3.47E-02	7.04E-01
regulation of termination of RNA polymerase II transcription (GO:1904594)	1	1	0.03	+	28.86	3.47E-02	7.01E-01
positive regulation of Ras protein signal transduction (GO:0046579)	1	1	0.03	+	28.86	3.47E-02	6.98E-01
nuclear mRNA surveillance of mRNP export (GO:0071032)	1	1	0.03	+	28.86	3.47E-02	6.95E-01
positive regulation of sulfite transport (GO:1900072)	1	1	0.03	+	28.86	3.47E-02	6.92E-01
regulation of sulfite transport (GO:1900071)	1	1	0.03	+	28.86	3.47E-02	6.89E-01
positive regulation of ethanol catabolic process (GO:1900066)	1	1	0.03	+	28.86	3.47E-02	6.86E-01
regulation of ethanol catabolic process (GO:1900065)	1	1	0.03	+	28.86	3.47E-02	6.83E-01
positive regulation of peroxisome organization (GO:1900064)	1	1	0.03	+	28.86	3.47E-02	6.80E-01
photoreactive repair (GO:0000719)	1	1	0.03	+	28.86	3.47E-02	6.77E-01
90S preribosome assembly (GO:0034463)	1	1	0.03	+	28.86	3.47E-02	6.75E-01
positive regulation of protein kinase C signaling (GO:0090037)	1	1	0.03	+	28.86	3.47E-02	6.72E-01
negative regulation of termination of RNA polymerase II transcription (GO:0120191)	1	1	0.03	+	28.86	3.47E-02	6.69E-01
spore germination (GO:0009847)	1	1	0.03	+	28.86	3.47E-02	6.66E-01
trehalose metabolism in response to heat stress (GO:0070414)	1	1	0.03	+	28.86	3.47E-02	6.64E-01
circadian rhythm (GO:0007623)	1	1	0.03	+	28.86	3.47E-02	6.61E-01
nitrogen catabolite repression of transcription from RNA polymerase II promoter (GO:0001081)	1	1	0.03	+	28.86	3.47E-02	6.58E-01
rhythmic process (GO:0048511)	1	1	0.03	+	28.86	3.47E-02	6.56E-01
cellular heat acclimation (GO:0070370)	1	1	0.03	+	28.86	3.47E-02	6.53E-01
cysteine transmembrane transport (GO:1903712)	1	1	0.03	+	28.86	3.47E-02	6.50E-01
quinolinate catabolic process (GO:0034213)	1	1	0.03	+	28.86	3.47E-02	6.48E-01
heat acclimation (GO:0010286)	1	1	0.03	+	28.86	3.47E-02	6.45E-01
entrainment of circadian clock (GO:0009649)	1	1	0.03	+	28.86	3.47E-02	6.43E-01
photoperiodism (GO:0009648)	1	1	0.03	+	28.86	3.47E-02	6.40E-01
nuclear membrane reassembly (GO:0031468)	1	1	0.03	+	28.86	3.47E-02	6.38E-01
D-ribose catabolic process (GO:0019303)	1	1	0.03	+	28.86	3.47E-02	6.35E-01
regulation of (1->3)-beta-D-glucan biosynthetic process (GO:0032953)	3	2	0.1	+	19.24	3.50E-03	3.30E-01
regulation of (1->3)-beta-D-glucan metabolic process (GO:0032952)	3	2	0.1	+	19.24	3.50E-03	3.24E-01
regulation of cell wall macromolecule metabolic process (GO:0010981)	3	2	0.1	+	19.24	3.50E-03	3.17E-01
regulation of cell wall (1->3)-beta-D-glucan biosynthetic process (GO:0090334)	3	2	0.1	+	19.24	3.50E-03	3.11E-01
regulation of protein kinase C signaling (GO:0090036)	3	2	0.1	+	19.24	3.50E-03	3.06E-01
protein splicing (GO:0030908)	2	1	0.07	+	14.43	6.81E-02	8.94E-01
intein-mediated protein splicing (GO:0016539)	2	1	0.07	+	14.43	6.81E-02	8.91E-01
protein localization to septin ring (GO:1902935)	2	1	0.07	+	14.43	6.81E-02	8.89E-01
proteasome storage granule assembly (GO:1902906)	4	2	0.14	+	14.43	6.85E-03	4.24E-01
negative regulation of antisense RNA transcription (GO:0060195)	4	2	0.14	+	14.43	6.85E-03	4.19E-01
regulation of exocyst localization (GO:0060178)	2	1	0.07	+	14.43	6.81E-02	8.86E-01
"positive regulation of mRNA splicing, via spliceosome (GO:0048026)"	2	1	0.07	+	14.43	6.81E-02	8.84E-01
membrane addition at site of cytokinesis (GO:0007107)	2	1	0.07	+	14.43	6.81E-02	8.82E-01
triglyceride mobilization (GO:0006642)	2	1	0.07	+	14.43	6.81E-02	8.79E-01
CAAX-box protein processing (GO:0071586)	2	1	0.07	+	14.43	6.81E-02	8.77E-01
diphosphoinositol polyphosphate metabolic process (GO:0071543)	2	1	0.07	+	14.43	6.81E-02	8.74E-01
ESCRT III complex assembly (GO:1904902)	2	1	0.07	+	14.43	6.81E-02	8.72E-01
positive regulation of phosphatidylserine metabolic process (GO:0150179)	2	1	0.07	+	14.43	6.81E-02	8.70E-01
regulation of phosphatidylserine metabolic process (GO:0150178)	2	1	0.07	+	14.43	6.81E-02	8.67E-01
malonyl-CoA biosynthetic process (GO:2001295)	2	1	0.07	+	14.43	6.81E-02	8.65E-01
malonyl-CoA metabolic process (GO:2001293)	2	1	0.07	+	14.43	6.81E-02	8.63E-01
pyrimidine nucleoside transport (GO:0015864)	2	1	0.07	+	14.43	6.81E-02	8.60E-01
gamma-aminobutyric acid transport (GO:0015812)	2	1	0.07	+	14.43	6.81E-02	8.58E-01
