"","GENE","COMPONENT_DESC"
"1","MCK1","cellular_component"
"2","MCK1","nucleus"
"3","MCK1","cytoplasm"
"4","BNI4","incipient cellular bud site"
"5","BNI4","cellular bud neck"
"6","BNI4","septin ring"
"7","BNI4","cellular bud neck septin collar"
"8","MDN1","nucleus"
"9","MDN1","nucleoplasm"
"10","MDN1","nucleolus"
"11","MDN1","mitochondrion"
"12","MDN1","preribosome, large subunit precursor"
"13","YEF1","cellular_component"
"14","PHO84","fungal-type vacuole"
"15","PHO84","vacuole"
"16","PHO84","endoplasmic reticulum"
"17","PHO84","plasma membrane"
"18","PHO84","membrane"
"19","RIM21","endoplasmic reticulum"
"20","RIM21","plasma membrane"
"21","HHF2","nucleosome"
"22","HHF2","nucleus"
"23","HHF2","chromosome"
"24","HHF2","replication fork protection complex"
"25","HHF2","protein-containing complex"
"26","OCA5","cytoplasm"
"27","UTH1","extracellular region"
"28","UTH1","mitochondrion"
"29","UTH1","mitochondrial outer membrane"
"30","UTH1","mitochondrial inner membrane"
"31","UTH1","fungal-type cell wall"
"32","UTH1","cell surface"
"33","SAP4","nucleus"
"34","SAP4","mitochondrion"
"35","SAP4","cytosol"
"36","UBC1","nucleus"
"37","UBC1","cytosol"
"38","RSE1","nucleus"
"39","RSE1","spliceosomal complex"
"40","RSE1","U2 snRNP"
"41","RSE1","U2-type prespliceosome"
"42","AGP1","endoplasmic reticulum"
"43","AGP1","plasma membrane"
"44","AGP1","membrane"
"45","ALD5","mitochondrion"
"46","ALD5","mitochondrial matrix"
"47","TFB1","nucleotide-excision repair factor 3 complex"
"48","TFB1","transcription factor TFIIH core complex"
"49","TFB1","nucleus"
"50","TFB1","transcription factor TFIIH holo complex"
"51","TFB1","cytosol"
"52","RIM11","nucleus"
"53","RIM11","cytoplasm"
"54","UME6","nucleus"
"55","UME6","Rpd3L complex"
"56","UME6","Rpd3L-Expanded complex"
"57","SFP1","nucleus"
"58","SFP1","cytoplasm"
"59","SBE2","Golgi apparatus"
"60","ADR1","chromatin"
"61","ADR1","nucleus"
"62","ADR1","cytoplasm"
"63","ADR1","cytosol"
"64","SFH5","fungal-type vacuole membrane"
"65","SFH5","nucleus"
"66","SFH5","cytoplasm"
"67","SFH5","endoplasmic reticulum"
"68","SFH5","endoplasmic reticulum membrane"
"69","SFH5","cytosol"
"70","SFH5","plasma membrane"
"71","SFH5","membrane"
"72","SFH5","cortical endoplasmic reticulum"
"73","SFH5","cell periphery"
"74","PKC1","nucleus"
"75","PKC1","cytoplasm"
"76","PKC1","cytoskeleton"
"77","PKC1","plasma membrane"
"78","PKC1","cellular bud neck"
"79","PKC1","cytoplasmic stress granule"
"80","PKC1","site of polarized growth"
"81","PKC1","prospore septin filament array"
"82","URB1","nucleus"
"83","URB1","nucleolus"
"84","BNA6","nucleus"
"85","BNA6","cytoplasm"
"86","COQ1","mitochondrion"
"87","COQ1","mitochondrial inner membrane"
"88","COQ1","transferase complex"
"89","VRP1","incipient cellular bud site"
"90","VRP1","cytoplasm"
"91","VRP1","cytoskeleton"
"92","VRP1","cellular bud neck"
"93","VRP1","actin cortical patch"
"94","VRP1","mating projection tip"
"95","RPS2","cytoplasm"
"96","RPS2","cytosol"
"97","RPS2","ribosome"
"98","RPS2","small ribosomal subunit"
"99","RPS2","cytosolic small ribosomal subunit"
"100","RPS2","90S preribosome"
"101","RPS2","ribonucleoprotein complex"
"102","SPT2","nucleus"
"103","SPT2","cytosol"
"104","TRK2","plasma membrane"
"105","TRK2","membrane"
"106","TRK2","cell periphery"
"107","SPO77","cytoplasm"
"108","SIW14","cytoplasm"
"109","SIW14","cytosol"
"110","HSL1","cellular bud neck septin ring"
"111","HSL1","nucleus"
"112","HSL1","cytoplasm"
"113","HSL1","cellular bud neck"
"114","NAB2","nucleus"
"115","NAB2","cytoplasm"
"116","AFT1","nucleus"
"117","AFT1","cytoplasm"
"118","FCY2","fungal-type vacuole membrane"
"119","FCY2","plasma membrane"
"120","FCY2","membrane"
"121","FCY2","cell periphery"
"122","MAS2","mitochondrion"
"123","MAS2","mitochondrial matrix"
"124","MAS2","mitochondrial processing peptidase complex"
"125","RBK1","nucleus"
"126","RBK1","cytoplasm"
"127","ACT1","cellular bud neck contractile ring"
"128","ACT1","Swr1 complex"
"129","ACT1","cytoplasm"
"130","ACT1","cytoskeleton"
"131","ACT1","actin filament"
"132","ACT1","actin cytoskeleton"
"133","ACT1","actin cortical patch"
"134","ACT1","Ino80 complex"
"135","ACT1","actin filament bundle"
"136","ACT1","NuA4 histone acetyltransferase complex"
"137","ACT1","intracellular non-membrane-bounded organelle"
"138","MMS4","nucleus"
"139","MMS4","Holliday junction resolvase complex"
"140","BSD2","fungal-type vacuole"
"141","BSD2","fungal-type vacuole membrane"
"142","BSD2","cytoplasm"
"143","BSD2","vacuole"
"144","BSD2","endoplasmic reticulum"
"145","BSD2","Golgi apparatus"
"146","BSD2","membrane"
"147","BSD2","perinuclear region of cytoplasm"
"148","FSF1","mitochondrion"
"149","FSF1","mitochondrial inner membrane"
"150","FSF1","membrane"
"151","FSF1","mitochondrial membrane"
"152","HO","nucleus"
"153","TPS3","cytoplasm"
"154","TPS3","alpha,alpha-trehalose-phosphate synthase complex (UDP-forming)"
"155","UGA4","fungal-type vacuole membrane"
"156","UGA4","vacuole"
"157","UGA4","vacuolar membrane"
"158","UGA4","membrane"
"159","APC2","nucleus"
"160","APC2","anaphase-promoting complex"
"161","APC2","cytoplasm"
"162","RRP6","nuclear exosome (RNase complex)"
"163","RRP6","exosome (RNase complex)"
"164","RRP6","nucleus"
"165","RRP6","nucleolus"
"166","LOS1","nucleus"
"167","LOS1","nuclear pore"
"168","LOS1","cytoplasm"
"169","LOS1","mitochondrion"
"170","LOS1","nuclear matrix"
"171","SPS100","cellular_component"
"172","DUS4","cellular_component"
"173","MSC6","mitochondrion"
"174","MSC6","mitochondrial matrix"
"175","APL5","cytoplasm"
"176","APL5","Golgi apparatus"
"177","APL5","endosome membrane"
"178","APL5","membrane"
"179","APL5","membrane coat"
"180","APL5","AP-3 adaptor complex"
"181","APL5","clathrin-coated vesicle membrane"
"182","APL5","cytoplasmic vesicle"
"183","RED1","lateral element"
"184","RED1","nucleus"
"185","MCT1","mitochondrion"
"186","ADE6","cytoplasm"
"187","YRB2","nucleus"
"188","YRB2","nuclear pore"
"189","YRB2","cytoplasm"
"190","YRB2","cytosol"
"191","OCA4","cytoplasm"
"192","PDR10","fungal-type vacuole"
"193","PDR10","plasma membrane"
"194","PDR10","membrane"
"195","PDR10","cell periphery"
"196","SNT2","nucleus"
"197","SNT2","chromosome"
