"","GENE","FUNCTION_DESC"
"1","MCK1","protein kinase activity"
"2","MCK1","protein serine/threonine kinase activity"
"3","MCK1","protein serine/threonine/tyrosine kinase activity"
"4","MCK1","protein tyrosine kinase activity"
"5","MCK1","enzyme inhibitor activity"
"6","MCK1","ATP binding"
"7","MCK1","cyclin binding"
"8","MCK1","protein serine kinase activity"
"9","BNI4","actin binding"
"10","BNI4","protein binding"
"11","MDN1","ATP binding"
"12","MDN1","ATP hydrolysis activity"
"13","YEF1","NAD+ kinase activity"
"14","YEF1","ATP binding"
"15","YEF1","kinase activity"
"16","YEF1","NADH kinase activity"
"17","PHO84","phosphate transmembrane transporter activity"
"18","PHO84","manganese ion transmembrane transporter activity"
"19","PHO84","zinc ion binding"
"20","PHO84","selenite:proton symporter activity"
"21","RIM21","molecular_function"
"22","HHF2","DNA binding"
"23","HHF2","structural constituent of chromatin"
"24","HHF2","protein heterodimerization activity"
"25","OCA5","molecular_function"
"26","UTH1","molecular_function"
"27","UTH1","hydrolase activity, acting on glycosyl bonds"
"28","SAP4","molecular_function"
"29","SAP4","protein phosphatase regulator activity"
"30","SAP4","protein phosphatase binding"
"31","UBC1","ubiquitin-protein transferase activity"
"32","UBC1","protein binding"
"33","UBC1","ATP binding"
"34","UBC1","transferase activity"
"35","UBC1","ubiquitin conjugating enzyme activity"
"36","UBC1","proteasome binding"
"37","RSE1","nucleic acid binding"
"38","RSE1","U2 snRNA binding"
"39","AGP1","amino acid transmembrane transporter activity"
"40","AGP1","L-proline transmembrane transporter activity"
"41","AGP1","transmembrane transporter activity"
"42","ALD5","aldehyde dehydrogenase (NAD+) activity"
"43","ALD5","aldehyde dehydrogenase [NAD(P)+] activity"
"44","ALD5","oxidoreductase activity"
"45","ALD5","oxidoreductase activity, acting on the aldehyde or oxo group of donors, NAD or NADP as acceptor"
"46","TFB1","phosphatidylinositol-5-phosphate binding"
"47","TFB1","phosphatidylinositol-3-phosphate binding"
"48","RIM11","protein kinase activity"
"49","RIM11","protein serine/threonine kinase activity"
"50","RIM11","protein serine/threonine/tyrosine kinase activity"
"51","RIM11","ATP binding"
"52","RIM11","protein serine kinase activity"
"53","UME6","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"54","UME6","DNA-binding transcription factor activity, RNA polymerase II-specific"
"55","UME6","DNA-binding transcription repressor activity, RNA polymerase II-specific"
"56","UME6","DNA binding"
"57","UME6","zinc ion binding"
"58","UME6","sequence-specific DNA binding"
"59","UME6","metal ion binding"
"60","UME6","DNA-binding transcription factor binding"
"61","SFP1","DNA-binding transcription factor activity, RNA polymerase II-specific"
"62","SFP1","DNA binding"
"63","SFP1","zinc ion binding"
"64","SFP1","metal ion binding"
"65","SBE2","molecular_function"
"66","ADR1","RNA polymerase II cis-regulatory region sequence-specific DNA binding"
"67","ADR1","DNA-binding transcription factor activity, RNA polymerase II-specific"
"68","ADR1","TFIIB-class transcription factor binding"
"69","ADR1","TFIID-class transcription factor complex binding"
"70","ADR1","DNA binding"
"71","ADR1","transcription coactivator activity"
"72","ADR1","zinc ion binding"
"73","ADR1","sequence-specific DNA binding"
"74","ADR1","metal ion binding"
"75","ADR1","RNA polymerase II-specific DNA-binding transcription factor binding"
"76","SFH5","phosphatidylinositol transfer activity"
"77","SFH5","heme binding"
"78","SFH5","metal ion binding"
"79","PKC1","protein serine/threonine kinase activity"
"80","PKC1","diacylglycerol-dependent serine/threonine kinase activity"
"81","PKC1","ATP binding"
"82","PKC1","zinc ion binding"
"83","PKC1","metal ion binding"
"84","PKC1","protein serine kinase activity"
"85","URB1","mRNA binding"
"86","BNA6","nicotinate-nucleotide diphosphorylase (carboxylating) activity"
"87","BNA6","glycosyltransferase activity"
"88","COQ1","heptaprenyl diphosphate synthase activity"
"89","COQ1","prenyltransferase activity"
"90","COQ1","transferase activity"
"91","COQ1","metal ion binding"
"92","VRP1","actin binding"
"93","RPS2","RNA binding"
"94","RPS2","mRNA binding"
"95","RPS2","structural constituent of ribosome"
"96","RPS2","rRNA binding"
"97","SPT2","DNA secondary structure binding"
"98","SPT2","DNA binding"
"99","TRK2","potassium ion transmembrane transporter activity"
"100","TRK2","high-affinity potassium ion transmembrane transporter activity"
"101","SPO77","molecular_function"
"102","SIW14","diphosphoinositol-polyphosphate diphosphatase activity"
"103","SIW14","hydrolase activity"
"104","SIW14","phosphatase activity"
"105","SIW14","inositol diphosphate tetrakisphosphate diphosphatase activity"
"106","SIW14","inositol-5-diphosphate-1,2,3,4,6-pentakisphosphate diphosphatase activity"
"107","SIW14","inositol-1,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity"
"108","SIW14","inositol-3,5-bisdiphosphate-2,3,4,6-tetrakisphosphate 5-diphosphatase activity"
"109","SIW14","inositol-5-diphosphate-1,3,4,6-tetrakisphosphate diphosphatase activity"
"110","HSL1","protein kinase activity"
"111","HSL1","protein serine/threonine kinase activity"
"112","HSL1","ATP binding"
"113","HSL1","protein serine kinase activity"
"114","NAB2","tRNA binding"
"115","NAB2","RNA binding"
"116","NAB2","mRNA binding"
"117","NAB2","5S rRNA binding"
"118","NAB2","poly(A) binding"
"119","NAB2","zinc ion binding"
"120","NAB2","7S RNA binding"
"121","NAB2","ribonuclease P RNA binding"
"122","NAB2","metal ion binding"
"123","AFT1","DNA-binding transcription factor activity, RNA polymerase II-specific"
