X1,strain,conc,day,Mean,SD,avg_ypad_day,batch,r_anc,rel_fit
1,OLY008,YPAD,20210714BIO1,0.272252223050353,0.0155795558733666,0.259647691320081,0.269216534407836,0.272252223050353,-0.00303568864251624
2,CBM29,CD2,20210714BIO1,0.0147269728782244,0.0186486547257168,0.259647691320081,0.0116912842357081,0.00462089971102012,0.007070384524688
3,CBM21,CD2,20210714BIO1,0.367461891076504,0.0077112842819964,0.259647691320081,0.364426202433987,0.00462089971102012,0.359805302722967
4,CBM2,CD1,20210714BIO1,0.00805494601759567,0.00451012069731778,0.259647691320081,0.00501925737507943,0.0263157110917215,-0.0212964537166421
5,CBM21,CD1,20210714BIO1,0.366194667397734,0.00933118063421702,0.259647691320081,0.363158978755218,0.0263157110917215,0.336843267663497
6,CBM53,CD2,20210714BIO1,0.00971964448925888,0.00925203789192275,0.259647691320081,0.00668395584674264,0.00462089971102012,0.00206305613572252
7,CBM3,CD2,20210714BIO1,0.00740504521035135,0.00362357364098516,0.259647691320081,0.0043693565678351,0.00462089971102012,-2.51543143185022e-4
8,CBM11,CD1,20210714BIO1,0.071564663843097,0.0113107358051868,0.259647691320081,0.0685289752005808,0.0263157110917215,0.0422132641088593
9,CBM21,YPAD,20210714BIO1,0.328367348749668,0.039837030061137,0.259647691320081,0.325331660107152,0.272252223050353,0.0530794370567992
10,CBM18,CD2,20210714BIO1,0.0566465881387164,0.00449650993128661,0.259647691320081,0.0536108994962002,0.00462089971102012,0.0489899997851801
11,CBM7,YPAD,20210714BIO1,0.224395450606247,0.0157253979387701,0.259647691320081,0.221359761963731,0.272252223050353,-0.0508924610866219
12,CBM1,YPAD,20210714BIO1,0.267732873918918,0.00950056622712701,0.259647691320081,0.264697185276402,0.272252223050353,-0.00755503777395078
13,CBM46,CD1,20210714BIO1,0.0397231575262798,0.00495261913282186,0.259647691320081,0.0366874688837636,0.0263157110917215,0.0103717577920421
14,CBM25,CD1,20210714BIO1,0.0270260485731496,0.00534620762367016,0.259647691320081,0.0239903599306333,0.0263157110917215,-0.00232535116108819
15,CBM25,CD2,20210714BIO1,0.0158865825124662,0.0198923805173047,0.259647691320081,0.0128508938699499,0.00462089971102012,0.00822999415892981
16,CBM33,CD1,20210714BIO1,0.0397479108071863,0.0302683312783603,0.259647691320081,0.0367122221646701,0.0263157110917215,0.0103965110729485
17,OLY008,CD2,20210714BIO1,0.00462089971102012,0.00148659467136479,0.259647691320081,0.00158521106850388,0.00462089971102012,-0.00303568864251624
18,CBM30,CD1,20210714BIO1,0.0950837210911271,0.134340260987368,0.259647691320081,0.0920480324486108,0.0263157110917215,0.0657323213568893
19,CBM30,YPAD,20210714BIO1,0.256392238515146,0.013411931819669,0.259647691320081,0.25335654987263,0.272252223050353,-0.0188956731777226
20,CBM2,CD2,20210714BIO1,0.0174880999089429,0.0210930241329539,0.259647691320081,0.0144524112664267,0.00462089971102012,0.00983151155540655
