strain,E1,E2,anc_slope,avg_slope,relfit1
cubm_10,Cu,.YPAD,0.23499428504832798,0.21766186711971724,-0.017332417928610733
cubm_10,Cu,Cd,0.018837947457495126,0.06927070260731583,0.0504327551498207
cubm_10,Cu,Co,0.024902430650897155,0.016662914914533616,-0.008239515736363539
cubm_10,Cu,Cu,0.0073106720621663,0.16168943234168276,0.15437876027951647
cubm_10,Cu,Mn,0.034850077565429224,0.09673014204347752,0.061880064478048294
cubm_10,Cu,Ni,0.021133181063448525,0.01362805938376342,-0.007505121679685105
cubm_10,Cu,Zn,0.01819353268317505,0.019660398717369337,0.001466866034194287
cubm_11,Cu,.YPAD,0.23499428504832798,0.1957980684350045,-0.03919621661332348
cubm_11,Cu,Cd,0.018837947457495126,0.07788489295723622,0.05904694549974109
cubm_11,Cu,Co,0.024902430650897155,0.01729791500038049,-0.007604515650516664
cubm_11,Cu,Cu,0.0073106720621663,0.118455098372522,0.11114442631035569
cubm_11,Cu,Mn,0.034850077565429224,0.13103304232764426,0.09618296476221504
cubm_11,Cu,Ni,0.021133181063448525,0.009882430229701825,-0.0112507508337467
cubm_11,Cu,Zn,0.01819353268317505,0.014278156865166185,-0.003915375818008864
cubm_12,Cu,.YPAD,0.23499428504832798,0.23821969616551666,0.0032254111171886868
cubm_12,Cu,Cd,0.018837947457495126,0.08024191692351808,0.06140396946602295
cubm_12,Cu,Co,0.024902430650897155,0.027393213133941576,0.002490782483044421
cubm_12,Cu,Cu,0.0073106720621663,0.1587499240764125,0.1514392520142462
cubm_12,Cu,Mn,0.034850077565429224,0.09039925981738064,0.05554918225195142
cubm_12,Cu,Ni,0.021133181063448525,0.0143568750554657,-0.0067763060079828255
cubm_12,Cu,Zn,0.01819353268317505,0.015039158618446175,-0.0031543740647288748
cubm_13,Cu,.YPAD,0.23499428504832798,0.22034048447749927,-0.014653800570828712
cubm_13,Cu,Cd,0.018837947457495126,0.14885857860108526,0.13002063114359014
cubm_13,Cu,Co,0.024902430650897155,0.013812525956335968,-0.011089904694561187
cubm_13,Cu,Cu,0.0073106720621663,0.12840436592539967,0.12109369386323336
cubm_13,Cu,Mn,0.034850077565429224,0.09543554675937888,0.06058546919394965
cubm_13,Cu,Ni,0.021133181063448525,0.010652458484750058,-0.010480722578698467
cubm_13,Cu,Zn,0.01819353268317505,0.011455623549760912,-0.006737909133414138
cubm_14,Cu,.YPAD,0.23499428504832798,0.18420639058894225,-0.050787894459385724
cubm_14,Cu,Cd,0.018837947457495126,0.038005961936852635,0.01916801447935751
cubm_14,Cu,Co,0.024902430650897155,0.023973339025040726,-9.290916258564291e-4
cubm_14,Cu,Cu,0.0073106720621663,0.16842247631335125,0.16111180425118496
cubm_14,Cu,Mn,0.034850077565429224,0.1158982485344184,0.08104817096898917
cubm_14,Cu,Ni,0.021133181063448525,0.01778828813414623,-0.0033448929293022935
cubm_14,Cu,Zn,0.01819353268317505,0.01248329250247425,-0.0057102401807008
cubm_15,Cu,.YPAD,0.23499428504832798,0.24728752760633224,0.012293242558004264
cubm_15,Cu,Cd,0.018837947457495126,0.037069553965318726,0.0182316065078236
cubm_15,Cu,Co,0.024902430650897155,0.016604268177067283,-0.008298162473829872
cubm_15,Cu,Cu,0.0073106720621663,0.13462467910035913,0.12731400703819284
cubm_15,Cu,Mn,0.034850077565429224,0.137535465968841,0.10268538840341178
cubm_15,Cu,Ni,0.021133181063448525,0.01247230392575905,-0.008660877137689475
cubm_15,Cu,Zn,0.01819353268317505,0.015934731970960538,-0.0022588007122145114
cubm_16,Cu,.YPAD,0.23499428504832798,0.22787249619182776,-0.007121788856500222
cubm_16,Cu,Cd,0.018837947457495126,0.07971994385180813,0.060881996394313
cubm_16,Cu,Co,0.024902430650897155,0.013983489227653575,-0.01091894142324358
cubm_16,Cu,Cu,0.0073106720621663,0.10596073566418471,0.0986500636020184
cubm_16,Cu,Mn,0.034850077565429224,0.10990308018307703,0.0750530026176478
cubm_16,Cu,Ni,0.021133181063448525,0.013543462257237232,-0.007589718806211293
cubm_16,Cu,Zn,0.01819353268317505,0.016615522813179233,-0.0015780098699958167
cubm_17,Cu,.YPAD,0.23499428504832798,0.1875143279726765,-0.047479957075651474
cubm_17,Cu,Cd,0.018837947457495126,0.06981140816125772,0.050973460703762595
cubm_17,Cu,Co,0.024902430650897155,0.013774593102255928,-0.011127837548641228
cubm_17,Cu,Cu,0.0073106720621663,0.12865043913512497,0.12133976707295867
cubm_17,Cu,Mn,0.034850077565429224,0.07860250702170406,0.04375242945627483
cubm_17,Cu,Ni,0.021133181063448525,0.020690876276208102,-4.4230478724042316e-4
cubm_17,Cu,Zn,0.01819353268317505,0.03711780518778075,0.018924272504605703
cubm_18,Cu,.YPAD,0.23499428504832798,0.23338005688614,-0.0016142281621879806
cubm_18,Cu,Cd,0.018837947457495126,0.08186497094525577,0.06302702348776065
cubm_18,Cu,Co,0.024902430650897155,0.014645376977817636,-0.01025705367307952
cubm_18,Cu,Cu,0.0073106720621663,0.16258063044311,0.1552699583809437
cubm_18,Cu,Mn,0.034850077565429224,0.11181936069790115,0.07696928313247192
cubm_18,Cu,Ni,0.021133181063448525,0.0200555380895177,-0.001077642973930825
cubm_18,Cu,Zn,0.01819353268317505,0.015574840409038324,-0.002618692274136726
cubm_3,Cu,.YPAD,0.23499428504832798,0.19956679613297726,-0.03542748891535072
cubm_3,Cu,Cd,0.018837947457495126,0.05902658626946713,0.040188638811972
cubm_3,Cu,Co,0.024902430650897155,0.0301142538863819,0.005211823235484744
cubm_3,Cu,Cu,0.0073106720621663,0.15162651841246774,0.14431584635030145
cubm_3,Cu,Mn,0.034850077565429224,0.086282398234494,0.05143232066906478
cubm_3,Cu,Ni,0.021133181063448525,0.01261478050906817,-0.008518400554380355
cubm_3,Cu,Zn,0.01819353268317505,0.015317611429255243,-0.002875921253919807
cubm_4,Cu,.YPAD,0.23499428504832798,0.24487878666906726,0.009884501620739283
cubm_4,Cu,Cd,0.018837947457495126,0.05470317887140695,0.035865231413911826
cubm_4,Cu,Co,0.024902430650897155,0.025657026125891474,7.545954749943184e-4
cubm_4,Cu,Cu,0.0073106720621663,0.12523035654229958,0.11791968448013328
cubm_4,Cu,Mn,0.034850077565429224,0.12986700301600976,0.09501692545058053
cubm_4,Cu,Ni,0.021133181063448525,0.018131855278324924,-0.0030013257851236007
cubm_4,Cu,Zn,0.01819353268317505,0.016518228060369275,-0.0016753046228057747
cubm_6,Cu,.YPAD,0.23499428504832798,0.2103008760891145,-0.024693408959213486
cubm_6,Cu,Cd,0.018837947457495126,0.060568581449621475,0.04173063399212635
cubm_6,Cu,Co,0.024902430650897155,0.018233599832773176,-0.006668830818123979
cubm_6,Cu,Cu,0.0073106720621663,0.16449928976064476,0.15718861769847847
cubm_6,Cu,Mn,0.034850077565429224,0.043797038321718974,0.00894696075628975
cubm_6,Cu,Ni,0.021133181063448525,0.010166065028682789,-0.010967116034765736
cubm_6,Cu,Zn,0.01819353268317505,0.008836609355356018,-0.009356923327819032
cubm_7,Cu,.YPAD,0.23499428504832798,0.1901028419654115,-0.04489144308291648
cubm_7,Cu,Cd,0.018837947457495126,0.0844478644429491,0.06560991698545399
cubm_7,Cu,Co,0.024902430650897155,0.011417006606784238,-0.013485424044112918
cubm_7,Cu,Cu,0.0073106720621663,0.1366693735779799,0.1293587015158136
cubm_7,Cu,Mn,0.034850077565429224,0.13292463358210999,0.09807455601668076
cubm_7,Cu,Ni,0.021133181063448525,0.012986727185304588,-0.008146453878143937
cubm_7,Cu,Zn,0.01819353268317505,0.00891209155362559,-0.00928144112954946
cubm_8,Cu,.YPAD,0.23499428504832798,0.2105164666525715,-0.024477818395756468
cubm_8,Cu,Cd,0.018837947457495126,0.060585168207283324,0.0417472207497882
cubm_8,Cu,Co,0.024902430650897155,0.007025629700230238,-0.01787680095066692
cubm_8,Cu,Cu,0.0073106720621663,0.10946490611521426,0.10215423405304795
cubm_8,Cu,Mn,0.034850077565429224,0.09926129041840086,0.06441121285297163
cubm_8,Cu,Ni,0.021133181063448525,0.009840841444508362,-0.011292339618940163
cubm_8,Cu,Zn,0.01819353268317505,0.009991610952497775,-0.008201921730677275
cubm_9,Cu,.YPAD,0.23499428504832798,0.21033080896543074,-0.024663476082897234
