TERM	ANNOTATED_GENES
ion binding	ACB1, ADR1, AFT1, BDS1, BIR1, DOA4, ECM14, ECM22, FET4, FZF1, HIS4, HO, HSP104, ILV2, IRC20, ISU1, LRG1, MCM5, NAB2, OAF1, OPI1, PDR1, PHO23, PHO84, PIB1, PKC1, POL3, PRI1, QRI7, RAD16, RCO1, RPA135, RRP6, SET2, SFP1, SMC2, SNT2, SPO20, SSE1, STE5, STP3, UBP5, UBR2, UGA3, ULS1, UME6, VID22, VTC4, YHC1, ZRT1, ZRT3
DNA binding	ADR1, AFT1, DOT6, ECM22, FZF1, HHF2, HIR2, IOC4, MCM5, MOT1, NPL3, NSR1, OAF1, PRI1, PRI2, RAD16, RAD17, RED1, SMC2, SPO11, SPT2, STP3, SUM1, TAH11, UGA3, UME6, VID22, WAR1, YAP6
kinase activity	DBF20, HSL1, KIN1, KIN82, KSP1, MCK1, PBS2, PFK26, PKC1, PKP1, PTK2, RBK1, RCK2, RIM11, SAK1, SSK2, TOS3, TRL1, VTC4, YCK1, YEF1, YKL126W
transmembrane transporter activity	AGP1, FCY2, FET4, FLC2, HXT13, MDL2, MEX67, PDR10, PHO84, PMA1, RTC2, SMF1, TIM54, TRK2, UGA4, VBA1, VCX1, YCF1, YCT1, YOR1, ZRT1, ZRT3
enzyme regulator activity	BLM10, CLB3, CLN3, CYK3, GCD2, GPB1, GPB2, LRG1, MCK1, PCL5, PHO81, RHO1, RPI1, SHP1, TFG1, TPS3, YCR059C, YRA1
mRNA binding	KSP1, MEX67, MSC6, MTR4, NAB2, NAM8, NPL3, NSR1, NUG1, PBP2, PHR1, PRP8, RRP5, URB1, VTC1, YHC1
RNA binding	LOS1, MEX67, MTR4, NAB2, NPL3, NSR1, NUG1, PRP8, QRI7, RRP5, RSE1, SET2, SUB2, UTP8, YHC1, YRA1
protein-macromolecule adaptor activity	ABP140, ALY2, CIC1, COG1, COG3, GRR1, HRT3, INP2, PBS2, PEP12, SPO20, STE5, UGA3, YAP6
oxidoreductase activity	ALD5, DUS4, ERG1, ERG27, FAS2, FRE6, HIS4, IDH1, IDP1, KGD1, MDH2, MET10, NAR1, PDA1
DNA-binding transcription factor activity	ADR1, AFT1, ECM22, FZF1, OAF1, PDR1, SFP1, SUM1, UGA3, UME6, WAR1, YAP6
lipid binding	ACB1, ATG2, IST2, OPI1, OSH2, PIB1, SPO20, STE5, TFB1, VPS13, VPS74
ATP hydrolysis activity	ACT1, DDR48, HSP104, IOC4, MLH3, MOT1, REA1, RPT5, SMC2, SSQ1
nuclease activity	CCR4, HO, MKT1, MMS4, NUC1, POL3, RNY1, RRP6, SWT1
cytoskeletal protein binding	ABP1, ABP140, KAR3, MYO2, NIP100, SPC105, SSK2, VRP1, YCR059C
glycosyltransferase activity	BNA6, FKS3, GPH1, GSC2, KRE5, KTR3, MNN9, STT3, TPS3
