data,term,df,sumsq,meansq,statistic,p.value,adj_p.value
CDCO,E1,1,5.952199359622098e-5,5.952199359622098e-5,0.03703181982547232,0.8479574750481486,0.8848902619656626
CDCO,E2,1,0.07101219759266583,0.07101219759266583,44.1804910719489,5.465646465439588e-9,2.732823232719794e-8
CDCO,E1:E2,1,0.00507372537387987,0.00507372537387987,3.1566362706872697,0.07996372969768221,0.11244899488736561
CDCO,Residuals,70,0.11251241692609219,0.001607320241801317,NA,NA,NA
CDCU,E1,1,0.02530115655596309,0.02530115655596309,16.930820968954134,1.0695993235056527e-4,2.6739983087641317e-4
CDCU,E2,1,0.0026280845054164606,0.0026280845054164606,1.7586400903875492,0.18923144729846247,0.23014635482245435
CDCU,E1:E2,1,0.05891777833498985,0.05891777833498985,39.426116931525655,2.7491130843216332e-8,1.0309174066206124e-7
CDCU,Residuals,68,0.10161814651281906,0.0014943845075414566,NA,NA,NA
CDMN,E1,1,0.014804052523616757,0.014804052523616757,6.4770548052839025,0.012801666927678474,0.019864655577432114
CDMN,E2,1,0.054695479043909416,0.054695479043909416,23.930313324915733,4.909705969948452e-6,1.299628050868708e-5
CDMN,E1:E2,1,0.01543131499773503,0.01543131499773503,6.751494078967961,0.011103075074782106,0.017844227798756957
CDMN,Residuals,82,0.18742041613516422,0.0022856148309166368,NA,NA,NA
CDNI,E1,1,0.017216592696927966,0.017216592696927966,6.999313345328103,0.010006196156440094,0.016676993594066825
CDNI,E2,1,0.0016270859629329926,0.0016270859629329926,0.6614830643223046,0.41871830055658976,0.47105808812616345
CDNI,E1:E2,1,0.007212873862837125,0.007212873862837125,2.9323551515122066,0.09112470913446499,0.12426096700154317
CDNI,Residuals,72,0.1771023260454852,0.002459754528409517,NA,NA,NA
CDZN,E1,1,0.009177576692570685,0.009177576692570685,7.832681518746947,0.006201946341378996,0.011628649390085618
CDZN,E2,1,0.012330937310678114,0.012330937310678114,10.523944175847785,0.001621963290997403,0.0033176521861310515
CDZN,E1:E2,1,0.03143313664997096,0.03143313664997096,26.826879988241362,1.2255391996711605e-6,3.446828999075139e-6
CDZN,Residuals,96,0.11248349117451843,0.0011717030330679003,NA,NA,NA
COCU,E1,1,0.010035154864762955,0.010035154864762955,9.708222870167,0.002851238561233154,0.005578510228499649
COCU,E2,1,0.12744304656373012,0.12744304656373012,123.29112165853837,5.561932315707804e-16,6.25717385517128e-15
COCU,E1:E2,1,0.03483422641137995,0.03483422641137995,33.69937365879629,2.8498277502618963e-7,8.549483250785689e-7
COCU,Residuals,58,0.05995319534173808,0.001033675781754105,NA,NA,NA
COMN,E1,1,0.0032481336605558893,0.0032481336605558893,4.397319226078752,0.03950830543979968,0.05735076596099954
COMN,E2,1,0.1740426532131943,0.1740426532131943,235.61872296879497,2.105726266438771e-24,9.47576819897447e-23
COMN,E1:E2,1,7.638035128042482e-4,7.638035128042482e-4,1.0340362259679299,0.31261746558779857,0.37020489345923513
COMN,Residuals,72,0.0531836811330549,7.386622379590957e-4,NA,NA,NA
CONI,E1,1,0.0016128690315434903,0.0016128690315434903,2.0140294525399165,0.16085898114608674,0.20107372643260843
CONI,E2,1,0.039546092747167624,0.039546092747167624,49.38218415009794,1.928950429617035e-9,1.2400395618966653e-8
CONI,E1:E2,1,3.14229244236655e-4,3.14229244236655e-4,0.39238582945345424,0.5333475921077657,0.5853815035329136
CONI,Residuals,62,0.049650654229305285,8.008170036984723e-4,NA,NA,NA
COZN,E1,1,5.391696841297763e-4,5.391696841297763e-4,2.1128526402886822,0.1497063714985448,0.19247962049812903
COZN,E2,1,0.0027784360064301785,0.0027784360064301785,10.887900460379285,0.0014097519552043994,0.00302089704686657
COZN,E1:E2,1,0.00804352800382532,0.00804352800382532,31.52029848923719,2.372445541487092e-7,7.625717811922796e-7
COZN,Residuals,86,0.021945966297406028,2.551856546210003e-4,NA,NA,NA
CUMN,E1,1,0.0733359508461594,0.0733359508461594,120.09931077190367,7.730777582524169e-17,1.1596166373786254e-15
CUMN,E2,1,0.026690212969281386,0.026690212969281386,43.70947870697567,6.335943696699591e-9,2.8511746635148158e-8
CUMN,E1:E2,1,0.05057841184143521,0.05057841184143521,82.83021263113517,1.7258335343784434e-13,1.2943751507838326e-12
CUMN,Residuals,70,0.0427439302210559,6.106275745865129e-4,NA,NA,NA
CUNI,E1,1,0.05780213055247832,0.05780213055247832,40.258840266480554,3.2370475938544415e-8,1.1205164747957683e-7
CUNI,E2,1,0.0034563901519602726,0.0034563901519602726,2.407355190827631,0.1260254264540713,0.1667983585421532
CUNI,E1:E2,1,0.059239619057301095,0.059239619057301095,41.260042463482975,2.386371587401609e-8,9.762429221188401e-8
CUNI,Residuals,60,0.08614574613159576,0.001435762435526596,NA,NA,NA
CUZN,E1,1,0.005604800354761116,0.005604800354761116,5.81700264541747,0.01805053378790552,0.02707580068185828
CUZN,E2,1,0.1256178006427554,0.1256178006427554,130.37379253477027,8.991273282784104e-19,2.0230364886264235e-17
CUZN,E1:E2,1,0.04245358950425791,0.04245358950425791,44.060916861018335,2.946227555234295e-9,1.657252999819291e-8
CUZN,Residuals,84,0.08093570838769071,9.635203379486989e-4,NA,NA,NA
MNNI,E1,1,7.721138370750516e-5,7.721138370750516e-5,0.029007709618742633,0.8652260339219812,0.8848902619656626
MNNI,E2,1,0.03234190781450832,0.03234190781450832,12.150600408268662,8.288181329796864e-4,0.0019629903149518887
MNNI,E1:E2,1,5.187520295721784e-5,5.187520295721784e-5,0.01948910577094146,0.889352625350099,0.889352625350099
MNNI,Residuals,74,0.19696978732383782,0.0026617538827545654,NA,NA,NA
MNZN,E1,1,0.001557551799011656,0.001557551799011656,0.9681151563011208,0.32757365865080457,0.3779696061355437
MNZN,E2,1,0.14667070326801052,0.14667070326801052,91.16494931931486,1.158933833636683e-15,1.0430404502730147e-14
MNZN,E1:E2,1,0.011817598250140891,0.011817598250140891,7.34537110374034,0.007938523365844302,0.014289342058519745
MNZN,Residuals,98,0.15766727264795077,0.0016088497208974568,NA,NA,NA
NIZN,E1,1,5.8513256702100284e-5,5.8513256702100284e-5,0.061170977481357344,0.8052307712100004,0.8627472548678575
NIZN,E2,1,0.011281596525109717,0.011281596525109717,11.794016021098942,9.082542235827304e-4,0.0020435720030611434
NIZN,E1:E2,1,0.0067024036014396125,0.0067024036014396125,7.006832346761423,0.009620207486844475,0.016650359111846206
NIZN,Residuals,88,0.08417662757398475,9.565525860680085e-4,NA,NA,NA
