strain,E1,E2,anc_slope,avg_slope,relfit1
OLY077,.YPAD,Cd,0.01895355052072835,0.01895355052072835,0
OLY077,.YPAD,Co,0.024788894353866546,0.024788894353866546,0
OLY077,.YPAD,Cu,0.008643785839868025,0.008643785839868025,0
OLY077,.YPAD,Mn,0.01977103815109517,0.01977103815109517,0
OLY077,.YPAD,Ni,0.02142069074895225,0.02142069074895225,0
OLY077,.YPAD,Zn,0.020141181159930934,0.020141181159930934,0
cdbm_21,Cd,.YPAD,0.25524757384878666,0.19454818828423825,-0.0606993855645484
cdbm_21,Cd,Cd,0.01895355052072835,0.17702237540643634,0.158068824885708
cdbm_21,Cd,Co,0.024788894353866546,0.004927441482616145,-0.0198614528712504
cdbm_21,Cd,Cu,0.008643785839868025,0.029534918619122948,0.020891132779254924
cdbm_21,Cd,Mn,0.01977103815109517,0.10626113923217782,0.08649010108108265
cdbm_21,Cd,Ni,0.02142069074895225,0.07901131018339665,0.05759061943444439
cdbm_21,Cd,Zn,0.020141181159930934,0.022925415784265834,0.0027842346243348998
cdbm_22,Cd,.YPAD,0.25524757384878666,0.12856555211999973,-0.12668202172878693
cdbm_22,Cd,Cd,0.01895355052072835,0.15927511409453626,0.14032156357380793
cdbm_22,Cd,Co,0.024788894353866546,0.011079185002760285,-0.013709709351106261
cdbm_22,Cd,Cu,0.008643785839868025,0.034986197919306676,0.026342412079438653
cdbm_22,Cd,Mn,0.01977103815109517,0.15429496308880225,0.1345239249377071
cdbm_22,Cd,Ni,0.02142069074895225,0.013362466777522276,-0.008058223971429974
cdbm_22,Cd,Zn,0.020141181159930934,0.11018784562076105,0.09004666446083011
cdbm_23,Cd,.YPAD,0.25524757384878666,0.14583435479637025,-0.10941321905241641
cdbm_23,Cd,Cd,0.01895355052072835,0.04054305078327047,0.021589500262542125
cdbm_23,Cd,Co,0.024788894353866546,0.0171486862737824,-0.007640208080084147
cdbm_23,Cd,Cu,0.008643785839868025,0.07959598288254097,0.07095219704267294
cdbm_23,Cd,Mn,0.01977103815109517,0.029483781197973465,0.009712743046878296
cdbm_23,Cd,Ni,0.02142069074895225,0.15981650454410784,0.1383958137951556
cdbm_23,Cd,Zn,0.020141181159930934,0.01277170967132571,-0.007369471488605225
cdbm_25,Cd,.YPAD,0.25524757384878666,0.17954669921035876,-0.0757008746384279
cdbm_25,Cd,Cd,0.01895355052072835,0.06128706120378523,0.04233351068305688
cdbm_25,Cd,Co,0.024788894353866546,0.022624782150537627,-0.002164112203328919
cdbm_25,Cd,Cu,0.008643785839868025,0.014152147653767592,0.005508361813899567
cdbm_25,Cd,Mn,0.01977103815109517,0.13652988800488813,0.11675884985379296
cdbm_25,Cd,Ni,0.02142069074895225,0.08543196388932632,0.06401127314037407
cdbm_25,Cd,Zn,0.020141181159930934,0.0313424221021208,0.011201240942189866
cdbm_26,Cd,.YPAD,0.25524757384878666,0.26053079126842077,0.005283217419634112
cdbm_26,Cd,Cd,0.01895355052072835,0.09595550210655943,0.07700195158583108
cdbm_26,Cd,Co,0.024788894353866546,0.059045616373348826,0.03425672201948228
cdbm_26,Cd,Cu,0.008643785839868025,0.09796449413485021,0.08932070829498219
cdbm_26,Cd,Mn,0.01977103815109517,0.0958243716367087,0.07605333348561354
cdbm_26,Cd,Ni,0.02142069074895225,0.17660021658649774,0.1551795258375455
cdbm_26,Cd,Zn,0.020141181159930934,0.033856068451521046,0.013714887291590112
cdbm_28,Cd,.YPAD,0.25524757384878666,0.22719931841788676,-0.028048255430899893
cdbm_28,Cd,Cd,0.01895355052072835,0.05236499167985777,0.03341144115912942
cdbm_28,Cd,Co,0.024788894353866546,0.030481310412759158,0.005692416058892612
cdbm_28,Cd,Cu,0.008643785839868025,0.012251941727825512,0.003608155887957487
cdbm_28,Cd,Mn,0.01977103815109517,0.1411393652395176,0.12136832708842242
cdbm_28,Cd,Ni,0.02142069074895225,0.1613264633844775,0.13990577263552526
cdbm_28,Cd,Zn,0.020141181159930934,0.02519973461567735,0.005058553455746417
cdbm_29,Cd,.YPAD,0.25524757384878666,0.1297715063568185,-0.12547606749196816
cdbm_29,Cd,Cd,0.01895355052072835,0.05680939452190613,0.03785584400117778
cdbm_29,Cd,Co,0.024788894353866546,0.01213796957388877,-0.012650924779977776
cdbm_29,Cd,Cu,0.008643785839868025,0.008994401722028929,3.5061588216090366e-4
cdbm_29,Cd,Mn,0.01977103815109517,0.07803780868870235,0.058266770537607177
cdbm_29,Cd,Ni,0.02142069074895225,0.13968340289438613,0.11826271214543388
cdbm_29,Cd,Zn,0.020141181159930934,0.0205467396013903,4.055584414593659e-4
cdbm_30,Cd,.YPAD,0.25524757384878666,0.16064557335077076,-0.0946020004980159
cdbm_30,Cd,Cd,0.01895355052072835,0.05804370818707218,0.03909015766634383
cdbm_30,Cd,Co,0.024788894353866546,0.022779392638838665,-0.002009501715027881
cdbm_30,Cd,Cu,0.008643785839868025,0.015450693760521425,0.0068069079206534
cdbm_30,Cd,Mn,0.01977103815109517,0.03248429440994015,0.01271325625884498
cdbm_30,Cd,Ni,0.02142069074895225,0.08145479813287382,0.060034107383921564
cdbm_30,Cd,Zn,0.020141181159930934,0.0261785744276599,0.006037393267728966
cdbm_31,Cd,.YPAD,0.25524757384878666,0.20628221645904699,-0.04896535738973967
cdbm_31,Cd,Cd,0.01895355052072835,0.03177695629061351,0.012823405769885159
cdbm_31,Cd,Co,0.024788894353866546,0.0066700286710519325,-0.018118865682814615
cdbm_31,Cd,Cu,0.008643785839868025,0.030121572471009127,0.021477786631141103
cdbm_31,Cd,Mn,0.01977103815109517,0.12670934766839675,0.10693830951730159
cdbm_31,Cd,Ni,0.02142069074895225,0.01054500929631439,-0.01087568145263786
cdbm_31,Cd,Zn,0.020141181159930934,0.0129176058738523,-0.007223575286078634
cdbm_32,Cd,.YPAD,0.25524757384878666,0.21670857029698626,-0.0385390035518004
cdbm_32,Cd,Cd,0.01895355052072835,0.07049636803618807,0.05154281751545972
cdbm_32,Cd,Co,0.024788894353866546,0.023234835863639173,-0.001554058490227373
cdbm_32,Cd,Cu,0.008643785839868025,0.01740003837125136,0.008756252531383334
cdbm_32,Cd,Mn,0.01977103815109517,0.03020302703493627,0.0104319888838411
cdbm_32,Cd,Ni,0.02142069074895225,0.02079955784828335,-6.211329006689005e-4
cdbm_32,Cd,Zn,0.020141181159930934,0.022339620525668732,0.0021984393657377976
