CODE	GENE	ID	FUNCTION	PROCESS	COMPONENT
YEAST|SGD=S000005251|UniProtKB=P21965	MCK1	Protein kinase MCK1;MCK1;PTN000622172;orthologs	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);protein serine/threonine/tyrosine kinase activity(GO:0004712);protein tyrosine kinase activity(GO:0004713);enzyme inhibitor activity(GO:0004857);ATP binding(GO:0005524);cyclin binding(GO:0030332);protein serine kinase activity(GO:0106310)	mitotic sister chromatid segregation(GO:0000070);double-strand break repair via nonhomologous end joining(GO:0006303);signal transduction(GO:0007165);peptidyl-threonine phosphorylation(GO:0018107);cell differentiation(GO:0030154);protein catabolic process(GO:0030163);ascospore formation(GO:0030437);mitotic spindle orientation checkpoint signaling(GO:0031578);meiotic cell cycle(GO:0051321)	cellular_component(GO:0005575);nucleus(GO:0005634);cytoplasm(GO:0005737)
YEAST|SGD=S000005177|UniProtKB=P53858	BNI4	Protein BNI4;BNI4;PTN000297802;orthologs	actin binding(GO:0003779);protein binding(GO:0005515)	division septum assembly(GO:0000917);chitin biosynthetic process(GO:0006031);actin cytoskeleton organization(GO:0030036)	incipient cellular bud site(GO:0000131);cellular bud neck(GO:0005935);septin ring(GO:0005940);cellular bud neck septin collar(GO:0032174)
YEAST|SGD=S000004096|UniProtKB=Q12019	MDN1	Midasin;MDN1;PTN000529846;orthologs	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	ribosomal large subunit assembly(GO:0000027);ribosomal large subunit export from nucleus(GO:0000055);rRNA processing(GO:0006364);protein-RNA complex remodeling(GO:0110136);regulation of ribosomal subunit export from nucleus(GO:2000200)	nucleus(GO:0005634);nucleoplasm(GO:0005654);nucleolus(GO:0005730);mitochondrion(GO:0005739);preribosome, large subunit precursor(GO:0030687)
YEAST|SGD=S000000767|UniProtKB=P32622	YEF1	ATP-NADH kinase YEF1;YEF1;PTN000463723;orthologs	NAD+ kinase activity(GO:0003951);ATP binding(GO:0005524);kinase activity(GO:0016301);NADH kinase activity(GO:0042736)	NADP biosynthetic process(GO:0006741);NAD metabolic process(GO:0019674)	cellular_component(GO:0005575)
YEAST|SGD=S000004592|UniProtKB=P25297	PHO84	Inorganic phosphate transporter PHO84;PHO84;PTN002781563;orthologs	phosphate transmembrane transporter activity(GO:0005315);manganese ion transmembrane transporter activity(GO:0005384);zinc ion binding(GO:0008270);selenite:proton symporter activity(GO:0097079)	polyphosphate metabolic process(GO:0006797);phosphate ion transport(GO:0006817);manganese ion transport(GO:0006828);transmembrane transport(GO:0055085);manganese ion transmembrane transport(GO:0071421);plasma membrane selenite transport(GO:0097080);proton transmembrane transport(GO:1902600)	fungal-type vacuole(GO:0000324);vacuole(GO:0005773);endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);membrane(GO:0016020)
YEAST|SGD=S000000213|UniProtKB=P02309	HHF2	Histone H4;HHF2;PTN000050285;orthologs	DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982)	chromatin organization(GO:0006325);nucleosome assembly(GO:0006334)	nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694);replication fork protection complex(GO:0031298);protein-containing complex(GO:0032991)
YEAST|SGD=S000003198|UniProtKB=P53036	SAP4	SIT4-associating protein SAP4;SAP4;PTN000290749;orthologs	molecular_function(GO:0003674);protein phosphatase regulator activity(GO:0019888);protein phosphatase binding(GO:0019903)	G1/S transition of mitotic cell cycle(GO:0000082);regulation of phosphoprotein phosphatase activity(GO:0043666)	nucleus(GO:0005634);mitochondrion(GO:0005739);cytosol(GO:0005829)
YEAST|SGD=S000002584|UniProtKB=P21734	UBC1	Ubiquitin-conjugating enzyme E2 1;UBC1;PTN000629661;orthologs	ubiquitin-protein transferase activity(GO:0004842);protein binding(GO:0005515);ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631);proteasome binding(GO:0070628)	protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511);vesicle organization(GO:0016050);protein ubiquitination(GO:0016567);ERAD pathway(GO:0036503)	nucleus(GO:0005634);cytosol(GO:0005829)
YEAST|SGD=S000004513|UniProtKB=Q04693	RSE1	Pre-mRNA-splicing factor RSE1;RSE1;PTN000068493;orthologs	nucleic acid binding(GO:0003676);U2 snRNA binding(GO:0030620)	spliceosomal complex assembly(GO:0000245);mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380);RNA metabolic process(GO:0016070)	nucleus(GO:0005634);spliceosomal complex(GO:0005681);U2 snRNP(GO:0005686);U2-type prespliceosome(GO:0071004)
YEAST|SGD=S000002719|UniProtKB=P32776	TFB1	General transcription and DNA repair factor IIH subunit TFB1;TFB1;PTN000304533;orthologs	phosphatidylinositol-5-phosphate binding(GO:0010314);phosphatidylinositol-3-phosphate binding(GO:0032266)	DNA repair(GO:0006281);nucleotide-excision repair(GO:0006289);DNA-templated transcription(GO:0006351);transcription by RNA polymerase I(GO:0006360);transcription by RNA polymerase II(GO:0006366)	nucleotide-excision repair factor 3 complex(GO:0000112);transcription factor TFIIH core complex(GO:0000439);nucleus(GO:0005634);transcription factor TFIIH holo complex(GO:0005675);cytosol(GO:0005829)
