TERM	ANNOTATED_GENES
transcription by RNA polymerase II	ADR1, AFT1, CCR4, CLN3, DOT6, ECM22, FZF1, HIR2, ITC1, MCM5, MED6, MET30, MOT1, NPL3, OAF1, OPI1, PDR1, PHO23, RAD26, RCO1, RPI1, RPT5, RSC1, SFP1, SMY2, SNT2, SPT2, SUB2, SUM1, TAF8, TFB1, TFG1, TOP1, UGA3, UME6, WAR1, YAP6
response to chemical	ADR1, BDS1, CCW12, CNE1, FLC2, FSF1, FZF1, GPB1, GPB2, GRR1, HRT3, HUL5, KIN1, KIN82, MDL2, MET30, OAF1, OPI1, PBS2, PDR1, PDR10, PPQ1, RCK2, SHP1, SMY2, SSK2, STE5, TRL1, UBC1, UBR2, UGA3, UME6, USA1, VPS74, YCF1, YCK1, YKL126W
mitotic cell cycle	ACT1, AFT1, APC2, BIR1, BNI1, CCR4, CDC25, CLB3, CLN3, CSM3, CYK3, DBF20, GRR1, HSL1, KAR3, MCK1, MET30, MYO2, NIP100, PKC1, PTK2, RHO1, SAP4, SMC2, SPC105, TOM1, TOP1, TUS1, VRP1, ZDS2
meiotic cell cycle	ACT1, AFT1, CLB3, CSM3, FKS3, GAS4, GPB2, GSC2, KAR3, MCK1, MLH3, MMS4, MSC6, RAD17, RCK2, REC102, RED1, RIM11, RIM21, SET2, SHP1, SMC2, SPO11, SPO20, SPO77, SPS100, TOP2, VPS13
DNA repair	ACT1, CSM3, DDR48, FYV6, IRC20, MCK1, MCM5, MLH3, MMS4, PDR10, PHR1, POL3, PRI2, RAD16, RAD17, RAD26, RSC1, SET2, SUB2, TAH11, TFB1, ULS1, YRA1
cell wall organization or biogenesis	ACT1, CCW12, CWH41, FKS3, FLC2, GAS4, GSC2, KRE5, LRG1, MHP1, PKC1, RHO1, RIM21, RPI1, SBE2, SKN1, SPO77, SPS100, TCO89, TUS1, UTH1, YKL126W
lipid metabolism	ACB1, ACC1, AFT1, ERG1, ERG27, ERG7, ERG9, FAS2, FIG4, FLC2, IST2, MCT1, OAF1, OPI1, PLB2, ROG1, SFH5, SKN1, TGL5, VPS74, YKL126W, YLR372W
proteolysis involved in protein catabolism	APC2, BLM10, BSD2, CNE1, DOA4, FYV10, GPB1, GRR1, HRT3, HUL5, MDM30, MET30, RAD16, RPT5, SHP1, SMY2, SSE1, TOM1, UBC1, UBR2, UBX7, USA1
regulation of cell cycle	APC2, BIR1, CCR4, CDC25, CLB3, CLN3, GRR1, HSL1, KAR3, MCK1, MMS4, RAD17, RCK2, RED1, RHO1, SET2, SMC2, SPC105, SPO77, TUS1, VRP1, ZDS2
chromatin organization	ADR1, DOT6, HHF2, HIR2, IES3, IOC4, ITC1, MCM5, PHO23, RSC1, SMC2, SPT2, SUB2, SUM1, SWC5, TOP1, TOP2, ULS1, UME6, VID22, ZDS2
organelle fission	AFT1, APC2, BIR1, CLB3, CSM3, DBF20, MCK1, MLH3, MMS4, MSC6, RAD17, RCK2, REC102, RED1, SET2, SMC2, SPC105, SPO11, TOP1, TOP2
regulation of organelle organization	ABP1, APC2, ATG11, BIR1, BNI1, CLB3, KAR3, MHP1, PKC1, PKP1, RCK2, RED1, RHO1, RIM21, RRP6, SET2, SPC105, SSK2, TUS1, VRP1
cytoskeleton organization	ABP1, ACT1, APC2, BIR1, BNI1, CHC1, CLB3, KAR3, MHP1, MLF3, MYO2, NIP100, PBS2, PKC1, RHO1, SIW14, SSK2, TUS1, VRP1
DNA recombination	EBS1, HO, IES3, IRC20, IRC8, MCM5, MLH3, MMS4, MSC6, NSR1, NUC1, PDR10, RAD17, REC102, SET2, TAH11, TOP1, TOP2
