strain,conc,metal,machine,plate,wells,batch
nibm_16,ni,CU,BIO1,left,Well 101,BIO1_6_202203011
nibm_4,ni,CU,BIO1,left,Well 102,BIO1_6_202203011
mnbm_24,mn,CU,BIO1,left,Well 103,BIO1_6_202203011
cobm_18,co,CU,BIO1,left,Well 104,BIO1_6_202203011
znbm_42,zn,CU,BIO1,left,Well 105,BIO1_6_202203011
znbm_38,zn,CU,BIO1,left,Well 106,BIO1_6_202203011
cdbm_26,cd,CU,BIO1,left,Well 107,BIO1_6_202203011
cdbm_30,cd,CU,BIO1,left,Well 108,BIO1_6_202203011
cubm_17,cu,CU,BIO1,left,Well 109,BIO1_6_202203011
mnbm_24,mn,CU,BIO1,left,Well 110,BIO1_6_202203011
mnbm_13,mn,CU,BIO1,left,Well 111,BIO1_6_202203011
znbm_34,zn,CU,BIO1,left,Well 112,BIO1_6_202203011
cubm_6,cu,CU,BIO1,left,Well 113,BIO1_6_202203011
mnbm_24,mn,CU,BIO1,left,Well 114,BIO1_6_202203011
znbm_6,zn,CU,BIO1,left,Well 115,BIO1_6_202203011
cdbm_48,cd,CU,BIO1,left,Well 116,BIO1_6_202203011
blank,NA,CU,BIO1,left,Well 117,BIO1_6_202203011
cubm_3,cu,CU,BIO1,left,Well 118,BIO1_6_202203011
cdbm_42,cd,CU,BIO1,left,Well 119,BIO1_6_202203011
mnbm_17,mn,CU,BIO1,left,Well 120,BIO1_6_202203011
cdbm_39,cd,CU,BIO1,left,Well 121,BIO1_6_202203011
znbm_25,zn,CU,BIO1,left,Well 122,BIO1_6_202203011
znbm_39,zn,CU,BIO1,left,Well 123,BIO1_6_202203011
znbm_32,zn,CU,BIO1,left,Well 124,BIO1_6_202203011
znbm_8,zn,CU,BIO1,left,Well 125,BIO1_6_202203011
cobm_6,co,CU,BIO1,left,Well 126,BIO1_6_202203011
cubm_7,cu,CU,BIO1,left,Well 127,BIO1_6_202203011
cdbm_45,cd,CU,BIO1,left,Well 128,BIO1_6_202203011
cobm_1,co,CU,BIO1,left,Well 129,BIO1_6_202203011
cubm_11,cu,CU,BIO1,left,Well 130,BIO1_6_202203011
cdbm_46,cd,CU,BIO1,left,Well 131,BIO1_6_202203011
znbm_25,zn,CU,BIO1,left,Well 132,BIO1_6_202203011
cobm_15,co,CU,BIO1,left,Well 133,BIO1_6_202203011
cdbm_23,cd,CU,BIO1,left,Well 134,BIO1_6_202203011
cdbm_44,cd,CU,BIO1,left,Well 135,BIO1_6_202203011
znbm_7,zn,CU,BIO1,left,Well 136,BIO1_6_202203011
mnbm_25,mn,CU,BIO1,left,Well 137,BIO1_6_202203011
mnbm_12,mn,CU,BIO1,left,Well 138,BIO1_6_202203011
znbm_43,zn,CU,BIO1,left,Well 139,BIO1_6_202203011
cdbm_39,cd,CU,BIO1,left,Well 140,BIO1_6_202203011
cdbm_31,cd,CU,BIO1,left,Well 141,BIO1_6_202203011
cdbm_43,cd,CU,BIO1,left,Well 142,BIO1_6_202203011
mnbm_42,mn,CU,BIO1,left,Well 143,BIO1_6_202203011
mnbm_44,mn,CU,BIO1,left,Well 144,BIO1_6_202203011
ypadOLY077,YPAD,YPAD,BIO1,left,Well 145,BIO1_6_202203011
znbm_28,zn,CU,BIO1,left,Well 146,BIO1_6_202203011
mnbm_17,mn,CU,BIO1,left,Well 147,BIO1_6_202203011
nibm_29,ni,CU,BIO1,left,Well 148,BIO1_6_202203011
nibm_12,ni,CU,BIO1,left,Well 149,BIO1_6_202203011
nibm_17,ni,CU,BIO1,left,Well 150,BIO1_6_202203011
cobm_5,co,CU,BIO1,left,Well 151,BIO1_6_202203011
cobm_3,co,CU,BIO1,left,Well 152,BIO1_6_202203011
cdbm_30,cd,CU,BIO1,left,Well 153,BIO1_6_202203011
znbm_17,zn,CU,BIO1,left,Well 154,BIO1_6_202203011
cdbm_48,cd,CU,BIO1,left,Well 155,BIO1_6_202203011
mnbm_28,mn,CU,BIO1,left,Well 156,BIO1_6_202203011
znbm_6,zn,CU,BIO1,left,Well 157,BIO1_6_202203011
cobm_12,co,CU,BIO1,left,Well 158,BIO1_6_202203011
znbm_16,zn,CU,BIO1,left,Well 159,BIO1_6_202203011
znbm_45,zn,CU,BIO1,left,Well 160,BIO1_6_202203011
cdbm_46,cd,CU,BIO1,left,Well 161,BIO1_6_202203011
nibm_21,ni,CU,BIO1,left,Well 162,BIO1_6_202203011
znbm_32,zn,CU,BIO1,left,Well 163,BIO1_6_202203011
znbm_22,zn,CU,BIO1,left,Well 164,BIO1_6_202203011
mnbm_14,mn,CU,BIO1,left,Well 165,BIO1_6_202203011
cdbm_26,cd,CU,BIO1,left,Well 166,BIO1_6_202203011
cdbm_48,cd,CU,BIO1,left,Well 167,BIO1_6_202203011
cdbm_37,cd,CU,BIO1,left,Well 168,BIO1_6_202203011
cdbm_48,cd,CU,BIO1,left,Well 169,BIO1_6_202203011
mnbm_38,mn,CU,BIO1,left,Well 170,BIO1_6_202203011
blank,NA,CU,BIO1,left,Well 171,BIO1_6_202203011
cobm_21,co,CU,BIO1,left,Well 172,BIO1_6_202203011
znbm_11,zn,CU,BIO1,left,Well 173,BIO1_6_202203011
mnbm_18,mn,CU,BIO1,left,Well 174,BIO1_6_202203011
znbm_46,zn,CU,BIO1,left,Well 175,BIO1_6_202203011
cubm_8,cu,CU,BIO1,left,Well 176,BIO1_6_202203011
cdbm_45,cd,CU,BIO1,left,Well 177,BIO1_6_202203011
nibm_4,ni,CU,BIO1,left,Well 178,BIO1_6_202203011
cdbm_28,cd,CU,BIO1,left,Well 179,BIO1_6_202203011
znbm_45,zn,CU,BIO1,left,Well 180,BIO1_6_202203011
mnbm_13,mn,CU,BIO1,left,Well 181,BIO1_6_202203011
mnbm_25,mn,CU,BIO1,left,Well 182,BIO1_6_202203011
znbm_5,zn,CU,BIO1,left,Well 183,BIO1_6_202203011
mnbm_14,mn,CU,BIO1,left,Well 184,BIO1_6_202203011
cobm_6,co,CU,BIO1,left,Well 185,BIO1_6_202203011
cubm_11,cu,CU,BIO1,left,Well 186,BIO1_6_202203011
cubm_4,cu,CU,BIO1,left,Well 187,BIO1_6_202203011
cdbm_32,cd,CU,BIO1,left,Well 188,BIO1_6_202203011
nibm_9,ni,CU,BIO1,left,Well 189,BIO1_6_202203011
znbm_12,zn,CU,BIO1,left,Well 190,BIO1_6_202203011
ypadOLY077,YPAD,YPAD,BIO1,left,Well 191,BIO1_6_202203011
cdbm_39,cd,CU,BIO1,left,Well 192,BIO1_6_202203011
mnbm_32,mn,CU,BIO1,left,Well 193,BIO1_6_202203011
nibm_28,ni,CU,BIO1,left,Well 194,BIO1_6_202203011
znbm_17,zn,CU,BIO1,left,Well 195,BIO1_6_202203011
nibm_22,ni,CU,BIO1,left,Well 196,BIO1_6_202203011
cdbm_21,cd,CU,BIO1,left,Well 197,BIO1_6_202203011
znbm_15,zn,CU,BIO1,left,Well 198,BIO1_6_202203011
mnbm_12,mn,CU,BIO1,left,Well 199,BIO1_6_202203011
ypadOLY077,YPAD,YPAD,BIO1,left,Well 200,BIO1_6_202203011
cdbm_47,cd,CO,BIO1,right,Well 201,BIO1_6_202203011
cubm_3,cu,CO,BIO1,right,Well 202,BIO1_6_202203011
cobm_1,co,CO,BIO1,right,Well 203,BIO1_6_202203011
nibm_6,ni,CO,BIO1,right,Well 204,BIO1_6_202203011
ypadOLY077,YPAD,YPAD,BIO1,right,Well 205,BIO1_6_202203011
cubm_12,cu,CO,BIO1,right,Well 206,BIO1_6_202203011
cdbm_26,cd,CO,BIO1,right,Well 207,BIO1_6_202203011
nibm_17,ni,CO,BIO1,right,Well 208,BIO1_6_202203011
mnbm_12,mn,CO,BIO1,right,Well 209,BIO1_6_202203011
nibm_28,ni,CO,BIO1,right,Well 210,BIO1_6_202203011
cobm_17,co,CO,BIO1,right,Well 211,BIO1_6_202203011
nibm_28,ni,CO,BIO1,right,Well 212,BIO1_6_202203011
cubm_4,cu,CO,BIO1,right,Well 213,BIO1_6_202203011
znbm_16,zn,CO,BIO1,right,Well 214,BIO1_6_202203011
