strain,conc,metal,machine,plate,wells,batch
cobm_16,co,MN,BIO2,left,Well 101,BIO2_8_20220316
cdbm_42,cd,MN,BIO2,left,Well 102,BIO2_8_20220316
nibm_25,ni,MN,BIO2,left,Well 103,BIO2_8_20220316
cubm_11,cu,MN,BIO2,left,Well 104,BIO2_8_20220316
znbm_45,zn,MN,BIO2,left,Well 105,BIO2_8_20220316
cobm_15,co,MN,BIO2,left,Well 106,BIO2_8_20220316
nibm_12,ni,MN,BIO2,left,Well 107,BIO2_8_20220316
cdbm_30,cd,MN,BIO2,left,Well 108,BIO2_8_20220316
cubm_15,cu,MN,BIO2,left,Well 109,BIO2_8_20220316
blank,NA,MN,BIO2,left,Well 110,BIO2_8_20220316
cobm_15,co,MN,BIO2,left,Well 111,BIO2_8_20220316
mnbm_31,mn,MN,BIO2,left,Well 112,BIO2_8_20220316
znbm_22,zn,MN,BIO2,left,Well 113,BIO2_8_20220316
nibm_8,ni,MN,BIO2,left,Well 114,BIO2_8_20220316
znbm_8,zn,MN,BIO2,left,Well 115,BIO2_8_20220316
nibm_16,ni,MN,BIO2,left,Well 116,BIO2_8_20220316
cdbm_32,cd,MN,BIO2,left,Well 117,BIO2_8_20220316
nibm_27,ni,MN,BIO2,left,Well 118,BIO2_8_20220316
cubm_11,cu,MN,BIO2,left,Well 119,BIO2_8_20220316
cobm_12,co,MN,BIO2,left,Well 120,BIO2_8_20220316
znbm_19,zn,MN,BIO2,left,Well 121,BIO2_8_20220316
znbm_39,zn,MN,BIO2,left,Well 122,BIO2_8_20220316
cdbm_30,cd,MN,BIO2,left,Well 123,BIO2_8_20220316
znbm_9,zn,MN,BIO2,left,Well 124,BIO2_8_20220316
mnbm_31,mn,MN,BIO2,left,Well 125,BIO2_8_20220316
cobm_18,co,MN,BIO2,left,Well 126,BIO2_8_20220316
znbm_34,zn,MN,BIO2,left,Well 127,BIO2_8_20220316
nibm_14,ni,MN,BIO2,left,Well 128,BIO2_8_20220316
nibm_24,ni,MN,BIO2,left,Well 129,BIO2_8_20220316
znbm_42,zn,MN,BIO2,left,Well 130,BIO2_8_20220316
mnbm_15,mn,MN,BIO2,left,Well 131,BIO2_8_20220316
mnbm_28,mn,MN,BIO2,left,Well 132,BIO2_8_20220316
mnbm_23,mn,MN,BIO2,left,Well 133,BIO2_8_20220316
znbm_28,zn,MN,BIO2,left,Well 134,BIO2_8_20220316
cubm_4,cu,MN,BIO2,left,Well 135,BIO2_8_20220316
blank,NA,MN,BIO2,left,Well 136,BIO2_8_20220316
nibm_30,ni,MN,BIO2,left,Well 137,BIO2_8_20220316
cobm_20,co,MN,BIO2,left,Well 138,BIO2_8_20220316
mnbm_38,mn,MN,BIO2,left,Well 139,BIO2_8_20220316
cdbm_40,cd,MN,BIO2,left,Well 140,BIO2_8_20220316
znbm_16,zn,MN,BIO2,left,Well 141,BIO2_8_20220316
mnbm_18,mn,MN,BIO2,left,Well 142,BIO2_8_20220316
cubm_10,cu,MN,BIO2,left,Well 143,BIO2_8_20220316
mnbm_24,mn,MN,BIO2,left,Well 144,BIO2_8_20220316
cdbm_36,cd,MN,BIO2,left,Well 145,BIO2_8_20220316
znbm_6,zn,MN,BIO2,left,Well 146,BIO2_8_20220316
cubm_3,cu,MN,BIO2,left,Well 147,BIO2_8_20220316
znbm_11,zn,MN,BIO2,left,Well 148,BIO2_8_20220316
znbm_7,zn,MN,BIO2,left,Well 149,BIO2_8_20220316
cobm_4,co,MN,BIO2,left,Well 150,BIO2_8_20220316
cobm_14,co,MN,BIO2,left,Well 151,BIO2_8_20220316
OLY077,YPAD,MN,BIO2,left,Well 152,BIO2_8_20220316
mnbm_13,mn,MN,BIO2,left,Well 153,BIO2_8_20220316
cobm_16,co,MN,BIO2,left,Well 154,BIO2_8_20220316
znbm_25,zn,MN,BIO2,left,Well 155,BIO2_8_20220316
znbm_44,zn,MN,BIO2,left,Well 156,BIO2_8_20220316
cdbm_47,cd,MN,BIO2,left,Well 157,BIO2_8_20220316
cdbm_37,cd,MN,BIO2,left,Well 158,BIO2_8_20220316
mnbm_42,mn,MN,BIO2,left,Well 159,BIO2_8_20220316
cdbm_23,cd,MN,BIO2,left,Well 160,BIO2_8_20220316
cobm_18,co,MN,BIO2,left,Well 161,BIO2_8_20220316
mnbm_12,mn,MN,BIO2,left,Well 162,BIO2_8_20220316
ypadOLY077,YPAD,YPAD,BIO2,left,Well 163,BIO2_8_20220316
cobm_3,co,MN,BIO2,left,Well 164,BIO2_8_20220316
