conc,strain,machine,plate,wells
YPAD,p_98,BIO1,left,Well101
YPAD,p_89,BIO1,left,Well102
YPAD,p_93,BIO1,left,Well103
YPAD,np_101,BIO1,left,Well104
YPAD,np_102,BIO1,left,Well105
YPAD,p_94,BIO1,left,Well106
YPAD,p_97,BIO1,left,Well107
YPAD,np_102,BIO1,left,Well108
YPAD,OLY077,BIO1,left,Well109
YPAD,p_85,BIO1,left,Well110
YPAD,np_86,BIO1,left,Well111
YPAD,p_89,BIO1,left,Well112
YPAD,p_96,BIO1,left,Well113
YPAD,np_82,BIO1,left,Well114
YPAD,p_99,BIO1,left,Well115
YPAD,np_88,BIO1,left,Well116
YPAD,p_100,BIO1,left,Well117
YPAD,np_82,BIO1,left,Well118
YPAD,np_86,BIO1,left,Well119
YPAD,p_98,BIO1,left,Well120
YPAD,p_96,BIO1,left,Well121
YPAD,np_91,BIO1,left,Well122
YPAD,p_97,BIO1,left,Well123
YPAD,Blank,BIO1,left,Well124
YPAD,p_100,BIO1,left,Well125
YPAD,p_83,BIO1,left,Well126
YPAD,np_82,BIO1,left,Well127
YPAD,np_101,BIO1,left,Well128
YPAD,np_87,BIO1,left,Well129
YPAD,np_81,BIO1,left,Well130
YPAD,blank,BIO1,left,Well131
YPAD,np_90,BIO1,left,Well132
YPAD,np_91,BIO1,left,Well133
YPAD,np_81,BIO1,left,Well134
YPAD,np_81,BIO1,left,Well135
YPAD,p_83,BIO1,left,Well136
YPAD,np_87,BIO1,left,Well137
YPAD,p_99,BIO1,left,Well138
YPAD,p_99,BIO1,left,Well139
YPAD,np_87,BIO1,left,Well140
YPAD,np_90,BIO1,left,Well141
YPAD,p_89,BIO1,left,Well142
YPAD,blank,BIO1,left,Well143
YPAD,p_93,BIO1,left,Well144
YPAD,np_92,BIO1,left,Well145
YPAD,p_100,BIO1,left,Well146
YPAD,p_85,BIO1,left,Well147
YPAD,p_83,BIO1,left,Well148
YPAD,p_98,BIO1,left,Well149
YPAD,p_85,BIO1,left,Well150
YPAD,p_94,BIO1,left,Well151
YPAD,np_101,BIO1,left,Well152
YPAD,OLY077,BIO1,left,Well153
YPAD,p_97,BIO1,left,Well154
YPAD,OLY077,BIO1,left,Well155
YPAD,np_92,BIO1,left,Well156
YPAD,np_91,BIO1,left,Well157
YPAD,np_88,BIO1,left,Well158
YPAD,np_86,BIO1,left,Well159
YPAD,np_88,BIO1,left,Well160
YPAD,p_96,BIO1,left,Well161
YPAD,np_92,BIO1,left,Well162
YPAD,p_94,BIO1,left,Well163
YPAD,np_102,BIO1,left,Well164
YPAD,blank,BIO1,left,Well165
YPAD,p_93,BIO1,left,Well166
YPAD,np_90,BIO1,left,Well167
CO,p_96,BIO1,left,Well168
CO,np_82,BIO1,left,Well169
CO,p_93,BIO1,left,Well170
CO,p_99,BIO1,left,Well171
CO,np_82,BIO1,left,Well172
CO,p_85,BIO1,left,Well173
CO,np_102,BIO1,left,Well174
CO,p_94,BIO1,left,Well175
CO,np_102,BIO1,left,Well176
CO,np_86,BIO1,left,Well177
CO,p_89,BIO1,left,Well178
CO,p_98,BIO1,left,Well179
CO,p_94,BIO1,left,Well180
CO,np_87,BIO1,left,Well181
CO,OLY077,BIO1,left,Well182
CO,np_90,BIO1,left,Well183
CO,p_93,BIO1,left,Well184
CO,p_94,BIO1,left,Well185
CO,p_100,BIO1,left,Well186
CO,np_90,BIO1,left,Well187
CO,p_97,BIO1,left,Well188
CO,Blank,BIO1,left,Well189
CO,np_91,BIO1,left,Well190
CO,p_89,BIO1,left,Well191
CO,np_88,BIO1,left,Well192
CO,p_85,BIO1,left,Well193
CO,p_97,BIO1,left,Well194
CO,p_100,BIO1,left,Well195
CO,p_99,BIO1,left,Well196
CO,OLY077,BIO1,left,Well197
CO,p_99,BIO1,left,Well198
CO,p_98,BIO1,left,Well199
CO,np_88,BIO1,left,Well200
CO,np_92,BIO1,right,Well201
CO,np_101,BIO1,right,Well202
CO,np_81,BIO1,right,Well203
CO,p_98,BIO1,right,Well204
CO,np_86,BIO1,right,Well205
CO,np_86,BIO1,right,Well206
CO,np_87,BIO1,right,Well207
CO,np_92,BIO1,right,Well208
CO,p_85,BIO1,right,Well209
CO,p_96,BIO1,right,Well210
CO,p_93,BIO1,right,Well211
CO,p_97,BIO1,right,Well212
CO,np_81,BIO1,right,Well213
CO,np_81,BIO1,right,Well214
CO,np_101,BIO1,right,Well215
CO,np_88,BIO1,right,Well216
CO,np_90,BIO1,right,Well217
CO,np_91,BIO1,right,Well218
CO,p_83,BIO1,right,Well219
CO,np_91,BIO1,right,Well220
CO,p_83,BIO1,right,Well221
CO,np_82,BIO1,right,Well222
CO,np_87,BIO1,right,Well223
CO,p_89,BIO1,right,Well224
CO,p_83,BIO1,right,Well225
CO,np_102,BIO1,right,Well226
CO,blank,BIO1,right,Well227
CO,p_96,BIO1,right,Well228
CO,np_101,BIO1,right,Well229
CO,OLY077,BIO1,right,Well230
CO,p_100,BIO1,right,Well231
CO,np_92,BIO1,right,Well232
YPAD,OLY077,BIO1,right,Well233
YPAD,blank,BIO1,right,Well234
MN,p_89,BIO1,right,Well235
MN,np_87,BIO1,right,Well236
MN,np_90,BIO1,right,Well237
MN,p_98,BIO1,right,Well238
MN,np_102,BIO1,right,Well239
MN,p_97,BIO1,right,Well240
MN,np_81,BIO1,right,Well241
MN,p_93,BIO1,right,Well242
MN,p_98,BIO1,right,Well243
MN,p_98,BIO1,right,Well244
MN,np_91,BIO1,right,Well245
MN,np_92,BIO1,right,Well246
MN,np_92,BIO1,right,Well247
MN,np_81,BIO1,right,Well248
MN,p_99,BIO1,right,Well249
MN,np_90,BIO1,right,Well250
MN,p_89,BIO1,right,Well251
MN,np_90,BIO1,right,Well252
MN,p_83,BIO1,right,Well253
MN,p_96,BIO1,right,Well254
MN,Blank,BIO1,right,Well255
MN,np_87,BIO1,right,Well256
MN,p_100,BIO1,right,Well257
MN,np_88,BIO1,right,Well258
MN,p_94,BIO1,right,Well259
MN,np_82,BIO1,right,Well260
MN,p_100,BIO1,right,Well261
MN,Blank,BIO1,right,Well262
MN,np_86,BIO1,right,Well263
MN,np_86,BIO1,right,Well264
MN,p_97,BIO1,right,Well265
MN,p_97,BIO1,right,Well266
MN,np_87,BIO1,right,Well267
MN,np_86,BIO1,right,Well268
MN,p_94,BIO1,right,Well269
MN,p_96,BIO1,right,Well270
MN,np_91,BIO1,right,Well271
MN,np_101,BIO1,right,Well272
MN,p_99,BIO1,right,Well273
MN,p_89,BIO1,right,Well274
MN,np_101,BIO1,right,Well275
MN,np_102,BIO1,right,Well276
MN,p_99,BIO1,right,Well277
MN,np_91,BIO1,right,Well278
MN,OLY077,BIO1,right,Well279
MN,OLY077,BIO1,right,Well280
MN,p_85,BIO1,right,Well281
MN,p_96,BIO1,right,Well282
MN,np_88,BIO1,right,Well283
MN,p_85,BIO1,right,Well284
MN,p_83,BIO1,right,Well285
MN,p_100,BIO1,right,Well286
MN,np_82,BIO1,right,Well287
MN,np_92,BIO1,right,Well288
MN,p_93,BIO1,right,Well289
MN,p_85,BIO1,right,Well290
MN,p_94,BIO1,right,Well291
MN,np_102,BIO1,right,Well292
MN,np_101,BIO1,right,Well293
MN,p_83,BIO1,right,Well294
MN,p_93,BIO1,right,Well295
MN,np_82,BIO1,right,Well296
MN,np_88,BIO1,right,Well297
MN,np_81,BIO1,right,Well298
MN,OLY077,BIO1,right,Well299
YPAD,OLY077,BIO1,right,Well300
