evoline,petite
CdBM1,Non-petite (n = 70)
CdBM2,Non-petite (n = 70)
CdBM3,Non-petite (n = 70)
CdBM5,Non-petite (n = 70)
CdBM6,Non-petite (n = 70)
CdBM7,Non-petite (n = 70)
CdBM8,Non-petite (n = 70)
CdBM9,Non-petite (n = 70)
CdBM10,Non-petite (n = 70)
CdBM11,Non-petite (n = 70)
CdBM12,Non-petite (n = 70)
CdBM13,Non-petite (n = 70)
CdBM14,Non-petite (n = 70)
CdBM15,Non-petite (n = 70)
CdBM17,Non-petite (n = 70)
CdBM18,Non-petite (n = 70)
CdBM19,Non-petite (n = 70)
CdBM20,Non-petite (n = 70)
CdBM21,Non-petite (n = 70)
CdBM22,Non-petite (n = 70)
CdBM23,Non-petite (n = 70)
CdBM24,Non-petite (n = 70)
CdBM25,Non-petite (n = 70)
CdBM26,Non-petite (n = 70)
CdBM27,Non-petite (n = 70)
CdBM28,Non-petite (n = 70)
CdBM29,Non-petite (n = 70)
CdBM30,Non-petite (n = 70)
CdBM31,Non-petite (n = 70)
CdBM32,Non-petite (n = 70)
CdBM33,Non-petite (n = 70)
CdBM34,Non-petite (n = 70)
CdBM35,Non-petite (n = 70)
CdBM36,Non-petite (n = 70)
CdBM37,Non-petite (n = 70)
CdBM38,Non-petite (n = 70)
CdBM39,Non-petite (n = 70)
CdBM40,Non-petite (n = 70)
CdBM41,Non-petite (n = 70)
CdBM42,Non-petite (n = 70)
CdBM43,Non-petite (n = 70)
CdBM44,Non-petite (n = 70)
CdBM45,Non-petite (n = 70)
CdBM46,Non-petite (n = 70)
CdBM47,Non-petite (n = 70)
CdBM48,Non-petite (n = 70)
CdBM49,Non-petite (n = 70)
CdBM50,Non-petite (n = 70)
CdBM51,Non-petite (n = 70)
CdBM52,Non-petite (n = 70)
CdBM53,Non-petite (n = 70)
CdBM54,Non-petite (n = 70)
CdBM55,Non-petite (n = 70)
CoBM1,Petite (n = 38)
CoBM2,Petite (n = 38)
CoBM3,Petite (n = 38)
CoBM4,Petite (n = 38)
CoBM5,Petite (n = 38)
CoBM6,Petite (n = 38)
CoBM7,Petite (n = 38)
CoBM8,Petite (n = 38)
CoBM9,Petite (n = 38)
CoBM12,Petite (n = 38)
CoBM13,Petite (n = 38)
CoBM14,Petite (n = 38)
CoBM15,Petite (n = 38)
CoBM16,Petite (n = 38)
CoBM17,Petite (n = 38)
CoBM18,Petite (n = 38)
CoBM19,Petite (n = 38)
CoBM20,Petite (n = 38)
CoBM21,Petite (n = 38)
CuBM1,Non-petite (n = 70)
CuBM2,Petite (n = 38)
CuBM3,Petite (n = 38)
CuBM4,Non-petite (n = 70)
CuBM5,Non-petite (n = 70)
CuBM6,Non-petite (n = 70)
CuBM7,Non-petite (n = 70)
CuBM8,Non-petite (n = 70)
CuBM9,Non-petite (n = 70)
CuBM10,Non-petite (n = 70)
CuBM12,Non-petite (n = 70)
CuBM13,Non-petite (n = 70)
CuBM14,Petite (n = 38)
CuBM15,Non-petite (n = 70)
CuBM16,Non-petite (n = 70)
CuBM17,Petite (n = 38)
CuBM18,Non-petite (n = 70)
CuBM19,Non-petite (n = 70)
CuBM20,Petite (n = 38)
CuBM21,Petite (n = 38)
CuBM22,Petite (n = 38)
CuBM23,Petite (n = 38)
MnBM1,Petite (n = 38)
MnBM2,Non-petite (n = 70)
MnBM3,Non-petite (n = 70)
MnBM4,Non-petite (n = 70)
MnBM5,Non-petite (n = 70)
MnBM6,Petite (n = 38)
MnBM7,Non-petite (n = 70)
MnBM8,Petite (n = 38)
MnBM9,Non-petite (n = 70)
MnBM10,Non-petite (n = 70)
MnBM12,Petite (n = 38)
MnBM13,Petite (n = 38)
MnBM14,Petite (n = 38)
MnBM15,Non-petite (n = 70)
MnBM16,Petite (n = 38)
MnBM17,Petite (n = 38)
MnBM18,Non-petite (n = 70)
MnBM20,Petite (n = 38)
MnBM21,Non-petite (n = 70)
MnBM23,Petite (n = 38)
MnBM24,Non-petite (n = 70)
MnBM25,Petite (n = 38)
MnBM26,Petite (n = 38)
MnBM27,Petite (n = 38)
MnBM28,Petite (n = 38)
MnBM29,Petite (n = 38)
MnBM30,Petite (n = 38)
MnBM31,Petite (n = 38)
MnBM32,Petite (n = 38)
MnBM33,Non-petite (n = 70)
MnBM34,Petite (n = 38)
MnBM35,Petite (n = 38)
MnBM37,Petite (n = 38)
MnBM38,Non-petite (n = 70)
MnBM39,Petite (n = 38)
MnBM40,Petite (n = 38)
MnBM41,Petite (n = 38)
MnBM42,Petite (n = 38)
MnBM43,Petite (n = 38)
MnBM44,Petite (n = 38)
NiBM1,Non-petite (n = 70)
NiBM3,Non-petite (n = 70)
NiBM4,Petite (n = 38)
NiBM6,Non-petite (n = 70)
NiBM7,Non-petite (n = 70)
NiBM8,Non-petite (n = 70)
NiBM9,Non-petite (n = 70)
NiBM10,Non-petite (n = 70)
NiBM11,Non-petite (n = 70)
NiBM12,Non-petite (n = 70)
NiBM13,Petite (n = 38)
NiBM14,Non-petite (n = 70)
