GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0022857	transmembrane transporter activity	5	47	10.64%	341	6472	5.27%	COX1, FCY2, PHO84, PMA1, VCX1
GO:0030234	enzyme regulator activity	5	47	10.64%	221	6472	3.41%	GCD2, GPB1, PHO81, SHP1, TFG1
GO:0003723	RNA binding	5	47	10.64%	298	6472	4.60%	LOS1, NSR1, SET2, UTP8, YHC1
GO:0016301	kinase activity	5	47	10.64%	198	6472	3.06%	PTK2, SAK1, SSK2, YEF1, YKL126W
GO:0030674	protein-macromolecule adaptor activity	3	47	6.38%	124	6472	1.92%	COG1, STE5, TFG1
GO:0003729	mRNA binding	3	47	6.38%	180	6472	2.78%	NSR1, VTC1, YHC1
GO:0003677	DNA binding	3	47	6.38%	386	6472	5.96%	FZF1, NSR1, SMC2
GO:0043167	ion binding	3	47	6.38%	135	6472	2.09%	ISU1, SMC2, STE5
GO:0016491	oxidoreductase activity	2	47	4.26%	300	6472	4.64%	COX1, DUS4
GO:0008168	methyltransferase activity	2	47	4.26%	89	6472	1.38%	RKM3, SET2
GO:0003700	DNA-binding transcription factor activity	2	47	4.26%	136	6472	2.10%	FZF1, PDR1
GO:0016740	transferase activity	2	47	4.26%	182	6472	2.81%	HUL5, SNT2
GO:0019899	enzyme binding	2	47	4.26%	91	6472	1.41%	LOS1, TFG1
GO:0008092	cytoskeletal protein binding	2	47	4.26%	83	6472	1.28%	ABP1, SSK2
GO:0005085	guanyl-nucleotide exchange factor activity	2	47	4.26%	48	6472	0.74%	CDC25, GCD2
GO:0016757	glycosyltransferase activity	2	47	4.26%	94	6472	1.45%	KRE5, KTR3
GO:0008289	lipid binding	1	47	2.13%	123	6472	1.90%	STE5
GO:0019843	rRNA binding	1	47	2.13%	120	6472	1.85%	RRP6
GO:0016787	hydrolase activity	1	47	2.13%	102	6472	1.58%	ROG1
GO:0008233	peptidase activity	1	47	2.13%	138	6472	2.13%	RCE1
GO:0008135	translation factor activity, RNA binding	1	47	2.13%	41	6472	0.63%	GCD2
GO:0003682	chromatin binding	1	47	2.13%	118	6472	1.82%	SMC2
GO:0004518	nuclease activity	1	47	2.13%	139	6472	2.15%	RRP6
GO:0016874	ligase activity	1	47	2.13%	115	6472	1.78%	ACC1
GO:0016887	ATP hydrolysis activity	1	47	2.13%	90	6472	1.39%	SMC2
GO:0005515	protein binding	2	47	4.26%	106	6472	1.64%	BNI4, BSD2
NA	unknown	6	47	12.77%	2473	6472	%	OCA4, NFT1, SYG1, HBT1, RRP46, FIG2
