GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0042221	response to chemical	8	47	17.02%	454	6485	7.00%	GPB1, HUL5, PDR1, SHP1, SNT2, SSK2, STE5, YKL126W
GO:0006811	ion transport	6	47	12.77%	215	6485	3.32%	BSD2, FZF1, PHO84, PMA1, PTK2, VCX1
GO:0055085	transmembrane transport	4	47	8.51%	271	6485	4.18%	FCY2, PHO84, PMA1, VCX1
GO:0006364	rRNA processing	4	47	8.51%	328	6485	5.06%	NSR1, RRP46, RRP6, UTP8
GO:0033043	regulation of organelle organization	4	47	8.51%	237	6485	3.65%	ABP1, RRP6, SET2, SSK2
GO:0051603	proteolysis involved in protein catabolic process	4	47	8.51%	224	6485	3.45%	BSD2, GPB1, HUL5, SHP1
GO:0006366	transcription by RNA polymerase II	4	47	8.51%	486	6485	7.49%	FZF1, PDR1, SNT2, TFG1
GO:0006873	cellular ion homeostasis	3	47	6.38%	131	6485	2.02%	ISU1, PTK2, VCX1
GO:0031399	regulation of protein modification process	3	47	6.38%	118	6485	1.82%	SET2, STE5, TFG1
GO:0000278	mitotic cell cycle	3	47	6.38%	333	6485	5.13%	CDC25, PTK2, SMC2
GO:0070647	protein modification by small protein conjugation or removal	3	47	6.38%	164	6485	2.53%	GPB1, HUL5, SNT2
GO:0015931	nucleobase-containing compound transport	3	47	6.38%	139	6485	2.14%	FCY2, LOS1, UTP8
GO:0051321	meiotic cell cycle	3	47	6.38%	291	6485	4.49%	SET2, SHP1, SMC2
GO:0051052	regulation of DNA metabolic process	3	47	6.38%	119	6485	1.84%	RRP6, SAK1, SET2
GO:0005975	carbohydrate metabolic process	3	47	6.38%	148	6485	2.28%	KRE5, SAK1, SHP1
GO:0051726	regulation of cell cycle	3	47	6.38%	255	6485	3.93%	CDC25, SET2, SMC2
GO:0006629	lipid metabolic process	3	47	6.38%	297	6485	4.58%	ACC1, ROG1, YKL126W
GO:0006417	regulation of translation	3	47	6.38%	206	6485	3.18%	GCD2, RRP46, RRP6
GO:0001403	invasive growth in response to glucose limitation	3	47	6.38%	54	6485	0.83%	FIG2, GPB1, STE5
GO:0000902	cell morphogenesis	2	47	4.26%	27	6485	0.42%	FIG2, HBT1
GO:0051049	regulation of transport	2	47	4.26%	96	6485	1.48%	FZF1, YKL126W
GO:0048285	organelle fission	2	47	4.26%	243	6485	3.75%	SET2, SMC2
GO:0007010	cytoskeleton organization	2	47	4.26%	254	6485	3.92%	ABP1, SSK2
GO:0016570	histone modification	2	47	4.26%	110	6485	1.70%	SET2, SNT2
GO:0006325	chromatin organization	2	47	4.26%	251	6485	3.87%	SET2, SMC2
