GOID	TERM	NUM_LIST_ANNOTATIONS	LIST_SIZE	CLUSTER_FREQUENCY	TOTAL_NUM_ANNOTATIONS	POPULATION_SIZE	GENOME_FREQUENCY	ANNOTATED_GENES
GO:0006366	transcription by RNA polymerase II	37	319	11.60%	489	6486	7.54%	ADR1, AFT1, CCR4, CLN3, DOT6, ECM22, FZF1, HIR2, ITC1, MCM5, MED6, MET30, MOT1, NPL3, OAF1, OPI1, PDR1, PHO23, RAD26, RCO1, RPI1, RPT5, RSC1, SFP1, SMY2, SNT2, SPT2, SUB2, SUM1, TAF8, TFB1, TFG1, TOP1, UGA3, UME6, WAR1, YAP6
GO:0042221	response to chemical	37	319	11.60%	410	6486	6.32%	ADR1, BDS1, CCW12, CNE1, FLC2, FSF1, FZF1, GPB1, GPB2, GRR1, HRT3, HUL5, KIN1, KIN82, MDL2, MET30, OAF1, OPI1, PBS2, PDR1, PDR10, PPQ1, RCK2, SHP1, SMY2, SSK2, STE5, TRL1, UBC1, UBR2, UGA3, UME6, USA1, VPS74, YCF1, YCK1, YKL126W
GO:0000278	mitotic cell cycle	30	319	9.40%	296	6486	4.56%	ACT1, AFT1, APC2, BIR1, BNI1, CCR4, CDC25, CLB3, CLN3, CSM3, CYK3, DBF20, GRR1, HSL1, KAR3, MCK1, MET30, MYO2, NIP100, PKC1, PTK2, RHO1, SAP4, SMC2, SPC105, TOM1, TOP1, TUS1, VRP1, ZDS2
GO:0051321	meiotic cell cycle	28	319	8.78%	278	6486	4.29%	ACT1, AFT1, CLB3, CSM3, FKS3, GAS4, GPB2, GSC2, KAR3, MCK1, MLH3, MMS4, MSC6, RAD17, RCK2, REC102, RED1, RIM11, RIM21, SET2, SHP1, SMC2, SPO11, SPO20, SPO77, SPS100, TOP2, VPS13
GO:0006281	DNA repair	23	319	7.21%	267	6486	4.12%	ACT1, CSM3, DDR48, FYV6, IRC20, MCK1, MCM5, MLH3, MMS4, PDR10, PHR1, POL3, PRI2, RAD16, RAD17, RAD26, RSC1, SET2, SUB2, TAH11, TFB1, ULS1, YRA1
GO:0071554	cell wall organization or biogenesis	22	319	6.90%	196	6486	3.02%	ACT1, CCW12, CWH41, FKS3, FLC2, GAS4, GSC2, KRE5, LRG1, MHP1, PKC1, RHO1, RIM21, RPI1, SBE2, SKN1, SPO77, SPS100, TCO89, TUS1, UTH1, YKL126W
GO:0006629	lipid metabolism	22	319	6.90%	301	6486	4.64%	ACB1, ACC1, AFT1, ERG1, ERG27, ERG7, ERG9, FAS2, FIG4, FLC2, IST2, MCT1, OAF1, OPI1, PLB2, ROG1, SFH5, SKN1, TGL5, VPS74, YKL126W, YLR372W
GO:0051603	proteolysis involved in protein catabolism	22	319	6.90%	218	6486	3.36%	APC2, BLM10, BSD2, CNE1, DOA4, FYV10, GPB1, GRR1, HRT3, HUL5, MDM30, MET30, RAD16, RPT5, SHP1, SMY2, SSE1, TOM1, UBC1, UBR2, UBX7, USA1
GO:0051726	regulation of cell cycle	22	319	6.90%	247	6486	3.81%	APC2, BIR1, CCR4, CDC25, CLB3, CLN3, GRR1, HSL1, KAR3, MCK1, MMS4, RAD17, RCK2, RED1, RHO1, SET2, SMC2, SPC105, SPO77, TUS1, VRP1, ZDS2
GO:0006325	chromatin organization	21	319	6.58%	249	6486	3.84%	ADR1, DOT6, HHF2, HIR2, IES3, IOC4, ITC1, MCM5, PHO23, RSC1, SMC2, SPT2, SUB2, SUM1, SWC5, TOP1, TOP2, ULS1, UME6, VID22, ZDS2
GO:0048285	organelle fission	20	319	6.27%	222	6486	3.42%	AFT1, APC2, BIR1, CLB3, CSM3, DBF20, MCK1, MLH3, MMS4, MSC6, RAD17, RCK2, REC102, RED1, SET2, SMC2, SPC105, SPO11, TOP1, TOP2
GO:0033043	regulation of organelle organization	20	319	6.27%	235	6486	3.62%	ABP1, APC2, ATG11, BIR1, BNI1, CLB3, KAR3, MHP1, PKC1, PKP1, RCK2, RED1, RHO1, RIM21, RRP6, SET2, SPC105, SSK2, TUS1, VRP1
GO:0007010	cytoskeleton organization	19	319	5.96%	253	6486	3.90%	ABP1, ACT1, APC2, BIR1, BNI1, CHC1, CLB3, KAR3, MHP1, MLF3, MYO2, NIP100, PBS2, PKC1, RHO1, SIW14, SSK2, TUS1, VRP1
GO:0006310	DNA recombination	18	319	5.64%	192	6486	2.96%	EBS1, HO, IES3, IRC20, IRC8, MCM5, MLH3, MMS4, MSC6, NSR1, NUC1, PDR10, RAD17, REC102, SET2, TAH11, TOP1, TOP2
GO:0006364	rRNA processing	17	319	5.33%	331	6486	5.10%	CIC1, ERB1, IPI3, MOT1, MTR4, NSR1, NUG1, REA1, RMP1, RRP46, RRP5, RRP6, SSZ1, TOM1, URB1, UTP21, UTP8
GO:0005975	carbohydrate metabolism	16	319	5.02%	141	6486	2.17%	CWH41, FYV10, GPH1, GSC2, KRE5, LRG1, MDH2, MLS1, PIB1, RBK1, RHO1, SAK1, SHP1, SKN1, SUC2, TCO89
GO:0055085	transmembrane transport	16	319	5.02%	270	6486	4.16%	AGP1, FCY2, FET4, FLC2, HXT13, MDH2, MDL2, PDR10, PHO84, PMA1, RTC2, UGA4, VCX1, YCF1, YHC3, ZRT1
GO:0043934	sporulation	15	319	4.70%	131	6486	2.02%	ACT1, FKS3, GAS4, GPB2, GSC2, MCK1, RIM11, RIM21, SET2, SHP1, SPO20, SPO77, SPS100, UBX7, VPS13
GO:0006260	DNA replication	15	319	4.70%	138	6486	2.13%	CCR4, CSM3, DOA4, IPI3, MCM5, POL3, PRI1, PRI2, RCO1, SAK1, SET2, SUM1, TAH11, TOP1, TOP2
GO:0006401	RNA catabolism	14	319	4.39%	159	6486	2.45%	CCR4, DBF20, EBS1, MTR4, NAB2, NUC1, PKC1, POL3, RMP1, RNY1, RRP46, RRP6, SWT1, TRL1
GO:0051052	regulation of DNA metabolism	14	319	4.39%	109	6486	1.68%	CSM3, DOA4, IPI3, MCM5, MMS4, RCO1, RRP6, SAK1, SET2, SUM1, TAH11, TOP1, TOP2, ULS1
GO:0015931	nucleobase-containing compound transport	14	319	4.39%	139	6486	2.14%	BUL1, DOA4, FCY2, FLC2, LOS1, MDM30, MEX67, NAB2, RPS15, RPS2, SNF7, SUB2, UTP8, YRA1
GO:0006397	mRNA processing	13	319	4.08%	174	6486	2.68%	BRR2, CWC22, MTR4, NAB2, NAM8, NPL3, PRP2, PRP8, RSE1, SUB2, SYF2, USA1, YHC1
GO:0007033	vacuole organization	13	319	4.08%	103	6486	1.59%	ACT1, ATG11, ATG2, CLN3, MYO2, PEP12, RHO1, RIM21, SHP1, VTC1, VTC3, VTC4, YCF1
GO:0006417	regulation of translation	13	319	4.08%	193	6486	2.98%	CCR4, EBS1, GCD2, KSP1, MTR4, NAB2, NPL3, PET111, PKC1, RPS2, RRP46, RRP6, TRL1
GO:0007005	mitochondrion organization	13	319	4.08%	283	6486	4.36%	ATG11, ATG2, BUL1, MAM3, MAS2, MDM30, MSS2, MYO2, PET111, PKP1, TIM54, UTH1, VPS13
GO:0032787	monocarboxylic acid metabolism	12	319	3.76%	128	6486	1.97%	ACB1, ACC1, ALD5, FAS2, MCT1, MLS1, OAF1, PDA1, PDX1, PYK2, UGA3, YLR372W
GO:0008380	RNA splicing	12	319	3.76%	140	6486	2.16%	BRR2, CWC22, NAM8, NPL3, PRP2, PRP8, RSE1, SUB2, SYF2, TRL1, USA1, YHC1
