metal,conc,strain,machine,plate,well
MN,1,OLY010_1,BIO2,left,Well 101
MN,7,OLY008_3,BIO2,left,Well 102
NI,1,blank1,BIO2,left,Well 103
MN,4,blank1,BIO2,left,Well 104
CO,5,OLY008_2,BIO2,left,Well 105
CO,5,blank1,BIO2,left,Well 106
CO,7,OLY010_3,BIO2,left,Well 107
CO,3,blank1,BIO2,left,Well 108
CO,6,OLY008_3,BIO2,left,Well 109
NI,6,blank2,BIO2,left,Well 110
MN,6,blank1,BIO2,left,Well 111
NI,2,OLY008_3,BIO2,left,Well 112
NI,5,OLY010_1,BIO2,left,Well 113
MN,5,OLY008_3,BIO2,left,Well 114
MN,5,OLY010_3,BIO2,left,Well 115
MN,3,OLY010_1,BIO2,left,Well 116
MN,4,OLY010_2,BIO2,left,Well 117
CO,7,blank1,BIO2,left,Well 118
MN,2,OLY008_1,BIO2,left,Well 119
CO,5,OLY008_1,BIO2,left,Well 120
MN,6,OLY010_3,BIO2,left,Well 121
CO,2,OLY010_3,BIO2,left,Well 122
MN,4,OLY010_3,BIO2,left,Well 123
MN,6,OLY010_2,BIO2,left,Well 124
MN,2,OLY008_3,BIO2,left,Well 125
MN,3,OLY008_2,BIO2,left,Well 126
NI,7,OLY008_1,BIO2,left,Well 127
MN,1,blank1,BIO2,left,Well 128
MN,1,blank2,BIO2,left,Well 129
NI,1,OLY010_2,BIO2,left,Well 130
MN,2,OLY008_2,BIO2,left,Well 131
NI,6,OLY010_2,BIO2,left,Well 132
MN,1,OLY008_3,BIO2,left,Well 133
NI,4,OLY010_1,BIO2,left,Well 134
CO,6,OLY010_2,BIO2,left,Well 135
MN,2,OLY010_1,BIO2,left,Well 136
NI,5,OLY008_1,BIO2,left,Well 137
NI,2,OLY010_2,BIO2,left,Well 138
MN,2,blank2,BIO2,left,Well 139
MN,4,OLY010_1,BIO2,left,Well 140
MN,3,blank1,BIO2,left,Well 141
NI,3,OLY010_1,BIO2,left,Well 142
NI,2,OLY010_1,BIO2,left,Well 143
CO,1,OLY008_1,BIO2,left,Well 144
MN,5,OLY010_1,BIO2,left,Well 145
MN,4,blank2,BIO2,left,Well 146
MN,4,OLY008_1,BIO2,left,Well 147
NI,4,OLY008_1,BIO2,left,Well 148
MN,6,OLY008_3,BIO2,left,Well 149
MN,7,OLY008_1,BIO2,left,Well 150
CO,1,OLY010_1,BIO2,left,Well 151
MN,1,OLY010_2,BIO2,left,Well 152
NI,5,blank1,BIO2,left,Well 153
CO,6,OLY008_1,BIO2,left,Well 154
CO,6,OLY008_2,BIO2,left,Well 155
CO,4,blank1,BIO2,left,Well 156
MN,7,OLY010_2,BIO2,left,Well 157
CO,2,blank1,BIO2,left,Well 158
MN,1,OLY010_3,BIO2,left,Well 159
CO,3,OLY008_1,BIO2,left,Well 160
NI,6,OLY008_2,BIO2,left,Well 161
CO,7,blank2,BIO2,left,Well 162
CO,1,blank1,BIO2,left,Well 163
CO,4,OLY008_1,BIO2,left,Well 164
NI,3,OLY010_3,BIO2,left,Well 165
NI,4,OLY010_3,BIO2,left,Well 166
NI,2,blank1,BIO2,left,Well 167
CO,4,OLY010_1,BIO2,left,Well 168
CO,2,OLY010_2,BIO2,left,Well 169
MN,6,blank2,BIO2,left,Well 170
MN,4,OLY008_2,BIO2,left,Well 171
NI,7,OLY008_3,BIO2,left,Well 172
NI,6,blank1,BIO2,left,Well 173
MN,4,OLY008_3,BIO2,left,Well 174
CO,5,blank2,BIO2,left,Well 175
CO,6,OLY010_1,BIO2,left,Well 176
NI,6,OLY008_3,BIO2,left,Well 177
NI,1,OLY008_1,BIO2,left,Well 178
NI,1,OLY008_2,BIO2,left,Well 179
NI,3,OLY010_2,BIO2,left,Well 180
NI,4,OLY008_3,BIO2,left,Well 181
MN,2,OLY010_2,BIO2,left,Well 182
MN,2,OLY010_3,BIO2,left,Well 183
MN,6,OLY010_1,BIO2,left,Well 184
YPAD,NA,OLY008,BIO1,left,Well 185
YPAD,NA,OLY010,BIO1,left,Well 186
NA,NA,NA,BIO2,left,Well 187
NA,NA,NA,BIO2,left,Well 188
NA,NA,NA,BIO2,left,Well 189
