metal,conc,strain,machine,plate,well
CO,6,OLY010_3,BIO1,left,Well 101
NI,1,OLY010_3,BIO1,left,Well 102
NI,3,OLY010_1,BIO1,left,Well 103
NI,1,OLY010_1,BIO1,left,Well 104
CO,7,OLY010_2,BIO1,left,Well 105
NI,5,OLY010_1,BIO1,left,Well 106
NI,2,OLY008_2,BIO1,left,Well 107
CO,4,OLY008_3,BIO1,left,Well 108
NI,7,OLY010_1,BIO1,left,Well 109
CO,2,blank1,BIO1,left,Well 110
CO,3,blank1,BIO1,left,Well 111
NI,5,OLY008_3,BIO1,left,Well 112
CO,6,blank1,BIO1,left,Well 113
NI,4,OLY008_2,BIO1,left,Well 114
CO,1,blank1,BIO1,left,Well 115
NI,2,blank1,BIO1,left,Well 116
NI,1,OLY008_3,BIO1,left,Well 117
CO,1,OLY010_2,BIO1,left,Well 118
NI,4,OLY008_3,BIO1,left,Well 119
CO,5,OLY008_2,BIO1,left,Well 120
NI,2,OLY008_1,BIO1,left,Well 121
CO,4,OLY010_1,BIO1,left,Well 122
CO,4,OLY010_2,BIO1,left,Well 123
NI,4,OLY010_3,BIO1,left,Well 124
CO,1,OLY008_1,BIO1,left,Well 125
CO,2,OLY008_2,BIO1,left,Well 126
CO,3,OLY008_2,BIO1,left,Well 127
CO,2,OLY010_2,BIO1,left,Well 128
NI,6,blank1,BIO1,left,Well 129
CO,4,blank1,BIO1,left,Well 130
CO,7,blank1,BIO1,left,Well 131
CO,4,OLY010_3,BIO1,left,Well 132
CO,5,blank1,BIO1,left,Well 133
NI,5,OLY008_1,BIO1,left,Well 134
CO,2,OLY010_1,BIO1,left,Well 135
NI,2,OLY010_3,BIO1,left,Well 136
NI,7,OLY008_3,BIO1,left,Well 137
CO,6,OLY008_1,BIO1,left,Well 138
NI,7,OLY008_1,BIO1,left,Well 139
CO,2,OLY010_3,BIO1,left,Well 140
CO,5,OLY010_3,BIO1,left,Well 141
CO,7,OLY008_1,BIO1,left,Well 142
NI,3,OLY010_3,BIO1,left,Well 143
CO,4,OLY008_1,BIO1,left,Well 144
CO,5,OLY010_2,BIO1,left,Well 145
NI,5,blank1,BIO1,left,Well 146
NI,3,OLY010_2,BIO1,left,Well 147
NI,7,OLY010_3,BIO1,left,Well 148
CO,1,OLY008_2,BIO1,left,Well 149
NI,1,OLY008_2,BIO1,left,Well 150
NI,4,blank1,BIO1,left,Well 151
NI,4,OLY010_2,BIO1,left,Well 152
NI,3,OLY008_1,BIO1,left,Well 153
CO,5,OLY008_1,BIO1,left,Well 154
CO,3,OLY010_2,BIO1,left,Well 155
CO,4,OLY008_2,BIO1,left,Well 156
CO,7,OLY010_1,BIO1,left,Well 157
NI,1,OLY010_2,BIO1,left,Well 158
CO,6,OLY010_2,BIO1,left,Well 159
CO,7,OLY008_3,BIO1,left,Well 160
NI,2,OLY008_3,BIO1,left,Well 161
CO,3,OLY008_3,BIO1,left,Well 162
CO,5,OLY010_1,BIO1,left,Well 163
CO,1,OLY010_3,BIO1,left,Well 164
CO,7,OLY008_2,BIO1,left,Well 165
CO,6,OLY008_2,BIO1,left,Well 166
NI,4,OLY010_1,BIO1,left,Well 167
CO,3,OLY010_1,BIO1,left,Well 168
NI,3,blank1,BIO1,left,Well 169
CO,1,OLY010_1,BIO1,left,Well 170
NI,5,OLY010_2,BIO1,left,Well 171
CO,7,OLY010_3,BIO1,left,Well 172
CO,3,OLY010_3,BIO1,left,Well 173
NI,6,OLY008_2,BIO1,left,Well 174
CO,2,OLY008_3,BIO1,left,Well 175
NI,7,OLY008_2,BIO1,left,Well 176
NI,3,OLY008_2,BIO1,left,Well 177
NI,7,OLY010_2,BIO1,left,Well 178
NI,5,OLY008_2,BIO1,left,Well 179
NI,2,OLY010_2,BIO1,left,Well 180
CO,6,OLY010_1,BIO1,left,Well 181
NI,6,OLY010_2,BIO1,left,Well 182
NI,5,OLY010_3,BIO1,left,Well 183
NI,6,OLY010_1,BIO1,left,Well 184
CO,6,OLY008_3,BIO1,left,Well 185
NI,7,blank1,BIO1,left,Well 186
NI,1,OLY008_1,BIO1,left,Well 187
CO,1,OLY008_3,BIO1,left,Well 188
NI,6,OLY008_3,BIO1,left,Well 189
CO,3,OLY008_1,BIO1,left,Well 190
NI,1,blank1,BIO1,left,Well 191
CO,2,OLY008_1,BIO1,left,Well 192
NI,6,OLY008_1,BIO1,left,Well 193
NI,4,OLY008_1,BIO1,left,Well 194
NI,6,OLY010_3,BIO1,left,Well 195
CO,5,OLY008_3,BIO1,left,Well 196
NI,2,OLY010_1,BIO1,left,Well 197
NI,3,OLY008_3,BIO1,left,Well 198
NA,NA,NA,BIO1,left,Well 199
NA,NA,NA,BIO1,left,Well 200
FE,3,OLY079c,BIO1,right,Well 201
