strain,conc,metal,machine,plate,wells
oly_077,9,CU,BIO2,left,Well 101
oly_077,7,CU,BIO2,left,Well 102
oly_077,10,CD,BIO2,left,Well 103
oly_077,3,CO,BIO2,left,Well 104
oly_077,3,CD,BIO2,left,Well 105
oly_077,3,MN,BIO2,left,Well 106
oly_077,10,NI,BIO2,right,Well 107
oly_077,1,MN,BIO2,right,Well 108
oly_077,4,ZN,BIO2,right,Well 109
oly_077,5,CO,BIO2,left,Well 110
oly_077,5,MN,BIO2,right,Well 111
oly_077,7,CO,BIO2,left,Well 112
oly_077,6,CO,BIO2,left,Well 113
oly_077,10,ZN,BIO2,right,Well 114
oly_077,10,ZN,BIO2,right,Well 115
oly_077,6,NI,BIO2,right,Well 116
oly_077,2,ZN,BIO2,right,Well 117
oly_077,9,CD,BIO2,left,Well 118
oly_077,6,CD,BIO2,left,Well 119
oly_077,9,ZN,BIO2,right,Well 120
oly_077,9,CD,BIO2,left,Well 121
oly_077,6,NI,BIO2,right,Well 122
oly_077,9,NI,BIO2,right,Well 123
oly_077,10,MN,BIO2,right,Well 124
oly_077,5,CO,BIO2,left,Well 125
oly_077,3,CO,BIO2,left,Well 126
oly_077,2,NI,BIO2,right,Well 127
oly_077,8,CD,BIO2,left,Well 128
oly_077,7,CD,BIO2,left,Well 129
oly_077,7,CD,BIO2,left,Well 130
oly_077,1,NI,BIO2,right,Well 131
oly_077,4,CD,BIO2,left,Well 132
oly_077,8,CU,BIO2,left,Well 133
oly_077,7,CO,BIO2,left,Well 134
oly_077,6,MN,BIO2,left,Well 135
oly_077,8,NI,BIO2,right,Well 136
oly_077,6,MN,BIO2,right,Well 137
oly_077,6,MN,BIO2,right,Well 138
oly_077,8,CD,BIO2,left,Well 139
oly_077,2,NI,BIO2,right,Well 140
oly_077,10,NI,BIO2,right,Well 141
oly_077,6,CO,BIO2,left,Well 142
oly_077,4,NI,BIO2,right,Well 143
oly_077,9,ZN,BIO2,right,Well 144
oly_077,6,CU,BIO2,left,Well 145
oly_077,6,ZN,BIO2,right,Well 146
oly_077,1,NI,BIO2,right,Well 147
oly_077,3,CD,BIO2,left,Well 148
oly_077,6,CU,BIO2,left,Well 149
oly_077,3,NI,BIO2,right,Well 150
oly_077,1,CU,BIO2,left,Well 151
oly_077,3,ZN,BIO2,right,Well 152
oly_077,4,MN,BIO2,right,Well 153
oly_077,8,CU,BIO2,left,Well 154
oly_077,8,NI,BIO2,right,Well 155
oly_077,1,NI,BIO2,right,Well 156
oly_077,4,CD,BIO2,left,Well 157
oly_077,1,CO,BIO2,left,Well 158
oly_077,9,MN,BIO2,right,Well 159
oly_077,2,ZN,BIO2,right,Well 160
oly_077,10,ZN,BIO2,right,Well 161
oly_077,1,ZN,BIO2,right,Well 162
oly_077,9,CO,BIO2,left,Well 163
oly_077,9,NI,BIO2,right,Well 164
oly_077,10,MN,BIO2,left,Well 165
oly_077,1,CD,BIO2,left,Well 166
oly_077,10,CD,BIO2,left,Well 167
oly_077,7,MN,BIO2,right,Well 168
oly_077,3,ZN,BIO2,right,Well 169
oly_077,4,NI,BIO2,right,Well 170
oly_077,5,NI,BIO2,right,Well 171
oly_077,6,CO,BIO2,left,Well 172
oly_077,5,ZN,BIO2,right,Well 173
oly_077,7,ZN,BIO2,right,Well 174
oly_077,2,CO,BIO2,left,Well 175
oly_077,9,CD,BIO2,left,Well 176
oly_077,6,CD,BIO2,left,Well 177
oly_077,9,CU,BIO2,left,Well 178
oly_077,2,CD,BIO2,left,Well 179
oly_077,8,ZN,BIO2,right,Well 180
oly_077,4,CU,BIO2,left,Well 181
oly_077,2,CO,BIO2,left,Well 182
oly_077,4,CO,BIO2,left,Well 183
oly_077,10,CO,BIO2,left,Well 184
oly_077,2,MN,BIO2,right,Well 185
oly_077,10,CU,BIO2,left,Well 186
oly_077,10,CU,BIO2,left,Well 187
oly_077,10,CD,BIO2,left,Well 188
oly_077,7,ZN,BIO2,right,Well 189
oly_077,10,CO,BIO2,left,Well 190
oly_077,4,CU,BIO2,left,Well 191
oly_077,1,ZN,BIO2,right,Well 192
oly_077,8,MN,BIO2,right,Well 193
oly_077,8,CO,BIO2,left,Well 194
oly_077,9,ZN,BIO2,right,Well 195
oly_077,3,CU,BIO2,left,Well 196
oly_077,3,CU,BIO2,left,Well 197
oly_077,8,CD,BIO2,left,Well 198
oly_077,8,CO,BIO2,left,Well 199
oly_077,3,NI,BIO2,right,Well 200
oly_077,5,MN,BIO2,right,Well 201
oly_077,7,CD,BIO2,left,Well 202
oly_077,5,CD,BIO2,left,Well 203
oly_077,4,CO,BIO2,left,Well 204
oly_077,9,NI,BIO2,right,Well 205
oly_077,5,CU,BIO2,left,Well 206
oly_077,10,MN,BIO2,right,Well 207
oly_077,2,MN,BIO2,right,Well 208
oly_077,5,ZN,BIO2,right,Well 209
oly_077,2,MN,BIO2,left,Well 210
oly_077,7,NI,BIO2,right,Well 211
oly_077,7,NI,BIO2,right,Well 212
oly_077,4,MN,BIO2,right,Well 213
oly_077,2,CU,BIO2,left,Well 214
oly_077,8,CU,BIO2,left,Well 215
oly_077,1,CO,BIO2,left,Well 216
oly_077,3,ZN,BIO2,right,Well 217
oly_077,7,CU,BIO2,left,Well 218
oly_077,1,MN,BIO2,right,Well 219
oly_077,2,CD,BIO2,left,Well 220
