CODE	GENE	ID	FUNCTION	PROCESS	COMPONENT
YEAST|SGD=S000005251|UniProtKB=P21965	MCK1	Protein kinase MCK1;MCK1;PTN000622172;orthologs	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);protein serine/threonine/tyrosine kinase activity(GO:0004712);protein tyrosine kinase activity(GO:0004713);enzyme inhibitor activity(GO:0004857);ATP binding(GO:0005524);cyclin binding(GO:0030332);protein serine kinase activity(GO:0106310)	mitotic sister chromatid segregation(GO:0000070);double-strand break repair via nonhomologous end joining(GO:0006303);signal transduction(GO:0007165);peptidyl-threonine phosphorylation(GO:0018107);cell differentiation(GO:0030154);protein catabolic process(GO:0030163);ascospore formation(GO:0030437);mitotic spindle orientation checkpoint signaling(GO:0031578);meiotic cell cycle(GO:0051321)	cellular_component(GO:0005575);nucleus(GO:0005634);cytoplasm(GO:0005737)
YEAST|SGD=S000005177|UniProtKB=P53858	BNI4	Protein BNI4;BNI4;PTN000297802;orthologs	actin binding(GO:0003779);protein binding(GO:0005515)	division septum assembly(GO:0000917);chitin biosynthetic process(GO:0006031);actin cytoskeleton organization(GO:0030036)	incipient cellular bud site(GO:0000131);cellular bud neck(GO:0005935);septin ring(GO:0005940);cellular bud neck septin collar(GO:0032174)
YEAST|SGD=S000004096|UniProtKB=Q12019	MDN1	Midasin;MDN1;PTN000529846;orthologs	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887)	ribosomal large subunit assembly(GO:0000027);ribosomal large subunit export from nucleus(GO:0000055);rRNA processing(GO:0006364);protein-RNA complex remodeling(GO:0110136);regulation of ribosomal subunit export from nucleus(GO:2000200)	nucleus(GO:0005634);nucleoplasm(GO:0005654);nucleolus(GO:0005730);mitochondrion(GO:0005739);preribosome, large subunit precursor(GO:0030687)
YEAST|SGD=S000005238|UniProtKB=P48565	RIM21	pH-response regulator protein palH_RIM21;RIM21;PTN002183817;orthologs	molecular_function(GO:0003674)	invasive growth in response to glucose limitation(GO:0001403);fungal-type cell wall biogenesis(GO:0009272);ascospore formation(GO:0030437);regulation of vacuole organization(GO:0044088);cellular response to pH(GO:0071467);cellular response to alkaline pH(GO:0071469)	endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886)
YEAST|SGD=S000001750|UniProtKB=P36135	UTH1	Probable secreted beta-glucosidase UTH1;UTH1;PTN001263249;orthologs	molecular_function(GO:0003674);hydrolase activity, acting on glycosyl bonds(GO:0016798)	polysaccharide catabolic process(GO:0000272);autophagy of mitochondrion(GO:0000422);division septum assembly(GO:0000917);autophagy(GO:0006914);fungal-type cell wall biogenesis(GO:0009272);fungal-type cell wall organization(GO:0031505);cell division(GO:0051301);cell wall organization(GO:0071555)	extracellular region(GO:0005576);mitochondrion(GO:0005739);mitochondrial outer membrane(GO:0005741);mitochondrial inner membrane(GO:0005743);fungal-type cell wall(GO:0009277);cell surface(GO:0009986)
YEAST|SGD=S000000213|UniProtKB=P02309	HHF2	Histone H4;HHF2;PTN000050285;orthologs	DNA binding(GO:0003677);structural constituent of chromatin(GO:0030527);protein heterodimerization activity(GO:0046982)	chromatin organization(GO:0006325);nucleosome assembly(GO:0006334)	nucleosome(GO:0000786);nucleus(GO:0005634);chromosome(GO:0005694);replication fork protection complex(GO:0031298);protein-containing complex(GO:0032991)
YEAST|SGD=S000002584|UniProtKB=P21734	UBC1	Ubiquitin-conjugating enzyme E2 1;UBC1;PTN000629661;orthologs	ubiquitin-protein transferase activity(GO:0004842);protein binding(GO:0005515);ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631);proteasome binding(GO:0070628)	protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511);vesicle organization(GO:0016050);protein ubiquitination(GO:0016567);ERAD pathway(GO:0036503)	nucleus(GO:0005634);cytosol(GO:0005829)
YEAST|SGD=S000004513|UniProtKB=Q04693	RSE1	Pre-mRNA-splicing factor RSE1;RSE1;PTN000068493;orthologs	nucleic acid binding(GO:0003676);U2 snRNA binding(GO:0030620)	spliceosomal complex assembly(GO:0000245);mRNA splicing, via spliceosome(GO:0000398);mRNA processing(GO:0006397);RNA splicing(GO:0008380);RNA metabolic process(GO:0016070)	nucleus(GO:0005634);spliceosomal complex(GO:0005681);U2 snRNP(GO:0005686);U2-type prespliceosome(GO:0071004)
YEAST|SGD=S000002615|UniProtKB=P39001	UME6	Transcriptional regulatory protein UME6;UME6;PTN008076550;orthologs	RNA polymerase II cis-regulatory region sequence-specific DNA binding(GO:0000978);DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA-binding transcription repressor activity, RNA polymerase II-specific(GO:0001227);DNA binding(GO:0003677);zinc ion binding(GO:0008270);sequence-specific DNA binding(GO:0043565);metal ion binding(GO:0046872);DNA-binding transcription factor binding(GO:0140297)	negative regulation of transcription by RNA polymerase II(GO:0000122);mitotic cell cycle(GO:0000278);nitrogen catabolite repression of transcription from RNA polymerase II promoter(GO:0001081);chromatin organization(GO:0006325);chromatin remodeling(GO:0006338);regulation of DNA-templated transcription(GO:0006355);cellular response to nitrogen starvation(GO:0006995);pseudohyphal growth(GO:0007124);spore germination(GO:0009847);lipid droplet organization(GO:0034389);positive regulation of transcription by RNA polymerase II(GO:0045944);meiotic cell cycle(GO:0051321);negative regulation of inositol biosynthetic process(GO:1900089);positive regulation of phosphatidylserine biosynthetic process(GO:1900470);positive regulation of phosphatidylcholine biosynthetic process(GO:2001247)	nucleus(GO:0005634);Rpd3L complex(GO:0033698);Rpd3L-Expanded complex(GO:0070210)
YEAST|SGD=S000004395|UniProtKB=P32432	SFP1	Transcription factor SFP1;SFP1;PTN000551629;orthologs	DNA-binding transcription factor activity, RNA polymerase II-specific(GO:0000981);DNA binding(GO:0003677);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	regulation of cell size(GO:0008361);positive regulation of transcription by RNA polymerase II(GO:0045944);positive regulation of ribosomal protein gene transcription by RNA polymerase II(GO:0060963)	nucleus(GO:0005634);cytoplasm(GO:0005737)
