CODE	GENE	ID	FUNCTION	PROCESS	COMPONENT
YEAST|SGD=S000005177|UniProtKB=P53858	BNI4	Protein BNI4;BNI4;PTN000297802;orthologs	actin binding(GO:0003779);protein binding(GO:0005515)	division septum assembly(GO:0000917);chitin biosynthetic process(GO:0006031);actin cytoskeleton organization(GO:0030036)	incipient cellular bud site(GO:0000131);cellular bud neck(GO:0005935);septin ring(GO:0005940);cellular bud neck septin collar(GO:0032174)
YEAST|SGD=S000004592|UniProtKB=P25297	PHO84	Inorganic phosphate transporter PHO84;PHO84;PTN002781563;orthologs	phosphate transmembrane transporter activity(GO:0005315);manganese ion transmembrane transporter activity(GO:0005384);zinc ion binding(GO:0008270);selenite:proton symporter activity(GO:0097079)	polyphosphate metabolic process(GO:0006797);phosphate ion transport(GO:0006817);manganese ion transport(GO:0006828);transmembrane transport(GO:0055085);manganese ion transmembrane transport(GO:0071421);plasma membrane selenite transport(GO:0097080);proton transmembrane transport(GO:1902600)	fungal-type vacuole(GO:0000324);vacuole(GO:0005773);endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);membrane(GO:0016020)
YEAST|SGD=S000005238|UniProtKB=P48565	RIM21	pH-response regulator protein palH_RIM21;RIM21;PTN002183817;orthologs	molecular_function(GO:0003674)	invasive growth in response to glucose limitation(GO:0001403);fungal-type cell wall biogenesis(GO:0009272);ascospore formation(GO:0030437);regulation of vacuole organization(GO:0044088);cellular response to pH(GO:0071467);cellular response to alkaline pH(GO:0071469)	endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886)
YEAST|SGD=S000001750|UniProtKB=P36135	UTH1	Probable secreted beta-glucosidase UTH1;UTH1;PTN001263249;orthologs	molecular_function(GO:0003674);hydrolase activity, acting on glycosyl bonds(GO:0016798)	polysaccharide catabolic process(GO:0000272);autophagy of mitochondrion(GO:0000422);division septum assembly(GO:0000917);autophagy(GO:0006914);fungal-type cell wall biogenesis(GO:0009272);fungal-type cell wall organization(GO:0031505);cell division(GO:0051301);cell wall organization(GO:0071555)	extracellular region(GO:0005576);mitochondrion(GO:0005739);mitochondrial outer membrane(GO:0005741);mitochondrial inner membrane(GO:0005743);fungal-type cell wall(GO:0009277);cell surface(GO:0009986)
YEAST|SGD=S000000530|UniProtKB=P25376	AGP1	General amino acid permease AGP1;AGP1;PTN000209185;orthologs	amino acid transmembrane transporter activity(GO:0015171);L-proline transmembrane transporter activity(GO:0015193);transmembrane transporter activity(GO:0022857)	amino acid transmembrane transport(GO:0003333);amino acid transport(GO:0006865);phenylalanine transport(GO:0015823);proline transmembrane transport(GO:0035524);transmembrane transport(GO:0055085);serine import across plasma membrane(GO:0098718)	endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);membrane(GO:0016020)
YEAST|SGD=S000003681|UniProtKB=P47008	SFH5	Phosphatidylinositol transfer protein SFH5;SFH5;PTN000595623;orthologs	phosphatidylinositol transfer activity(GO:0008526);heme binding(GO:0020037);metal ion binding(GO:0046872)	lipid transport(GO:0006869);phospholipid transport(GO:0015914);regulation of exocytosis(GO:0017157);Golgi to plasma membrane protein transport(GO:0043001);phosphatidylinositol metabolic process(GO:0046488);intermembrane lipid transfer(GO:0120009);regulation of establishment of cell polarity(GO:2000114)	fungal-type vacuole membrane(GO:0000329);nucleus(GO:0005634);cytoplasm(GO:0005737);endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);cytosol(GO:0005829);plasma membrane(GO:0005886);membrane(GO:0016020);cortical endoplasmic reticulum(GO:0032541);cell periphery(GO:0071944)
YEAST|SGD=S000000201|UniProtKB=P24583	PKC1	Protein kinase C-like 1;PKC1;PTN000684238;orthologs	protein serine/threonine kinase activity(GO:0004674);diacylglycerol-dependent serine/threonine kinase activity(GO:0004697);ATP binding(GO:0005524);zinc ion binding(GO:0008270);metal ion binding(GO:0046872);protein serine kinase activity(GO:0106310)	pexophagy(GO:0000425);signal transduction(GO:0007165);cellular response to starvation(GO:0009267);fungal-type cell wall biogenesis(GO:0009272);positive regulation of cytoplasmic mRNA processing body assembly(GO:0010606);peptidyl-serine phosphorylation(GO:0018105);cellular bud neck septin ring organization(GO:0032186);stress granule assembly(GO:0034063);intracellular signal transduction(GO:0035556);regulation of nuclear-transcribed mRNA poly(A) tail shortening(GO:0060211);regulation of fungal-type cell wall organization(GO:0060237)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytoskeleton(GO:0005856);plasma membrane(GO:0005886);cellular bud neck(GO:0005935);cytoplasmic stress granule(GO:0010494);site of polarized growth(GO:0030427);prospore septin filament array(GO:0032165)
YEAST|SGD=S000004329|UniProtKB=P37370	VRP1	Verprolin;VRP1;;orthologs	actin binding(GO:0003779)	endocytosis(GO:0006897);bipolar cellular bud site selection(GO:0007121);regulation of cytokinesis(GO:0032465);actin cortical patch localization(GO:0051666);positive regulation of Arp2/3 complex-mediated actin nucleation(GO:2000601)	incipient cellular bud site(GO:0000131);cytoplasm(GO:0005737);cytoskeleton(GO:0005856);cellular bud neck(GO:0005935);actin cortical patch(GO:0030479);mating projection tip(GO:0043332)
YEAST|SGD=S000001758|UniProtKB=P28584	TRK2	Low-affinity potassium transport protein;TRK2;PTN000775797;orthologs	potassium ion transmembrane transporter activity(GO:0015079);high-affinity potassium ion transmembrane transporter activity(GO:0140107)	potassium ion transport(GO:0006813);intracellular calcium ion homeostasis(GO:0006874);intracellular potassium ion homeostasis(GO:0030007);regulation of membrane potential(GO:0042391);potassium ion transmembrane transport(GO:0071805);potassium ion import across plasma membrane(GO:1990573)	plasma membrane(GO:0005886);membrane(GO:0016020);cell periphery(GO:0071944)
YEAST|SGD=S000001584|UniProtKB=P34244	HSL1	Probable serine_threonine-protein kinase HSL1;HSL1;PTN000681677;orthologs	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);protein serine kinase activity(GO:0106310)	G2/M transition of mitotic cell cycle(GO:0000086);protein phosphorylation(GO:0006468);protein catabolic process(GO:0030163);mitotic morphogenesis checkpoint signaling(GO:0044879);regulation of cell cycle(GO:0051726);protein localization to septin ring(GO:1902935)	cellular bud neck septin ring(GO:0000144);nucleus(GO:0005634);cytoplasm(GO:0005737);cellular bud neck(GO:0005935)
YEAST|SGD=S000000858|UniProtKB=P17064	FCY2	Purine-cytosine permease FCY2;FCY2;PTN000781413;orthologs	nucleobase transmembrane transporter activity(GO:0015205);cytidine transmembrane transporter activity(GO:0015212);transmembrane transporter activity(GO:0022857)	cytosine transport(GO:0015856);cytidine transport(GO:0015861);transmembrane transport(GO:0055085);purine-containing compound transmembrane transport(GO:0072530)	fungal-type vacuole membrane(GO:0000329);plasma membrane(GO:0005886);membrane(GO:0016020);cell periphery(GO:0071944)
YEAST|SGD=S000001855|UniProtKB=P60010	ACT1	Actin;ACT1;PTN000233485;orthologs	structural constituent of cytoskeleton(GO:0005200);ATP binding(GO:0005524);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887)	vacuole inheritance(GO:0000011);DNA repair(GO:0006281);endocytosis(GO:0006897);protein secretion(GO:0009306);establishment of cell polarity(GO:0030010);ascospore wall assembly(GO:0030476);mitotic actomyosin contractile ring contraction(GO:1902404)	cellular bud neck contractile ring(GO:0000142);Swr1 complex(GO:0000812);cytoplasm(GO:0005737);cytoskeleton(GO:0005856);actin filament(GO:0005884);actin cytoskeleton(GO:0015629);actin cortical patch(GO:0030479);Ino80 complex(GO:0031011);actin filament bundle(GO:0032432);NuA4 histone acetyltransferase complex(GO:0035267);intracellular non-membrane-bounded organelle(GO:0043232)
YEAST|SGD=S000005855|UniProtKB=P51533	PDR10	ATP-dependent permease PDR10;PDR10;PTN000443119;orthologs	ATP binding(GO:0005524);ATP hydrolysis activity(GO:0016887);ATPase-coupled transmembrane transporter activity(GO:0042626);ABC-type transporter activity(GO:0140359)	replication-born double-strand break repair via sister chromatid exchange(GO:1990414);xenobiotic detoxification by transmembrane export across the plasma membrane(GO:1990961)	fungal-type vacuole(GO:0000324);plasma membrane(GO:0005886);membrane(GO:0016020);cell periphery(GO:0071944)
YEAST|SGD=S000003513|UniProtKB=P53049	YOR1	Oligomycin resistance ATP-dependent permease YOR1;YOR1;PTN000658144;orthologs	ATP binding(GO:0005524);ABC-type xenobiotic transporter activity(GO:0008559);ABC-type glutathione S-conjugate transporter activity(GO:0015431);ABC-type cadmium transporter activity(GO:0015434);ATP hydrolysis activity(GO:0016887);ABC-type transporter activity(GO:0140359)	xenobiotic transport(GO:0042908);transmembrane transport(GO:0055085);cadmium ion transmembrane transport(GO:0070574)	plasma membrane(GO:0005886);membrane(GO:0016020);cell periphery(GO:0071944)
YEAST|SGD=S000000874|UniProtKB=P40046	VTC1	Vacuolar transporter chaperone complex subunit 1;VTC1;;orthologs	mRNA binding(GO:0003729)	polyphosphate metabolic process(GO:0006797);polyphosphate biosynthetic process(GO:0006799);vacuolar transport(GO:0007034);microautophagy(GO:0016237);vacuole fusion, non-autophagic(GO:0042144)	fungal-type vacuole membrane(GO:0000329);autophagosome membrane(GO:0000421);cytoplasm(GO:0005737);vacuole(GO:0005773);vacuolar membrane(GO:0005774);endoplasmic reticulum(GO:0005783);endoplasmic reticulum membrane(GO:0005789);cell cortex(GO:0005938);membrane(GO:0016020);cytoplasmic vesicle(GO:0031410);nuclear membrane(GO:0031965);vacuolar transporter chaperone complex(GO:0033254)
YEAST|SGD=S000000795|UniProtKB=P39924	HXT13	Hexose transporter HXT13;HXT13;PTN000628280;orthologs	carbohydrate:proton symporter activity(GO:0005351);fructose transmembrane transporter activity(GO:0005353);glucose transmembrane transporter activity(GO:0005355);mannose transmembrane transporter activity(GO:0015578);transmembrane transporter activity(GO:0022857)	carbohydrate transport(GO:0008643);hexose transmembrane transport(GO:0008645);fructose transmembrane transport(GO:0015755);mannose transmembrane transport(GO:0015761);sorbitol transmembrane transport(GO:0015795);mannitol transmembrane transport(GO:0015797);transmembrane transport(GO:0055085);proton transmembrane transport(GO:1902600);glucose transmembrane transport(GO:1904659)	endoplasmic reticulum(GO:0005783);plasma membrane(GO:0005886);membrane(GO:0016020)
YEAST|SGD=S000005482|UniProtKB=P38925	SMF1	Manganese transporter SMF1;SMF1;PTN000194545;orthologs	manganese ion transmembrane transporter activity(GO:0005384);cadmium ion transmembrane transporter activity(GO:0015086);solute:proton symporter activity(GO:0015295);inorganic cation transmembrane transporter activity(GO:0022890);metal ion binding(GO:0046872);metal ion transmembrane transporter activity(GO:0046873)	copper ion transport(GO:0006825);iron ion transport(GO:0006826);manganese ion transport(GO:0006828);intracellular copper ion homeostasis(GO:0006878);cadmium ion transport(GO:0015691);metal ion transport(GO:0030001);intracellular manganese ion homeostasis(GO:0030026);iron ion transmembrane transport(GO:0034755);cadmium ion transmembrane transport(GO:0070574);manganese ion transmembrane transport(GO:0071421);proton transmembrane transport(GO:1902600)	fungal-type vacuole(GO:0000324);plasma membrane(GO:0005886);membrane(GO:0016020)
