CHR,BASE,DEPTH
ref|NC_001133|,138,10.88
ref|NC_001133|,238,18.17
ref|NC_001133|,338,22.14
ref|NC_001133|,438,31.93
ref|NC_001133|,538,32.41
ref|NC_001133|,638,38.92
ref|NC_001133|,738,46.71
ref|NC_001133|,838,37.08
ref|NC_001133|,938,32.94
ref|NC_001133|,1038,67.8499999999999
ref|NC_001133|,1138,62.81
ref|NC_001133|,1238,57.3
ref|NC_001133|,1338,51.1
ref|NC_001133|,1438,42.71
ref|NC_001133|,1538,28.98
ref|NC_001133|,1638,39.34
ref|NC_001133|,1738,49.03
ref|NC_001133|,1838,56.54
ref|NC_001133|,1938,37.99
ref|NC_001133|,2038,31.92
ref|NC_001133|,2138,20.17
ref|NC_001133|,2238,22.14
ref|NC_001133|,2338,22.93
ref|NC_001133|,2438,24.58
ref|NC_001133|,2538,25.72
ref|NC_001133|,2638,26.99
ref|NC_001133|,2738,25.25
ref|NC_001133|,2838,26.68
ref|NC_001133|,2938,22.88
ref|NC_001133|,3038,22.18
ref|NC_001133|,3138,24.89
ref|NC_001133|,3238,23.95
ref|NC_001133|,3338,26.34
ref|NC_001133|,3438,26.2
ref|NC_001133|,3538,27.54
ref|NC_001133|,3638,29.24
ref|NC_001133|,3738,27.07
ref|NC_001133|,3838,26.84
ref|NC_001133|,3938,24.46
ref|NC_001133|,4038,27.55
ref|NC_001133|,4138,30.66
ref|NC_001133|,4238,33.1799999999999
ref|NC_001133|,4338,25.49
ref|NC_001133|,4438,25.48
ref|NC_001133|,4538,15.85
ref|NC_001133|,4638,21.09
ref|NC_001133|,4738,20.7
ref|NC_001133|,4838,20.68
ref|NC_001133|,4938,22.01
ref|NC_001133|,5038,26.27
ref|NC_001133|,5138,22.24
ref|NC_001133|,5238,20.96
ref|NC_001133|,5338,24.66
ref|NC_001133|,5438,17.25
ref|NC_001133|,5538,17.66
ref|NC_001133|,5638,23.15
ref|NC_001133|,5738,25.17
ref|NC_001133|,5838,24.17
ref|NC_001133|,5938,19.79
ref|NC_001133|,6038,21.08
ref|NC_001133|,6138,23.46
ref|NC_001133|,6238,20
ref|NC_001133|,6338,24.14
ref|NC_001133|,6438,22.48
ref|NC_001133|,6538,17.09
ref|NC_001133|,6638,16.8
ref|NC_001133|,6738,18.78
ref|NC_001133|,6838,9.93999999999999
ref|NC_001133|,6938,18.57
ref|NC_001133|,7038,18.25
ref|NC_001133|,7138,13.88
ref|NC_001133|,7238,18.11
ref|NC_001133|,7338,16.69
ref|NC_001133|,7438,18.93
ref|NC_001133|,7538,24.91
ref|NC_001133|,7638,18.84
ref|NC_001133|,7738,14.77
ref|NC_001133|,7838,19.77
ref|NC_001133|,7938,18.96
ref|NC_001133|,8038,12.42
ref|NC_001133|,8138,16.89
ref|NC_001133|,8238,16.96
ref|NC_001133|,8338,16.26
ref|NC_001133|,8438,15.07
ref|NC_001133|,8538,13.97
ref|NC_001133|,8638,15.89
ref|NC_001133|,8738,19.76
ref|NC_001133|,8838,19.86
ref|NC_001133|,8938,23.04
ref|NC_001133|,9038,24.2
ref|NC_001133|,9138,20.41
ref|NC_001133|,9238,20.36
ref|NC_001133|,9338,16.18
ref|NC_001133|,9438,19.84
ref|NC_001133|,9538,16.55
ref|NC_001133|,9638,21.89
ref|NC_001133|,9738,22.88
ref|NC_001133|,9838,15.05
ref|NC_001133|,9938,16.98
ref|NC_001133|,10038,24.77
ref|NC_001133|,10138,23.66
ref|NC_001133|,10238,21.27
ref|NC_001133|,10338,21.57
ref|NC_001133|,10438,23.67
ref|NC_001133|,10538,18.45
ref|NC_001133|,10638,16.36
ref|NC_001133|,10738,16.71
ref|NC_001133|,10838,15.8
ref|NC_001133|,10938,14.17
ref|NC_001133|,11038,13.93
ref|NC_001133|,11138,18.92
ref|NC_001133|,11238,17.48
ref|NC_001133|,11338,16.62
ref|NC_001133|,11438,23.27
ref|NC_001133|,11538,13.28
ref|NC_001133|,11638,10.36
ref|NC_001133|,11738,12
ref|NC_001133|,11838,7.52999999999999
ref|NC_001133|,11938,8.83
ref|NC_001133|,12038,13.37
ref|NC_001133|,12138,14.54
ref|NC_001133|,12238,17.13
ref|NC_001133|,12338,14.31
ref|NC_001133|,12438,18.61
ref|NC_001133|,12538,19.68
ref|NC_001133|,12638,30.08
ref|NC_001133|,12738,36.32
ref|NC_001133|,12838,20.76
ref|NC_001133|,12938,17.19
ref|NC_001133|,13038,10.25
ref|NC_001133|,13138,8.01
ref|NC_001133|,13238,12.81
ref|NC_001133|,13338,13.91
ref|NC_001133|,13438,20.08
ref|NC_001133|,13538,18.14
ref|NC_001133|,13638,19.74
ref|NC_001133|,13738,25.99
ref|NC_001133|,13838,23.06
ref|NC_001133|,13938,23.69
ref|NC_001133|,14038,16.27
ref|NC_001133|,14138,14.89
ref|NC_001133|,14238,17.29
ref|NC_001133|,14338,19.94
ref|NC_001133|,14438,20.09
ref|NC_001133|,14538,16
ref|NC_001133|,14638,23.6
ref|NC_001133|,14738,21.56
