CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,
chr1,13194,NAG,NAG,,,,,
chr1,13385, YALNAG64C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,
chr1,13413, YALNAG64C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,
chr1,13420, YALNAG64C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,
chr1,13442, YALNAG64C-A,TDA8 - Putative protein of unknown function; null mutant is sensitive to expression of the top1-T722A allele; not an essential gene,,,,,
chr1,136, TELNAG1L-XR, - Telomeric X element combinatorial Repeat region on the left arm of Chromosome I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats,,
chr1,13798,NAG,NAG,,,,,
chr1,13807,NAG,NAG,,,,,
chr1,13830,NAG,NAG,,,,,
chr1,141, TELNAG1L-XR, - Telomeric X element combinatorial Repeat region on the left arm of Chromosome I; contains repeats of the D, C, B and A types, as well as Tbf1p binding sites; formerly called SubTelomeric Repeats,,
chr1,14312,NAG,NAG,,,,,
chr1,14314,NAG,NAG,,,,,
chr1,14343,NAG,NAG,,,,,
chr1,143575,NAG,NAG,,,,,
chr1,14655,NAG,NAG,,,,,
chr1,14667,NAG,NAG,,,,,
chr1,14723,NAG,NAG,,,,,
chr1,14758,NAG,NAG,,,,,
chr1,14765,NAG,NAG,,,,,
chr1,14877,NAG,NAG,,,,,
chr1,152105,NAG,NAG,,,,,
chr1,15250,NAG,NAG,,,,,
chr1,15673,NAG,NAG,,,,,
chr1,15772,NAG,NAG,,,,,
chr1,15921,NAG,NAG,,,,,
chr1,16006,NAG,NAG,,,,,
chr1,16264,NAG,NAG,,,,,
chr1,16480,NAG,NAG,,,,,
chr1,16527,NAG,NAG,,,,,
chr1,16552,NAG,NAG,,,,,
chr1,18377,NAG,NAG,,,,,
chr1,18413,NAG,NAG,,,,,
chr1,18457,NAG,NAG,,,,,
chr1,18498,NAG,NAG,,,,,
chr1,18505,NAG,NAG,,,,,
chr1,18553,NAG,NAG,,,,,
chr1,18562,NAG,NAG,,,,,
chr1,18574,NAG,NAG,,,,,
chr1,19196,NAG,NAG,,,,,
chr1,19354,NAG,NAG,,,,,
chr1,198518,NAG,NAG,,,,,
chr1,198582,NAG,NAG,,,,,
chr1,198677,NAG,NAG,,,,,
chr1,204041, YARNAG5NAGW,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,
chr1,204043, YARNAG5NAGW,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,
chr1,204050, YARNAG5NAGW,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,
chr1,20420,NAG,NAG,,,,,
chr1,206345, YARNAG5NAGW,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,
chr1,207247, YARNAG5NAGW,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,
chr1,207248, YARNAG5NAGW,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,
chr1,207702, YARNAG5NAGW,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells, confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,
chr1,21278,NAG,NAG,,,,,
chr1,23467,NAG,NAG,,,,,
chr1,23636,NAG,NAG,,,,,
chr1,23639,NAG,NAG,,,,,
chr1,25487, YALNAG63C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,
chr1,25489, YALNAG63C,FLO9 - Lectin-like protein with similarity to Flo1p, thought to be expressed and involved in flocculation,,,,
chr1,35113,NAG,NAG,,,,,
chr1,457, YALNAG69W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr1,476, YALNAG69W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr1,487, YALNAG69W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr1,492, YALNAG69W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr1,537, YALNAG69W, - Dubious open reading frame unlikely to encode a protein, based on available experimental and comparative sequence data,,,,
chr10,113474, ARS1NAGNAG7, - Autonomously Replicating Sequence,,,,,
chr10,211568, YJL11NAGC,GZF3 - GATA zinc finger protein and Dal8p homolog that negatively regulates nitrogen catabolic gene expression by competing with Gat1p for GATA site binding; function requires a repressive carbon source; dimerizes with Dal8p and binds to Tor1p,,,,,
chr10,280770,NAG,NAG,,,,,
chr10,315657,NAG,NAG,,,,,
chr10,354067,NAG,NAG,,,,,
chr10,354634, YJLCdelta4, - Ty1 LTR,,,,,
chr10,361646, YJLNAG42W,MHP1 - Microtubule-associated protein involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Drosophila protein MAP and to mammalian MAP4 proteins,,,,,
chr10,383417,NAG,NAG,,,,,
chr10,388260,NAG,NAG,,,,,
chr10,393823,NAG,NAG,,,,,
chr10,419705,NAG,NAG,,,,,
chr10,424936,NAG,NAG,,,,,
chr10,472080,NAG,NAG,,,,,
chr10,525773,NAG,NAG,,,,,
chr10,546698, YJRNAG59W,PTK2 - Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,,,,,
chr10,546700, YJRNAG59W,PTK2 - Putative serine/threonine protein kinase involved in regulation of ion transport across plasma membrane; enhances spermine uptake,,,,,
chr10,555085,NAG,NAG,,,,,
chr10,570775,NAG,NAG,,,,,
chr10,591908, YJRNAG9NAGC,GRR1 - F-box protein component of the SCF ubiquitin-ligase complex; involved in carbon catabolite repression, glucose-dependent divalent cation transport, high-affinity glucose transport, morphogenesis, and sulfite detoxification,
chr10,60682,NAG,NAG,,,,,
chr10,663948,NAG,NAG,,,,,
chr10,681843, YJR137C,MET5 - Sulfite reductase beta subunit, involved in amino acid biosynthesis, transcription repressed by methionine,,,
chr10,701746,NAG,NAG,,,,,
