CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,,,,,,
chr1,112637,YAL021C,CCR4 - Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening,,,,,,,,
chr1,113278,YAL021C,CCR4 - Component of the CCR4-NOT transcriptional complex, which is involved in regulation of gene expression; component of the major cytoplasmic deadenylase, which is involved in mRNA poly(A) tail shortening,,,,,,,,
chr1,141762,NAG,NAG,,,,,,,,,,
chr1,15592,NAG,NAG,,,,,,,,,,
chr1,198418,NAG,NAG,,,,,,,,,,
chr1,198456,NAG,NAG,,,,,,,,,,
chr1,198468,NAG,NAG,,,,,,,,,,
chr1,198482,NAG,NAG,,,,,,,,,,
chr1,198557,NAG,NAG,,,,,,,,,,
chr1,198560,NAG,NAG,,,,,,,,,,
chr1,198562,NAG,NAG,,,,,,,,,,
chr1,198582,NAG,NAG,,,,,,,,,,
chr1,198589,NAG,NAG,,,,,,,,,,
chr1,198618,NAG,NAG,,,,,,,,,,
chr1,198621,NAG,NAG,,,,,,,,,,
chr1,198625,NAG,NAG,,,,,,,,,,
chr1,198627,NAG,NAG,,,,,,,,,,
chr1,198851,NAG,NAG,,,,,,,,,,
chr1,198856,NAG,NAG,,,,,,,,,,
chr1,198861,NAG,NAG,,,,,,,,,,
chr1,198863,NAG,NAG,,,,,,,,,,
chr1,198864,NAG,NAG,,,,,,,,,,
chr1,198865,NAG,NAG,,,,,,,,,,
chr1,198867,NAG,NAG,,,,,,,,,,
chr1,198874,NAG,NAG,,,,,,,,,,
chr1,198877,NAG,NAG,,,,,,,,,,
chr1,198880,NAG,NAG,,,,,,,,,,
chr1,198883,NAG,NAG,,,,,,,,,,
chr1,198887,NAG,NAG,,,,,,,,,,
chr1,198889,NAG,NAG,,,,,,,,,,
chr1,198895,NAG,NAG,,,,,,,,,,
chr1,198896,NAG,NAG,,,,,,,,,,
chr1,198897,NAG,NAG,,,,,,,,,,
chr1,198902,NAG,NAG,,,,,,,,,,
chr1,198903,NAG,NAG,,,,,,,,,,
chr1,198911,NAG,NAG,,,,,,,,,,
chr1,198915,NAG,NAG,,,,,,,,,,
chr1,198918,NAG,NAG,,,,,,,,,,
chr1,198921,NAG,NAG,,,,,,,,,,
chr1,198932,NAG,NAG,,,,,,,,,,
chr1,198938,NAG,NAG,,,,,,,,,,
chr1,198946,NAG,NAG,,,,,,,,,,
chr1,198961,NAG,NAG,,,,,,,,,,
chr1,198964,NAG,NAG,,,,,,,,,,
chr1,198966,NAG,NAG,,,,,,,,,,
chr1,198969,NAG,NAG,,,,,,,,,,
chr1,198970,NAG,NAG,,,,,,,,,,
chr1,198972,NAG,NAG,,,,,,,,,,
chr1,19971,NAG,NAG,,,,,,,,,,
chr1,201107,NAG,NAG,,,,,,,,,,
chr1,201111,NAG,NAG,,,,,,,,,,
chr1,201121,NAG,NAG,,,,,,,,,,
chr1,201124,NAG,NAG,,,,,,,,,,
chr1,201125,NAG,NAG,,,,,,,,,,
chr1,201132,NAG,NAG,,,,,,,,,,
chr1,201136,NAG,NAG,,,,,,,,,,
chr1,201141,NAG,NAG,,,,,,,,,,
chr1,201142,NAG,NAG,,,,,,,,,,
chr1,201145,NAG,NAG,,,,,,,,,,
chr1,201152,NAG,NAG,,,,,,,,,,
chr1,201169,NAG,NAG,,,,,,,,,,
chr1,201195,NAG,NAG,,,,,,,,,,
chr1,201196,NAG,NAG,,,,,,,,,,
chr1,201198,NAG,NAG,,,,,,,,,,
chr1,201203,NAG,NAG,,,,,,,,,,
chr1,201259,NAG,NAG,,,,,,,,,,
chr1,201262,NAG,NAG,,,,,,,,,,
chr1,201312,NAG,NAG,,,,,,,,,,
chr1,201313,NAG,NAG,,,,,,,,,,
chr1,201342,NAG,NAG,,,,,,,,,,
chr1,201343,NAG,NAG,,,,,,,,,,
chr1,201347,NAG,NAG,,,,,,,,,,
chr1,201352,NAG,NAG,,,,,,,,,,
chr1,201353,NAG,NAG,,,,,,,,,,
chr1,201358,NAG,NAG,,,,,,,,,,
chr1,201362,NAG,NAG,,,,,,,,,,
chr1,201364,NAG,NAG,,,,,,,,,,
chr1,201371,NAG,NAG,,,,,,,,,,
chr1,201372,NAG,NAG,,,,,,,,,,
chr1,201379,NAG,NAG,,,,,,,,,,
chr1,204218,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204223,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204225,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204230,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204239,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204242,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204269,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204272,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,204281,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205685,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205688,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205742,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205757,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205787,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205877,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205883,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205886,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205892,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205901,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205911,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205913,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205916,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205919,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,205927,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206278,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206360,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206363,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206375,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206825,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206829,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206840,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206985,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206990,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,206991,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207005,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207022,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207039,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207128,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207156,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207173,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207175,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207179,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207384,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207390,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,207683,YAR050W,FLO1 - Lectin-like protein involved in flocculation, cell wall protein that binds to mannose chains on the surface of other cells,confers floc-forming ability that is chymotrypsin sensitive and heat resistant; similar to Flo5p,,,,,,,,
chr1,208064,NAG,NAG,,,,,,,,,,
chr1,208121,NAG,NAG,,,,,,,,,,
chr1,208126,NAG,NAG,,,,,,,,,,
chr1,208151,NAG,NAG,,,,,,,,,,
chr1,208196,NAG,NAG,,,,,,,,,,
chr1,208207,NAG,NAG,,,,,,,,,,
chr1,208934,NAG,NAG,,,,,,,,,,
chr1,208975,NAG,NAG,,,,,,,,,,
chr1,209049,NAG,NAG,,,,,,,,,,
chr1,209125,NAG,NAG,,,,,,,,,,
chr1,209198,NAG,NAG,,,,,,,,,,
chr1,209608,YARCdelta8,- Ty1 LTR,,,,,,,,,,
chr1,209617,YARCdelta8,- Ty1 LTR,,,,,,,,,,
chr1,209772,YARCdelta8,- Ty1 LTR,,,,,,,,,,
