CODE	GENE	ID	FUNCTION	PROCESS	COMPONENT
YEAST|SGD=S000005177|UniProtKB=P53858	BNI4	Protein BNI4;BNI4;PTN000297802;orthologs	actin binding(GO:0003779);protein binding(GO:0005515)	division septum assembly(GO:0000917);chitin biosynthetic process(GO:0006031);actin cytoskeleton organization(GO:0030036)	incipient cellular bud site(GO:0000131);cellular bud neck(GO:0005935);septin ring(GO:0005940);cellular bud neck septin collar(GO:0032174)
YEAST|SGD=S000000201|UniProtKB=P24583	PKC1	Protein kinase C-like 1;PKC1;PTN000684238;orthologs	protein serine/threonine kinase activity(GO:0004674);diacylglycerol-dependent serine/threonine kinase activity(GO:0004697);ATP binding(GO:0005524);zinc ion binding(GO:0008270);metal ion binding(GO:0046872);protein serine kinase activity(GO:0106310)	pexophagy(GO:0000425);signal transduction(GO:0007165);cellular response to starvation(GO:0009267);fungal-type cell wall biogenesis(GO:0009272);positive regulation of cytoplasmic mRNA processing body assembly(GO:0010606);peptidyl-serine phosphorylation(GO:0018105);cellular bud neck septin ring organization(GO:0032186);stress granule assembly(GO:0034063);intracellular signal transduction(GO:0035556);regulation of nuclear-transcribed mRNA poly(A) tail shortening(GO:0060211);regulation of fungal-type cell wall organization(GO:0060237)	nucleus(GO:0005634);cytoplasm(GO:0005737);cytoskeleton(GO:0005856);plasma membrane(GO:0005886);cellular bud neck(GO:0005935);cytoplasmic stress granule(GO:0010494);site of polarized growth(GO:0030427);prospore septin filament array(GO:0032165)
YEAST|SGD=S000004329|UniProtKB=P37370	VRP1	Verprolin;VRP1;;orthologs	actin binding(GO:0003779)	endocytosis(GO:0006897);bipolar cellular bud site selection(GO:0007121);regulation of cytokinesis(GO:0032465);actin cortical patch localization(GO:0051666);positive regulation of Arp2/3 complex-mediated actin nucleation(GO:2000601)	incipient cellular bud site(GO:0000131);cytoplasm(GO:0005737);cytoskeleton(GO:0005856);cellular bud neck(GO:0005935);actin cortical patch(GO:0030479);mating projection tip(GO:0043332)
YEAST|SGD=S000001584|UniProtKB=P34244	HSL1	Probable serine_threonine-protein kinase HSL1;HSL1;PTN000681677;orthologs	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);ATP binding(GO:0005524);protein serine kinase activity(GO:0106310)	G2/M transition of mitotic cell cycle(GO:0000086);protein phosphorylation(GO:0006468);protein catabolic process(GO:0030163);mitotic morphogenesis checkpoint signaling(GO:0044879);regulation of cell cycle(GO:0051726);protein localization to septin ring(GO:1902935)	cellular bud neck septin ring(GO:0000144);nucleus(GO:0005634);cytoplasm(GO:0005737);cellular bud neck(GO:0005935)
YEAST|SGD=S000001855|UniProtKB=P60010	ACT1	Actin;ACT1;PTN000233485;orthologs	structural constituent of cytoskeleton(GO:0005200);ATP binding(GO:0005524);hydrolase activity(GO:0016787);ATP hydrolysis activity(GO:0016887)	vacuole inheritance(GO:0000011);DNA repair(GO:0006281);endocytosis(GO:0006897);protein secretion(GO:0009306);establishment of cell polarity(GO:0030010);ascospore wall assembly(GO:0030476);mitotic actomyosin contractile ring contraction(GO:1902404)	cellular bud neck contractile ring(GO:0000142);Swr1 complex(GO:0000812);cytoplasm(GO:0005737);cytoskeleton(GO:0005856);actin filament(GO:0005884);actin cytoskeleton(GO:0015629);actin cortical patch(GO:0030479);Ino80 complex(GO:0031011);actin filament bundle(GO:0032432);NuA4 histone acetyltransferase complex(GO:0035267);intracellular non-membrane-bounded organelle(GO:0043232)
YEAST|SGD=S000005853|UniProtKB=P19524	MYO2	Myosin-2;MYO2;PTN000321372;orthologs	microfilament motor activity(GO:0000146);cytoskeletal motor activity(GO:0003774);actin binding(GO:0003779);protein binding(GO:0005515);calmodulin binding(GO:0005516);ATP binding(GO:0005524);small GTPase binding(GO:0031267);actin filament binding(GO:0051015)	mitochondrion inheritance(GO:0000001);vacuole inheritance(GO:0000011);establishment of mitotic spindle orientation(GO:0000132);vesicle docking involved in exocytosis(GO:0006904);actin filament organization(GO:0007015);membrane addition at site of cytokinesis(GO:0007107);protein transport(GO:0015031);vesicle-mediated transport(GO:0016192);vesicle transport along actin filament(GO:0030050);peroxisome inheritance(GO:0045033);intracellular distribution of mitochondria(GO:0048312);Golgi inheritance(GO:0048313);cell division(GO:0051301)	incipient cellular bud site(GO:0000131);fungal-type vacuole membrane(GO:0000329);cytoplasm(GO:0005737);cellular bud tip(GO:0005934);cellular bud neck(GO:0005935);actin cytoskeleton(GO:0015629);membrane(GO:0016020);myosin complex(GO:0016459);transport vesicle(GO:0030133);filamentous actin(GO:0031941);vesicle(GO:0031982);actin filament bundle(GO:0032432);meiotic nuclear membrane microtubule tethering complex(GO:0034993);mating projection tip(GO:0043332);Myo2p-Vac17p-Vac8p transport complex(GO:0071563)
YEAST|SGD=S000003664|UniProtKB=P08018	PBS2	MAP kinase kinase PBS2;PBS2;PTN000684661;orthologs	protein kinase activity(GO:0004672);protein serine/threonine kinase activity(GO:0004674);MAP kinase kinase activity(GO:0004708);protein tyrosine kinase activity(GO:0004713);MAP-kinase scaffold activity(GO:0005078);protein binding(GO:0005515);ATP binding(GO:0005524);protein serine kinase activity(GO:0106310)	MAPK cascade(GO:0000165);protein import into nucleus(GO:0006606);hyperosmotic response(GO:0006972);actin filament organization(GO:0007015);osmosensory signaling pathway(GO:0007231);osmosensory signaling pathway via Sho1 osmosensor(GO:0007232);p38MAPK cascade(GO:0038066);response to antibiotic(GO:0046677);cellular hyperosmotic response(GO:0071474)	cytoplasm(GO:0005737);cellular bud tip(GO:0005934);cellular bud neck(GO:0005935);cytoplasmic stress granule(GO:0010494)
YEAST|SGD=S000002399|UniProtKB=P35688	LRG1	Rho-GTPase-activating protein LRG1;LRG1;PTN000571323;orthologs	GTPase activator activity(GO:0005096);zinc ion binding(GO:0008270);metal ion binding(GO:0046872)	cytogamy(GO:0000755);signal transduction(GO:0007165);actin cytoskeleton organization(GO:0030036);sporulation resulting in formation of a cellular spore(GO:0030435);negative regulation of Rho protein signal transduction(GO:0035024);regulation of fungal-type cell wall organization(GO:0060237);negative regulation of protein kinase C signaling(GO:0090038);regulation of cell wall (1->3)-beta-D-glucan biosynthetic process(GO:0090334)	incipient cellular bud site(GO:0000131);cytoplasm(GO:0005737);mitochondrion(GO:0005739);cellular bud(GO:0005933);cellular bud tip(GO:0005934);cellular bud neck(GO:0005935);site of polarized growth(GO:0030427);mating projection tip(GO:0043332)
YEAST|SGD=S000002275|UniProtKB=Q07533	CYK3	Cytokinesis protein 3;CYK3;PTN008201354;orthologs	enzyme regulator activity(GO:0030234)	cell division(GO:0051301);mitotic division septum assembly(GO:0140278);secondary cell septum biogenesis(GO:1990344)	cellular bud neck contractile ring(GO:0000142);nucleus(GO:0005634);cytoplasm(GO:0005737);cellular bud neck(GO:0005935);HICS complex(GO:0044697);mitotic actomyosin contractile ring(GO:0110085)
YEAST|SGD=S000005215|UniProtKB=P41832	BNI1	Protein BNI1;BNI1;PTN000575766;orthologs	actin binding(GO:0003779);profilin binding(GO:0005522);small GTPase binding(GO:0031267)	establishment of mitotic spindle orientation(GO:0000132);budding cell apical bud growth(GO:0007118);actin cytoskeleton organization(GO:0030036);regulation of protein localization(GO:0032880);regulation of actin cytoskeleton organization(GO:0032956);actin nucleation(GO:0045010);barbed-end actin filament capping(GO:0051016);actin filament bundle assembly(GO:0051017);cell division(GO:0051301);formin-nucleated actin cable assembly(GO:0070649);cellular hyperosmotic response(GO:0071474);mitotic actomyosin contractile ring assembly(GO:1903475)	incipient cellular bud site(GO:0000131);polarisome(GO:0000133);prospore membrane(GO:0005628);cytoplasm(GO:0005737);cytosol(GO:0005829);cytoskeleton(GO:0005856);actin filament(GO:0005884);plasma membrane(GO:0005886);cellular bud tip(GO:0005934);cellular bud neck(GO:0005935);cell cortex(GO:0005938);actin cytoskeleton(GO:0015629);cell division site(GO:0032153);cell projection(GO:0042995);mating projection tip(GO:0043332)
