CHR,POS,gene_code,GENE,FUNCTION,NOTES,,,,,,
chr10,103711, YJL168C,SET2 - Histone methyltransferase with a role in transcriptional elongation, methylates a lysine residue of histone H3; associates with the C-terminal domain of Rpo21p; histone methylation activity is regulated by phosphorylation status of Rpo21p,,,,,,,
chr10,109915,NAG,NAG,,,,,,,,
chr10,113474, ARS1007, - Autonomously Replicating Sequence,,,,,,,,
chr10,145859, YJL145W,SFH5 - Non-classical phosphatidylinositol transfer protein (PITP); exhibits PI- but not PC-transfer activity; localizes to the peripheral endoplasmic reticulum, cytosol and microsomes; similar to Sec14p,,,,,,,
chr10,170952, YJL130C,URA2 - Bifunctional carbamoylphosphate synthetase (CPSase)-aspartate transcarbamylase (ATCase), catalyzes the first two enzymatic steps in the de novo biosynthesis of pyrimidines; both activities are subject to feedback inhibition by UTP,,,,,,,
chr10,173515,NAG,NAG,,,,,,,,
chr10,178468, YJL128C,PBS2 - MAP kinase kinase of the HOG signaling pathway; activated under severe osmotic stress; mitophagy-specific regulator; plays a role in regulating Ty1 transposition,,,,,,,,
chr10,178937, YJL128C,PBS2 - MAP kinase kinase of the HOG signaling pathway; activated under severe osmotic stress; mitophagy-specific regulator; plays a role in regulating Ty1 transposition,,,,,,,,
chr10,211568, YJL110C,GZF3 - GATA zinc finger protein and Dal80p homolog that negatively regulates nitrogen catabolic gene expression by competing with Gat1p for GATA site binding; function requires a repressive carbon source; dimerizes with Dal80p and binds to Tor1p,,,,,,,,
chr10,220219,NAG,NAG,,,,,,,,
chr10,220530,NAG,NAG,,,,,,,,
chr10,257034,NAG,NAG,,,,,,,,
chr10,270084, YJL087C,TRL1 - tRNA ligase, required for tRNA splicing and for both splicing and translation of HAC1 mRNA in the UPR; has phosphodiesterase, polynucleotide kinase, and ligase activities; localized at the inner nuclear envelope and partially to polysomes,,,,,
chr10,277922, YJL084C,ALY2 - Alpha arrestin that controls nutrient-mediated intracellular sorting of permease Gap1p; interacts with AP-1 subunit Apl4p; phosphorylated by Npr1p and also by cyclin-CDK complex Pcl7p-Pho85p; promotes endocytosis of plasma membrane proteins,,,,,,,,
chr10,280770,NAG,NAG,,,,,,,,
chr10,315657,NAG,NAG,,,,,,,,
chr10,325172, YJL059W,YHC3 - Vacuolar membrane protein involved in the ATP-dependent transport of arginine into the vacuole and possibly in balancing ion homeostasis; homolog of human CLN3 involved in Batten disease (juvenile onset neuronal ceroid lipofuscinosis),,,,,,,,
chr10,33346,NAG,NAG,,,,,,,,
chr10,334668, YJL054W,TIM54 - Component of the mitochondrial TIM22 complex involved in insertion of polytopic proteins into the inner membrane,,,,,,,,
chr10,340621, YJL051W,IRC8 - Bud tip localized protein of unknown function; mRNA is targeted to the bud by a She2p dependent transport system; mRNA is cell cycle regulated via Fkh2p, peaking in G2/M phase; null mutant displays increased levels of spontaneous Rad52p foc,,,,,,,
chr10,342637, YJL050W,MTR4 - ATP-dependent 3'-5' RNA helicase of the Dead-box family, involved in nuclear RNA processing and degradation both as a component of the TRAMP complex and in TRAMP independent processes; has a KOW domain that shows RNA binding activity,,,,,,,
chr10,354067,NAG,NAG,,,,,,,,
chr10,354634, YJLCdelta4, - Ty1 LTR,,,,,,,,
chr10,354706, YJLCdelta4, - Ty1 LTR,,,,,,,,
chr10,361646, YJL042W,MHP1 - Microtubule-associated protein involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Drosophila protein MAP and to mammalian MAP4 proteins,,,,,,,,
chr10,362671, YJL042W,MHP1 - Microtubule-associated protein involved in assembly and stabilization of microtubules; overproduction results in cell cycle arrest at G2 phase; similar to Drosophila protein MAP and to mammalian MAP4 proteins,,,,,,,,
chr10,37037, YJL210W,PEX2 - RING-finger peroxin and E3 ubiquitin ligase, peroxisomal membrane protein with a C-terminal zinc-binding RING domain, forms translocation subcomplex with Pex10p and Pex12p which functions in peroxisomal matrix protein import,,,,,,
chr10,383417,NAG,NAG,,,,,,,,
chr10,388260,NAG,NAG,,,,,,,,
chr10,393823,NAG,NAG,,,,,,,,
chr10,40977, YJL208C,NUC1 - Major mitochondrial nuclease, has RNAse and DNA endo- and exonucleolytic activities; has roles in mitochondrial recombination, apoptosis and maintenance of polyploidy,,,,,,
chr10,411818, YJL012C,VTC4 - Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion,,,,,,,,
chr10,411821, YJL012C,VTC4 - Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion,,,,,,,,
chr10,412379, YJL012C,VTC4 - Vacuolar membrane polyphosphate polymerase; subunit of the vacuolar transporter chaperone (VTC) complex involved in synthesis and transfer of polyP to the vacuole; regulates membrane trafficking; role in non-autophagic vacuolar fusion,,,,,,,,
