TERM	GENE
ion binding	ACB1
ion binding	ADR1
ion binding	AFT1
ion binding	BDS1
ion binding	BIR1
ion binding	DOA4
ion binding	ECM14
ion binding	ECM22
ion binding	FET4
ion binding	FZF1
ion binding	HIS4
ion binding	HO
ion binding	HSP104
ion binding	ILV2
ion binding	IRC20
ion binding	ISU1
ion binding	LRG1
ion binding	MCM5
ion binding	NAB2
ion binding	OAF1
ion binding	OPI1
ion binding	PDR1
ion binding	PHO23
ion binding	PHO84
ion binding	PIB1
ion binding	PKC1
ion binding	POL3
ion binding	PRI1
ion binding	QRI7
ion binding	RAD16
ion binding	RCO1
ion binding	RPA135
ion binding	RRP6
ion binding	SET2
ion binding	SFP1
ion binding	SMC2
ion binding	SNT2
ion binding	SPO20
ion binding	SSE1
ion binding	STE5
ion binding	STP3
ion binding	UBP5
ion binding	UBR2
ion binding	UGA3
ion binding	ULS1
ion binding	UME6
ion binding	VID22
ion binding	VTC4
ion binding	YHC1
ion binding	ZRT1
ion binding	ZRT3
DNA binding	ADR1
DNA binding	AFT1
DNA binding	DOT6
DNA binding	ECM22
DNA binding	FZF1
DNA binding	HHF2
DNA binding	HIR2
DNA binding	IOC4
DNA binding	MCM5
DNA binding	MOT1
DNA binding	NPL3
DNA binding	NSR1
DNA binding	OAF1
DNA binding	PRI1
DNA binding	PRI2
DNA binding	RAD16
DNA binding	RAD17
DNA binding	RED1
DNA binding	SMC2
DNA binding	SPO11
DNA binding	SPT2
DNA binding	STP3
DNA binding	SUM1
DNA binding	TAH11
DNA binding	UGA3
DNA binding	UME6
DNA binding	VID22
DNA binding	WAR1
DNA binding	YAP6
kinase activity	DBF20
kinase activity	HSL1
kinase activity	KIN1
kinase activity	KIN82
kinase activity	KSP1
kinase activity	MCK1
kinase activity	PBS2
kinase activity	PFK26
kinase activity	PKC1
kinase activity	PKP1
kinase activity	PTK2
kinase activity	RBK1
kinase activity	RCK2
kinase activity	RIM11
kinase activity	SAK1
kinase activity	SSK2
kinase activity	TOS3
kinase activity	TRL1
kinase activity	VTC4
kinase activity	YCK1
kinase activity	YEF1
kinase activity	YKL126W
transmembrane transporter activity	AGP1
transmembrane transporter activity	FCY2
transmembrane transporter activity	FET4
transmembrane transporter activity	FLC2
transmembrane transporter activity	HXT13
transmembrane transporter activity	MDL2
transmembrane transporter activity	MEX67
transmembrane transporter activity	PDR10
transmembrane transporter activity	PHO84
transmembrane transporter activity	PMA1
transmembrane transporter activity	RTC2
transmembrane transporter activity	SMF1
transmembrane transporter activity	TIM54
transmembrane transporter activity	TRK2
transmembrane transporter activity	UGA4
transmembrane transporter activity	VBA1
transmembrane transporter activity	VCX1
transmembrane transporter activity	YCF1
