CODE	GENE	ID	FUNCTION	PROCESS	COMPONENT
YEAST|SGD=S000002584|UniProtKB=P21734	UBC1	Ubiquitin-conjugating enzyme E2 1;UBC1;PTN000629661;orthologs	ubiquitin-protein transferase activity(GO:0004842);protein binding(GO:0005515);ATP binding(GO:0005524);transferase activity(GO:0016740);ubiquitin conjugating enzyme activity(GO:0061631);proteasome binding(GO:0070628)	protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511);vesicle organization(GO:0016050);protein ubiquitination(GO:0016567);ERAD pathway(GO:0036503)	nucleus(GO:0005634);cytosol(GO:0005829)
YEAST|SGD=S000004117|UniProtKB=Q12440	APC2	Anaphase-promoting complex subunit 2;APC2;PTN000232042;orthologs	ubiquitin protein ligase binding(GO:0031625);ubiquitin protein ligase activity(GO:0061630)	ubiquitin-dependent protein catabolic process(GO:0006511);metaphase/anaphase transition of mitotic cell cycle(GO:0007091);macromolecule catabolic process(GO:0009057);exit from mitosis(GO:0010458);protein ubiquitination(GO:0016567);anaphase-promoting complex-dependent catabolic process(GO:0031145);cell division(GO:0051301);protein K11-linked ubiquitination(GO:0070979);positive regulation of mitotic actomyosin contractile ring contraction(GO:1903473)	nucleus(GO:0005634);anaphase-promoting complex(GO:0005680);cytoplasm(GO:0005737)
YEAST|SGD=S000003109|UniProtKB=P53119	HUL5	E3 ubiquitin-protein ligase HUL5;HUL5;PTN000135265;orthologs	transferase activity(GO:0016740);ubiquitin-ubiquitin ligase activity(GO:0034450);ubiquitin protein ligase activity(GO:0061630)	protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511);free ubiquitin chain polymerization(GO:0010994);protein ubiquitination(GO:0016567);cellular response to stress(GO:0033554);cellular response to heat(GO:0034605);ERAD pathway(GO:0036503)	proteasome complex(GO:0000502);nucleus(GO:0005634);cytoplasm(GO:0005737);cytosol(GO:0005829)
YEAST|SGD=S000004888|UniProtKB=P48524	BUL1	Ubiquitin ligase-binding protein BUL1;BUL1;PTN000786495;orthologs	ubiquitin-ubiquitin ligase activity(GO:0034450)	mitochondrion inheritance(GO:0000001);protein polyubiquitination(GO:0000209);protein monoubiquitination(GO:0006513);response to glucose(GO:0009749);protein ubiquitination(GO:0016567);ubiquitin-dependent endocytosis(GO:0070086);ATP export(GO:1904669)	ubiquitin ligase complex(GO:0000151);cytoplasm(GO:0005737)
YEAST|SGD=S000004014|UniProtKB=Q07963	UBR2	E3 ubiquitin-protein ligase UBR2;UBR2;PTN000487051;orthologs	ubiquitin-protein transferase activity(GO:0004842);zinc ion binding(GO:0008270);transferase activity(GO:0016740);metal ion binding(GO:0046872);ubiquitin protein ligase activity(GO:0061630)	protein polyubiquitination(GO:0000209);ubiquitin-dependent protein catabolic process(GO:0006511);protein ubiquitination(GO:0016567);cellular response to unfolded protein(GO:0034620);ubiquitin-dependent protein catabolic process via the N-end rule pathway(GO:0071596);cytoplasm protein quality control by the ubiquitin-proteasome system(GO:0071629)	ubiquitin ligase complex(GO:0000151);cytoplasm(GO:0005737);MUB1-RAD6-UBR2 ubiquitin ligase complex(GO:1990304)
YEAST|SGD=S000004579|UniProtKB=Q03758	BUL2	Ubiquitin ligase-binding protein BUL2;BUL2;PTN000786494;orthologs	ubiquitin-ubiquitin ligase activity(GO:0034450)	protein polyubiquitination(GO:0000209);protein monoubiquitination(GO:0006513);protein ubiquitination(GO:0016567)	ubiquitin ligase complex(GO:0000151);cytoplasm(GO:0005737)
YEAST|SGD=S000001308|UniProtKB=P39014	MET30	F-box protein MET30;MET30;PTN000520764;orthologs	ubiquitin binding(GO:0043130)	G1/S transition of mitotic cell cycle(GO:0000082);protein polyubiquitination(GO:0000209);regulation of transcription by RNA polymerase II(GO:0006357);methionine biosynthetic process(GO:0009086);protein ubiquitination(GO:0016567);cysteine biosynthetic process(GO:0019344);SCF-dependent proteasomal ubiquitin-dependent protein catabolic process(GO:0031146);response to arsenic-containing substance(GO:0046685);response to cadmium ion(GO:0046686)	nucleus(GO:0005634);cytoplasm(GO:0005737);SCF ubiquitin ligase complex(GO:0019005);nuclear SCF ubiquitin ligase complex(GO:0043224)
YEAST|SGD=S000005898|UniProtKB=Q08886	GPB1	Guanine nucleotide-binding protein subunit beta 1;GPB1;PTN004621186;orthologs	cAMP-dependent protein kinase inhibitor activity(GO:0004862);GTPase activating protein binding(GO:0032794)	protein polyubiquitination(GO:0000209);invasive growth in response to glucose limitation(GO:0001403);ubiquitin-dependent protein catabolic process(GO:0006511);pseudohyphal growth(GO:0007124);glucose mediated signaling pathway(GO:0010255);negative regulation of phosphorylation(GO:0042326);positive regulation of Ras protein signal transduction(GO:0046579);negative regulation of Ras protein signal transduction(GO:0046580)	cytoplasm(GO:0005737);plasma membrane(GO:0005886)
YEAST|SGD=S000002865|UniProtKB=Q03280	TOM1	E3 ubiquitin-protein ligase TOM1;TOM1;PTN000135206;orthologs	ubiquitin-protein transferase activity(GO:0004842);transferase activity(GO:0016740);ubiquitin protein ligase activity(GO:0061630)	protein polyubiquitination(GO:0000209);mitotic cell cycle(GO:0000278);endonucleolytic cleavage in ITS1 to separate SSU-rRNA from 5.8S rRNA and LSU-rRNA from tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000447);cleavage in ITS2 between 5.8S rRNA and LSU-rRNA of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000448);endonucleolytic cleavage to generate mature 5'-end of SSU-rRNA from (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000472);endonucleolytic cleavage in 5'-ETS of tricistronic rRNA transcript (SSU-rRNA, 5.8S rRNA, LSU-rRNA)(GO:0000480);rRNA processing(GO:0006364);ubiquitin-dependent protein catabolic process(GO:0006511);nucleocytoplasmic transport(GO:0006913);nucleus organization(GO:0006997);regulation of cell size(GO:0008361);protein ubiquitination(GO:0016567);mRNA transport(GO:0051028)	nucleus(GO:0005634);nucleolus(GO:0005730);cytoplasm(GO:0005737)
YEAST|SGD=S000003850|UniProtKB=P24814	GRR1	SCF E3 ubiquitin ligase complex F-box protein GRR1;GRR1;PTN000564887;orthologs	ubiquitin-protein transferase activity(GO:0004842);protein-macromolecule adaptor activity(GO:0030674)	protein polyubiquitination(GO:0000209);mitotic cell cycle G1 arrest in response to pheromone(GO:0000751);glucose metabolic process(GO:0006006);protein ubiquitination(GO:0016567);SCF-dependent proteasomal ubiquitin-dependent protein catabolic process(GO:0031146);cellular response to oxidative stress(GO:0034599);cellular response to methylmercury(GO:0071406)	cellular bud neck contractile ring(GO:0000142);nucleus(GO:0005634);cytoplasm(GO:0005737);membrane(GO:0016020);SCF ubiquitin ligase complex(GO:0019005)
